group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,bevy,,,,52330715.0,ns,13
add_remove_component,bevy,,,,51250375.0,ns,13
add_remove_component,bevy,,,,52237144.0,ns,13
add_remove_component,bevy,,,,51249772.0,ns,13
add_remove_component,bevy,,,,51691494.0,ns,13
add_remove_component,bevy,,,,53100001.0,ns,13
add_remove_component,bevy,,,,54421408.0,ns,13
add_remove_component,bevy,,,,53543145.0,ns,13
add_remove_component,bevy,,,,54101076.0,ns,13
add_remove_component,bevy,,,,52260658.0,ns,13
add_remove_component,bevy,,,,52828373.0,ns,13
add_remove_component,bevy,,,,51677542.0,ns,13
add_remove_component,bevy,,,,52025219.0,ns,13
add_remove_component,bevy,,,,51147932.0,ns,13
add_remove_component,bevy,,,,51266144.0,ns,13
add_remove_component,bevy,,,,51636715.0,ns,13
add_remove_component,bevy,,,,51967576.0,ns,13
add_remove_component,bevy,,,,51961413.0,ns,13
add_remove_component,bevy,,,,51184088.0,ns,13
add_remove_component,bevy,,,,51381666.0,ns,13
add_remove_component,bevy,,,,53170033.0,ns,13
add_remove_component,bevy,,,,51233704.0,ns,13
add_remove_component,bevy,,,,51798173.0,ns,13
add_remove_component,bevy,,,,51334899.0,ns,13
add_remove_component,bevy,,,,55739068.0,ns,13
add_remove_component,bevy,,,,60537450.0,ns,13
add_remove_component,bevy,,,,52616989.0,ns,13
add_remove_component,bevy,,,,52167576.0,ns,13
add_remove_component,bevy,,,,52635392.0,ns,13
add_remove_component,bevy,,,,51497719.0,ns,13
add_remove_component,bevy,,,,52315791.0,ns,13
add_remove_component,bevy,,,,51313101.0,ns,13
add_remove_component,bevy,,,,52056985.0,ns,13
add_remove_component,bevy,,,,51546167.0,ns,13
add_remove_component,bevy,,,,52092782.0,ns,13
add_remove_component,bevy,,,,51641539.0,ns,13
add_remove_component,bevy,,,,52708999.0,ns,13
add_remove_component,bevy,,,,51643409.0,ns,13
add_remove_component,bevy,,,,51917763.0,ns,13
add_remove_component,bevy,,,,52103079.0,ns,13
add_remove_component,bevy,,,,52306777.0,ns,13
add_remove_component,bevy,,,,52147568.0,ns,13
add_remove_component,bevy,,,,51052278.0,ns,13
add_remove_component,bevy,,,,51513443.0,ns,13
add_remove_component,bevy,,,,51195006.0,ns,13
add_remove_component,bevy,,,,50934530.0,ns,13
add_remove_component,bevy,,,,52660094.0,ns,13
add_remove_component,bevy,,,,50303105.0,ns,13
add_remove_component,bevy,,,,52070061.0,ns,13
add_remove_component,bevy,,,,51842508.0,ns,13
add_remove_component,bevy,,,,51679153.0,ns,13
add_remove_component,bevy,,,,51578684.0,ns,13
add_remove_component,bevy,,,,52160591.0,ns,13
add_remove_component,bevy,,,,51226398.0,ns,13
add_remove_component,bevy,,,,51332287.0,ns,13
add_remove_component,bevy,,,,51445585.0,ns,13
add_remove_component,bevy,,,,51829131.0,ns,13
add_remove_component,bevy,,,,51728681.0,ns,13
add_remove_component,bevy,,,,51414952.0,ns,13
add_remove_component,bevy,,,,51203559.0,ns,13
add_remove_component,bevy,,,,51523445.0,ns,13
add_remove_component,bevy,,,,51289533.0,ns,13
add_remove_component,bevy,,,,51623853.0,ns,13
add_remove_component,bevy,,,,51883821.0,ns,13
add_remove_component,bevy,,,,51795419.0,ns,13
add_remove_component,bevy,,,,52418781.0,ns,13
add_remove_component,bevy,,,,62061790.0,ns,13
add_remove_component,bevy,,,,51819516.0,ns,13
add_remove_component,bevy,,,,52338842.0,ns,13
add_remove_component,bevy,,,,51600142.0,ns,13
add_remove_component,bevy,,,,51394446.0,ns,13
add_remove_component,bevy,,,,52813433.0,ns,13
add_remove_component,bevy,,,,61522471.0,ns,13
add_remove_component,bevy,,,,52929908.0,ns,13
add_remove_component,bevy,,,,53642665.0,ns,13
add_remove_component,bevy,,,,62867927.0,ns,13
add_remove_component,bevy,,,,53421011.0,ns,13
add_remove_component,bevy,,,,54579594.0,ns,13
add_remove_component,bevy,,,,55680328.0,ns,13
add_remove_component,bevy,,,,52967472.0,ns,13
add_remove_component,bevy,,,,52891242.0,ns,13
add_remove_component,bevy,,,,52702856.0,ns,13
add_remove_component,bevy,,,,51866473.0,ns,13
add_remove_component,bevy,,,,51190059.0,ns,13
add_remove_component,bevy,,,,51975954.0,ns,13
add_remove_component,bevy,,,,51054876.0,ns,13
add_remove_component,bevy,,,,51092242.0,ns,13
add_remove_component,bevy,,,,53307103.0,ns,13
add_remove_component,bevy,,,,55183351.0,ns,13
add_remove_component,bevy,,,,55976258.0,ns,13
add_remove_component,bevy,,,,54673772.0,ns,13
add_remove_component,bevy,,,,59522671.0,ns,13
add_remove_component,bevy,,,,54186478.0,ns,13
add_remove_component,bevy,,,,59833678.0,ns,13
add_remove_component,bevy,,,,56446914.0,ns,13
add_remove_component,bevy,,,,54532240.0,ns,13
add_remove_component,bevy,,,,55487298.0,ns,13
add_remove_component,bevy,,,,54629925.0,ns,13
add_remove_component,bevy,,,,58136871.0,ns,13
add_remove_component,bevy,,,,54406117.0,ns,13
