group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,bevy,,,,51885762.0,ns,12
add_remove_component,bevy,,,,52088254.0,ns,12
add_remove_component,bevy,,,,51116425.0,ns,12
add_remove_component,bevy,,,,51072267.0,ns,12
add_remove_component,bevy,,,,51011068.0,ns,12
add_remove_component,bevy,,,,50869538.0,ns,12
add_remove_component,bevy,,,,50832269.0,ns,12
add_remove_component,bevy,,,,50908760.0,ns,12
add_remove_component,bevy,,,,51404165.0,ns,12
add_remove_component,bevy,,,,51103727.0,ns,12
add_remove_component,bevy,,,,51465391.0,ns,12
add_remove_component,bevy,,,,52005739.0,ns,12
add_remove_component,bevy,,,,52338176.0,ns,12
add_remove_component,bevy,,,,51422927.0,ns,12
add_remove_component,bevy,,,,50937207.0,ns,12
add_remove_component,bevy,,,,50994327.0,ns,12
add_remove_component,bevy,,,,50837306.0,ns,12
add_remove_component,bevy,,,,51811526.0,ns,12
add_remove_component,bevy,,,,51688761.0,ns,12
add_remove_component,bevy,,,,50893877.0,ns,12
add_remove_component,bevy,,,,50791340.0,ns,12
add_remove_component,bevy,,,,52192206.0,ns,12
add_remove_component,bevy,,,,50429033.0,ns,12
add_remove_component,bevy,,,,52003104.0,ns,12
add_remove_component,bevy,,,,51452546.0,ns,12
add_remove_component,bevy,,,,51525685.0,ns,12
add_remove_component,bevy,,,,50475098.0,ns,12
add_remove_component,bevy,,,,52317873.0,ns,12
add_remove_component,bevy,,,,51283700.0,ns,12
add_remove_component,bevy,,,,51132249.0,ns,12
add_remove_component,bevy,,,,50818837.0,ns,12
add_remove_component,bevy,,,,51877870.0,ns,12
add_remove_component,bevy,,,,50689244.0,ns,12
add_remove_component,bevy,,,,52565139.0,ns,12
add_remove_component,bevy,,,,50829749.0,ns,12
add_remove_component,bevy,,,,51217229.0,ns,12
add_remove_component,bevy,,,,51173923.0,ns,12
add_remove_component,bevy,,,,53016215.0,ns,12
add_remove_component,bevy,,,,50379063.0,ns,12
add_remove_component,bevy,,,,51265769.0,ns,12
add_remove_component,bevy,,,,52218781.0,ns,12
add_remove_component,bevy,,,,51805208.0,ns,12
add_remove_component,bevy,,,,52160536.0,ns,12
add_remove_component,bevy,,,,51899976.0,ns,12
add_remove_component,bevy,,,,51178443.0,ns,12
add_remove_component,bevy,,,,51361880.0,ns,12
add_remove_component,bevy,,,,52526623.0,ns,12
add_remove_component,bevy,,,,52292096.0,ns,12
add_remove_component,bevy,,,,51126397.0,ns,12
add_remove_component,bevy,,,,52401924.0,ns,12
add_remove_component,bevy,,,,51425378.0,ns,12
add_remove_component,bevy,,,,51184483.0,ns,12
add_remove_component,bevy,,,,51702477.0,ns,12
add_remove_component,bevy,,,,52108873.0,ns,12
add_remove_component,bevy,,,,50710985.0,ns,12
add_remove_component,bevy,,,,51912477.0,ns,12
add_remove_component,bevy,,,,52516523.0,ns,12
add_remove_component,bevy,,,,52738973.0,ns,12
add_remove_component,bevy,,,,51181429.0,ns,12
add_remove_component,bevy,,,,53039695.0,ns,12
add_remove_component,bevy,,,,51511917.0,ns,12
add_remove_component,bevy,,,,51541477.0,ns,12
add_remove_component,bevy,,,,51494009.0,ns,12
add_remove_component,bevy,,,,51067603.0,ns,12
add_remove_component,bevy,,,,50537245.0,ns,12
add_remove_component,bevy,,,,51815876.0,ns,12
add_remove_component,bevy,,,,50747123.0,ns,12
add_remove_component,bevy,,,,51403472.0,ns,12
add_remove_component,bevy,,,,51743579.0,ns,12
add_remove_component,bevy,,,,51290257.0,ns,12
add_remove_component,bevy,,,,50939257.0,ns,12
add_remove_component,bevy,,,,51608897.0,ns,12
add_remove_component,bevy,,,,50398480.0,ns,12
add_remove_component,bevy,,,,50699984.0,ns,12
add_remove_component,bevy,,,,50832222.0,ns,12
add_remove_component,bevy,,,,51252009.0,ns,12
add_remove_component,bevy,,,,51277454.0,ns,12
add_remove_component,bevy,,,,51692431.0,ns,12
add_remove_component,bevy,,,,51803246.0,ns,12
add_remove_component,bevy,,,,51919928.0,ns,12
add_remove_component,bevy,,,,50812294.0,ns,12
add_remove_component,bevy,,,,51508588.0,ns,12
add_remove_component,bevy,,,,51624874.0,ns,12
add_remove_component,bevy,,,,51812663.0,ns,12
add_remove_component,bevy,,,,51156729.0,ns,12
add_remove_component,bevy,,,,52250876.0,ns,12
add_remove_component,bevy,,,,51821361.0,ns,12
add_remove_component,bevy,,,,51875826.0,ns,12
add_remove_component,bevy,,,,52578648.0,ns,12
add_remove_component,bevy,,,,52467009.0,ns,12
add_remove_component,bevy,,,,51121035.0,ns,12
add_remove_component,bevy,,,,51209558.0,ns,12
add_remove_component,bevy,,,,51464630.0,ns,12
add_remove_component,bevy,,,,50978671.0,ns,12
add_remove_component,bevy,,,,50702461.0,ns,12
add_remove_component,bevy,,,,51632990.0,ns,12
add_remove_component,bevy,,,,51449668.0,ns,12
add_remove_component,bevy,,,,51217669.0,ns,12
add_remove_component,bevy,,,,51008331.0,ns,12
add_remove_component,bevy,,,,52365801.0,ns,12
