group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,hecs,,,,2057996.0,ns,2
add_remove_component,hecs,,,,4159344.0,ns,4
add_remove_component,hecs,,,,5763067.0,ns,6
add_remove_component,hecs,,,,7617975.0,ns,8
add_remove_component,hecs,,,,9823437.0,ns,10
add_remove_component,hecs,,,,13043020.0,ns,12
add_remove_component,hecs,,,,13127298.0,ns,14
add_remove_component,hecs,,,,16264902.0,ns,16
add_remove_component,hecs,,,,17124660.0,ns,18
add_remove_component,hecs,,,,21304970.0,ns,20
add_remove_component,hecs,,,,20718620.0,ns,22
add_remove_component,hecs,,,,24116246.0,ns,24
add_remove_component,hecs,,,,24013881.0,ns,26
add_remove_component,hecs,,,,30888664.0,ns,28
add_remove_component,hecs,,,,29322422.0,ns,30
add_remove_component,hecs,,,,31235753.0,ns,32
add_remove_component,hecs,,,,33270845.0,ns,34
add_remove_component,hecs,,,,38530483.0,ns,36
add_remove_component,hecs,,,,36469692.0,ns,38
add_remove_component,hecs,,,,39788306.0,ns,40
add_remove_component,hecs,,,,41330623.0,ns,42
add_remove_component,hecs,,,,47511340.0,ns,44
add_remove_component,hecs,,,,43845192.0,ns,46
add_remove_component,hecs,,,,47799319.0,ns,48
add_remove_component,hecs,,,,48355896.0,ns,50
add_remove_component,hecs,,,,55830877.0,ns,52
add_remove_component,hecs,,,,52227817.0,ns,54
add_remove_component,hecs,,,,55437281.0,ns,56
add_remove_component,hecs,,,,57756396.0,ns,58
add_remove_component,hecs,,,,65935155.0,ns,60
add_remove_component,hecs,,,,59498483.0,ns,62
add_remove_component,hecs,,,,63867290.0,ns,64
add_remove_component,hecs,,,,66385556.0,ns,66
add_remove_component,hecs,,,,75033082.0,ns,68
add_remove_component,hecs,,,,72897684.0,ns,70
add_remove_component,hecs,,,,74126476.0,ns,72
add_remove_component,hecs,,,,73292220.0,ns,74
add_remove_component,hecs,,,,82842848.0,ns,76
add_remove_component,hecs,,,,79132477.0,ns,78
add_remove_component,hecs,,,,79025297.0,ns,80
add_remove_component,hecs,,,,78958185.0,ns,82
add_remove_component,hecs,,,,91645814.0,ns,84
add_remove_component,hecs,,,,83303256.0,ns,86
add_remove_component,hecs,,,,85609528.0,ns,88
add_remove_component,hecs,,,,87397390.0,ns,90
add_remove_component,hecs,,,,101152145.0,ns,92
add_remove_component,hecs,,,,93481478.0,ns,94
add_remove_component,hecs,,,,95246454.0,ns,96
add_remove_component,hecs,,,,94147450.0,ns,98
add_remove_component,hecs,,,,110163078.0,ns,100
add_remove_component,hecs,,,,99775286.0,ns,102
add_remove_component,hecs,,,,104329300.0,ns,104
add_remove_component,hecs,,,,103452566.0,ns,106
add_remove_component,hecs,,,,120067080.0,ns,108
add_remove_component,hecs,,,,105203758.0,ns,110
add_remove_component,hecs,,,,113334000.0,ns,112
add_remove_component,hecs,,,,112022049.0,ns,114
add_remove_component,hecs,,,,126409358.0,ns,116
add_remove_component,hecs,,,,113523512.0,ns,118
add_remove_component,hecs,,,,119183376.0,ns,120
add_remove_component,hecs,,,,118968692.0,ns,122
add_remove_component,hecs,,,,136583524.0,ns,124
add_remove_component,hecs,,,,123915362.0,ns,126
add_remove_component,hecs,,,,129548961.0,ns,128
add_remove_component,hecs,,,,127486058.0,ns,130
add_remove_component,hecs,,,,146113355.0,ns,132
add_remove_component,hecs,,,,129537615.0,ns,134
add_remove_component,hecs,,,,137078681.0,ns,136
add_remove_component,hecs,,,,136010209.0,ns,138
add_remove_component,hecs,,,,155263803.0,ns,140
add_remove_component,hecs,,,,136901462.0,ns,142
add_remove_component,hecs,,,,145646660.0,ns,144
add_remove_component,hecs,,,,137570651.0,ns,146
add_remove_component,hecs,,,,158682794.0,ns,148
add_remove_component,hecs,,,,145055098.0,ns,150
add_remove_component,hecs,,,,152998026.0,ns,152
add_remove_component,hecs,,,,149586218.0,ns,154
add_remove_component,hecs,,,,169249940.0,ns,156
add_remove_component,hecs,,,,154589402.0,ns,158
add_remove_component,hecs,,,,162143066.0,ns,160
add_remove_component,hecs,,,,159092838.0,ns,162
add_remove_component,hecs,,,,176597748.0,ns,164
add_remove_component,hecs,,,,163678210.0,ns,166
add_remove_component,hecs,,,,167322432.0,ns,168
add_remove_component,hecs,,,,167335146.0,ns,170
add_remove_component,hecs,,,,178597523.0,ns,172
add_remove_component,hecs,,,,165559562.0,ns,174
add_remove_component,hecs,,,,171952339.0,ns,176
add_remove_component,hecs,,,,171132800.0,ns,178
add_remove_component,hecs,,,,195399899.0,ns,180
add_remove_component,hecs,,,,173598023.0,ns,182
add_remove_component,hecs,,,,177623608.0,ns,184
add_remove_component,hecs,,,,176036031.0,ns,186
add_remove_component,hecs,,,,198855239.0,ns,188
add_remove_component,hecs,,,,176488927.0,ns,190
add_remove_component,hecs,,,,185647039.0,ns,192
add_remove_component,hecs,,,,183048226.0,ns,194
add_remove_component,hecs,,,,201617446.0,ns,196
add_remove_component,hecs,,,,187429211.0,ns,198
add_remove_component,hecs,,,,190614216.0,ns,200
