group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,hecs,,,,1563390.0,ns,2
add_remove_component,hecs,,,,3130396.0,ns,4
add_remove_component,hecs,,,,4654210.0,ns,6
add_remove_component,hecs,,,,6238059.0,ns,8
add_remove_component,hecs,,,,7765550.0,ns,10
add_remove_component,hecs,,,,9351533.0,ns,12
add_remove_component,hecs,,,,10815974.0,ns,14
add_remove_component,hecs,,,,12428416.0,ns,16
add_remove_component,hecs,,,,13930450.0,ns,18
add_remove_component,hecs,,,,15611854.0,ns,20
add_remove_component,hecs,,,,17004237.0,ns,22
add_remove_component,hecs,,,,18659273.0,ns,24
add_remove_component,hecs,,,,20200187.0,ns,26
add_remove_component,hecs,,,,21918154.0,ns,28
add_remove_component,hecs,,,,23319534.0,ns,30
add_remove_component,hecs,,,,24864368.0,ns,32
add_remove_component,hecs,,,,26397559.0,ns,34
add_remove_component,hecs,,,,28084095.0,ns,36
add_remove_component,hecs,,,,29453384.0,ns,38
add_remove_component,hecs,,,,31188460.0,ns,40
add_remove_component,hecs,,,,32524498.0,ns,42
add_remove_component,hecs,,,,34355767.0,ns,44
add_remove_component,hecs,,,,35614806.0,ns,46
add_remove_component,hecs,,,,37491534.0,ns,48
add_remove_component,hecs,,,,39173469.0,ns,50
add_remove_component,hecs,,,,40873098.0,ns,52
add_remove_component,hecs,,,,41770770.0,ns,54
add_remove_component,hecs,,,,43570679.0,ns,56
add_remove_component,hecs,,,,45010162.0,ns,58
add_remove_component,hecs,,,,46788923.0,ns,60
add_remove_component,hecs,,,,48028785.0,ns,62
add_remove_component,hecs,,,,49945399.0,ns,64
add_remove_component,hecs,,,,51778312.0,ns,66
add_remove_component,hecs,,,,53241259.0,ns,68
add_remove_component,hecs,,,,54169348.0,ns,70
add_remove_component,hecs,,,,55971173.0,ns,72
add_remove_component,hecs,,,,57297820.0,ns,74
add_remove_component,hecs,,,,59415678.0,ns,76
add_remove_component,hecs,,,,60417236.0,ns,78
add_remove_component,hecs,,,,62167723.0,ns,80
add_remove_component,hecs,,,,63561117.0,ns,82
add_remove_component,hecs,,,,65481299.0,ns,84
add_remove_component,hecs,,,,67276749.0,ns,86
add_remove_component,hecs,,,,68398527.0,ns,88
add_remove_component,hecs,,,,69692995.0,ns,90
add_remove_component,hecs,,,,71852469.0,ns,92
add_remove_component,hecs,,,,72757263.0,ns,94
add_remove_component,hecs,,,,74576152.0,ns,96
add_remove_component,hecs,,,,75830921.0,ns,98
add_remove_component,hecs,,,,77962355.0,ns,100
add_remove_component,hecs,,,,84363484.0,ns,102
add_remove_component,hecs,,,,81293694.0,ns,104
add_remove_component,hecs,,,,82228314.0,ns,106
add_remove_component,hecs,,,,84635231.0,ns,108
add_remove_component,hecs,,,,85537301.0,ns,110
add_remove_component,hecs,,,,87747384.0,ns,112
add_remove_component,hecs,,,,88326697.0,ns,114
add_remove_component,hecs,,,,90964114.0,ns,116
add_remove_component,hecs,,,,91353755.0,ns,118
add_remove_component,hecs,,,,93313100.0,ns,120
add_remove_component,hecs,,,,94548685.0,ns,122
add_remove_component,hecs,,,,96725202.0,ns,124
add_remove_component,hecs,,,,97914690.0,ns,126
add_remove_component,hecs,,,,99542534.0,ns,128
add_remove_component,hecs,,,,100769902.0,ns,130
add_remove_component,hecs,,,,103033725.0,ns,132
add_remove_component,hecs,,,,104405280.0,ns,134
add_remove_component,hecs,,,,105739785.0,ns,136
add_remove_component,hecs,,,,106927146.0,ns,138
add_remove_component,hecs,,,,109325598.0,ns,140
add_remove_component,hecs,,,,110328118.0,ns,142
add_remove_component,hecs,,,,111848975.0,ns,144
add_remove_component,hecs,,,,113105281.0,ns,146
add_remove_component,hecs,,,,115473805.0,ns,148
add_remove_component,hecs,,,,116148200.0,ns,150
add_remove_component,hecs,,,,118851513.0,ns,152
add_remove_component,hecs,,,,120232653.0,ns,154
add_remove_component,hecs,,,,122123126.0,ns,156
add_remove_component,hecs,,,,123515742.0,ns,158
add_remove_component,hecs,,,,124337316.0,ns,160
add_remove_component,hecs,,,,125883674.0,ns,162
add_remove_component,hecs,,,,127949421.0,ns,164
add_remove_component,hecs,,,,128352059.0,ns,166
add_remove_component,hecs,,,,131208051.0,ns,168
add_remove_component,hecs,,,,131585189.0,ns,170
add_remove_component,hecs,,,,134314150.0,ns,172
add_remove_component,hecs,,,,134730985.0,ns,174
add_remove_component,hecs,,,,136771334.0,ns,176
add_remove_component,hecs,,,,137914072.0,ns,178
add_remove_component,hecs,,,,140550726.0,ns,180
add_remove_component,hecs,,,,141646885.0,ns,182
add_remove_component,hecs,,,,143411790.0,ns,184
add_remove_component,hecs,,,,144275775.0,ns,186
add_remove_component,hecs,,,,147161987.0,ns,188
add_remove_component,hecs,,,,148364396.0,ns,190
add_remove_component,hecs,,,,149289111.0,ns,192
add_remove_component,hecs,,,,150152063.0,ns,194
add_remove_component,hecs,,,,153620896.0,ns,196
add_remove_component,hecs,,,,153403401.0,ns,198
add_remove_component,hecs,,,,155398463.0,ns,200
