group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,legion,,,,53091300.0,ns,14
add_remove_component,legion,,,,51783800.0,ns,14
add_remove_component,legion,,,,52004800.0,ns,14
add_remove_component,legion,,,,51542900.0,ns,14
add_remove_component,legion,,,,51537200.0,ns,14
add_remove_component,legion,,,,51718700.0,ns,14
add_remove_component,legion,,,,51847300.0,ns,14
add_remove_component,legion,,,,51654600.0,ns,14
add_remove_component,legion,,,,53134600.0,ns,14
add_remove_component,legion,,,,51843900.0,ns,14
add_remove_component,legion,,,,52105800.0,ns,14
add_remove_component,legion,,,,51902400.0,ns,14
add_remove_component,legion,,,,51804800.0,ns,14
add_remove_component,legion,,,,51664200.0,ns,14
add_remove_component,legion,,,,51962900.0,ns,14
add_remove_component,legion,,,,51784000.0,ns,14
add_remove_component,legion,,,,51752600.0,ns,14
add_remove_component,legion,,,,51284500.0,ns,14
add_remove_component,legion,,,,52089700.0,ns,14
add_remove_component,legion,,,,52650800.0,ns,14
add_remove_component,legion,,,,51822400.0,ns,14
add_remove_component,legion,,,,52102600.0,ns,14
add_remove_component,legion,,,,51486500.0,ns,14
add_remove_component,legion,,,,52062100.0,ns,14
add_remove_component,legion,,,,52033700.0,ns,14
add_remove_component,legion,,,,51791600.0,ns,14
add_remove_component,legion,,,,51509400.0,ns,14
add_remove_component,legion,,,,51854800.0,ns,14
add_remove_component,legion,,,,51839000.0,ns,14
add_remove_component,legion,,,,51824200.0,ns,14
add_remove_component,legion,,,,52229000.0,ns,14
add_remove_component,legion,,,,52584300.0,ns,14
add_remove_component,legion,,,,51334500.0,ns,14
add_remove_component,legion,,,,51466100.0,ns,14
add_remove_component,legion,,,,51494300.0,ns,14
add_remove_component,legion,,,,51514600.0,ns,14
add_remove_component,legion,,,,51880600.0,ns,14
add_remove_component,legion,,,,51631000.0,ns,14
add_remove_component,legion,,,,51916800.0,ns,14
add_remove_component,legion,,,,52003800.0,ns,14
add_remove_component,legion,,,,51439100.0,ns,14
add_remove_component,legion,,,,51765500.0,ns,14
add_remove_component,legion,,,,51229900.0,ns,14
add_remove_component,legion,,,,51294600.0,ns,14
add_remove_component,legion,,,,51494200.0,ns,14
add_remove_component,legion,,,,51500000.0,ns,14
add_remove_component,legion,,,,51368900.0,ns,14
add_remove_component,legion,,,,51496000.0,ns,14
add_remove_component,legion,,,,51287700.0,ns,14
add_remove_component,legion,,,,51392400.0,ns,14
add_remove_component,legion,,,,51271600.0,ns,14
add_remove_component,legion,,,,51357700.0,ns,14
add_remove_component,legion,,,,51246100.0,ns,14
add_remove_component,legion,,,,51253100.0,ns,14
add_remove_component,legion,,,,51725600.0,ns,14
add_remove_component,legion,,,,51786700.0,ns,14
add_remove_component,legion,,,,51554400.0,ns,14
add_remove_component,legion,,,,51237300.0,ns,14
add_remove_component,legion,,,,51580100.0,ns,14
add_remove_component,legion,,,,51333900.0,ns,14
add_remove_component,legion,,,,51306400.0,ns,14
add_remove_component,legion,,,,51406700.0,ns,14
add_remove_component,legion,,,,51412600.0,ns,14
add_remove_component,legion,,,,51052700.0,ns,14
add_remove_component,legion,,,,51378200.0,ns,14
add_remove_component,legion,,,,51443300.0,ns,14
add_remove_component,legion,,,,51296900.0,ns,14
add_remove_component,legion,,,,51531200.0,ns,14
add_remove_component,legion,,,,51126300.0,ns,14
add_remove_component,legion,,,,51128100.0,ns,14
add_remove_component,legion,,,,51399900.0,ns,14
add_remove_component,legion,,,,51303400.0,ns,14
add_remove_component,legion,,,,51550700.0,ns,14
add_remove_component,legion,,,,51355100.0,ns,14
add_remove_component,legion,,,,51468000.0,ns,14
add_remove_component,legion,,,,51011200.0,ns,14
add_remove_component,legion,,,,51054600.0,ns,14
add_remove_component,legion,,,,51431200.0,ns,14
add_remove_component,legion,,,,51702500.0,ns,14
add_remove_component,legion,,,,51358300.0,ns,14
add_remove_component,legion,,,,51386900.0,ns,14
add_remove_component,legion,,,,51296600.0,ns,14
add_remove_component,legion,,,,51076300.0,ns,14
add_remove_component,legion,,,,51187000.0,ns,14
add_remove_component,legion,,,,51168300.0,ns,14
add_remove_component,legion,,,,50930500.0,ns,14
add_remove_component,legion,,,,51310400.0,ns,14
add_remove_component,legion,,,,51498500.0,ns,14
add_remove_component,legion,,,,51343200.0,ns,14
add_remove_component,legion,,,,51628900.0,ns,14
add_remove_component,legion,,,,51489100.0,ns,14
add_remove_component,legion,,,,51342700.0,ns,14
add_remove_component,legion,,,,51255800.0,ns,14
add_remove_component,legion,,,,50932200.0,ns,14
add_remove_component,legion,,,,51219400.0,ns,14
add_remove_component,legion,,,,51381400.0,ns,14
add_remove_component,legion,,,,51350100.0,ns,14
add_remove_component,legion,,,,51284700.0,ns,14
add_remove_component,legion,,,,51027700.0,ns,14
add_remove_component,legion,,,,51424000.0,ns,14
