group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,legion,,,,55236800.0,ns,10
add_remove_component,legion,,,,55721300.0,ns,10
add_remove_component,legion,,,,54880800.0,ns,10
add_remove_component,legion,,,,55031300.0,ns,10
add_remove_component,legion,,,,54726800.0,ns,10
add_remove_component,legion,,,,54615700.0,ns,10
add_remove_component,legion,,,,54032800.0,ns,10
add_remove_component,legion,,,,54835000.0,ns,10
add_remove_component,legion,,,,54216100.0,ns,10
add_remove_component,legion,,,,54246700.0,ns,10
add_remove_component,legion,,,,54223500.0,ns,10
add_remove_component,legion,,,,54353900.0,ns,10
add_remove_component,legion,,,,54385200.0,ns,10
add_remove_component,legion,,,,54330700.0,ns,10
add_remove_component,legion,,,,54367100.0,ns,10
add_remove_component,legion,,,,54125800.0,ns,10
add_remove_component,legion,,,,54335800.0,ns,10
add_remove_component,legion,,,,54601600.0,ns,10
add_remove_component,legion,,,,53845600.0,ns,10
add_remove_component,legion,,,,55716200.0,ns,10
add_remove_component,legion,,,,55240500.0,ns,10
add_remove_component,legion,,,,54733500.0,ns,10
add_remove_component,legion,,,,55413300.0,ns,10
add_remove_component,legion,,,,55232800.0,ns,10
add_remove_component,legion,,,,55073500.0,ns,10
add_remove_component,legion,,,,54473200.0,ns,10
add_remove_component,legion,,,,53943100.0,ns,10
add_remove_component,legion,,,,55248500.0,ns,10
add_remove_component,legion,,,,54096200.0,ns,10
add_remove_component,legion,,,,54163600.0,ns,10
add_remove_component,legion,,,,54415800.0,ns,10
add_remove_component,legion,,,,54640600.0,ns,10
add_remove_component,legion,,,,54520700.0,ns,10
add_remove_component,legion,,,,54047800.0,ns,10
add_remove_component,legion,,,,54122500.0,ns,10
add_remove_component,legion,,,,54086600.0,ns,10
add_remove_component,legion,,,,53578900.0,ns,10
add_remove_component,legion,,,,55418600.0,ns,10
add_remove_component,legion,,,,54528400.0,ns,10
add_remove_component,legion,,,,54608500.0,ns,10
add_remove_component,legion,,,,55092500.0,ns,10
add_remove_component,legion,,,,54790100.0,ns,10
add_remove_component,legion,,,,54337200.0,ns,10
add_remove_component,legion,,,,54302700.0,ns,10
add_remove_component,legion,,,,53567300.0,ns,10
add_remove_component,legion,,,,54471900.0,ns,10
add_remove_component,legion,,,,55162500.0,ns,10
add_remove_component,legion,,,,54179300.0,ns,10
add_remove_component,legion,,,,54282200.0,ns,10
add_remove_component,legion,,,,54090700.0,ns,10
add_remove_component,legion,,,,54752100.0,ns,10
add_remove_component,legion,,,,62009800.0,ns,10
add_remove_component,legion,,,,61142100.0,ns,10
add_remove_component,legion,,,,53582200.0,ns,10
add_remove_component,legion,,,,54330000.0,ns,10
add_remove_component,legion,,,,54678200.0,ns,10
add_remove_component,legion,,,,54405200.0,ns,10
add_remove_component,legion,,,,53952900.0,ns,10
add_remove_component,legion,,,,54697200.0,ns,10
add_remove_component,legion,,,,54358700.0,ns,10
add_remove_component,legion,,,,54558400.0,ns,10
add_remove_component,legion,,,,54881300.0,ns,10
add_remove_component,legion,,,,54774700.0,ns,10
add_remove_component,legion,,,,55276900.0,ns,10
add_remove_component,legion,,,,54659700.0,ns,10
add_remove_component,legion,,,,54360300.0,ns,10
add_remove_component,legion,,,,54738200.0,ns,10
add_remove_component,legion,,,,54442100.0,ns,10
add_remove_component,legion,,,,54417700.0,ns,10
add_remove_component,legion,,,,54216100.0,ns,10
add_remove_component,legion,,,,55325400.0,ns,10
add_remove_component,legion,,,,54626000.0,ns,10
add_remove_component,legion,,,,54018300.0,ns,10
add_remove_component,legion,,,,55006600.0,ns,10
add_remove_component,legion,,,,54599800.0,ns,10
add_remove_component,legion,,,,54460800.0,ns,10
add_remove_component,legion,,,,54518000.0,ns,10
add_remove_component,legion,,,,55136400.0,ns,10
add_remove_component,legion,,,,54762200.0,ns,10
add_remove_component,legion,,,,54129900.0,ns,10
add_remove_component,legion,,,,54203000.0,ns,10
add_remove_component,legion,,,,54520100.0,ns,10
add_remove_component,legion,,,,54476500.0,ns,10
add_remove_component,legion,,,,54692000.0,ns,10
add_remove_component,legion,,,,54156300.0,ns,10
add_remove_component,legion,,,,54110000.0,ns,10
add_remove_component,legion,,,,54349600.0,ns,10
add_remove_component,legion,,,,54268800.0,ns,10
add_remove_component,legion,,,,54294700.0,ns,10
add_remove_component,legion,,,,53999600.0,ns,10
add_remove_component,legion,,,,53739200.0,ns,10
add_remove_component,legion,,,,54253300.0,ns,10
add_remove_component,legion,,,,63255100.0,ns,10
add_remove_component,legion,,,,64740300.0,ns,10
add_remove_component,legion,,,,64778100.0,ns,10
add_remove_component,legion,,,,62759200.0,ns,10
add_remove_component,legion,,,,54602600.0,ns,10
add_remove_component,legion,,,,54407400.0,ns,10
add_remove_component,legion,,,,54933500.0,ns,10
add_remove_component,legion,,,,54497400.0,ns,10
