group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,legion_0.2.4,,,,51813100.0,ns,17
add_remove_component,legion_0.2.4,,,,52268100.0,ns,17
add_remove_component,legion_0.2.4,,,,51817800.0,ns,17
add_remove_component,legion_0.2.4,,,,51876100.0,ns,17
add_remove_component,legion_0.2.4,,,,51854200.0,ns,17
add_remove_component,legion_0.2.4,,,,52102500.0,ns,17
add_remove_component,legion_0.2.4,,,,53118900.0,ns,17
add_remove_component,legion_0.2.4,,,,53931200.0,ns,17
add_remove_component,legion_0.2.4,,,,53017500.0,ns,17
add_remove_component,legion_0.2.4,,,,52941700.0,ns,17
add_remove_component,legion_0.2.4,,,,52326400.0,ns,17
add_remove_component,legion_0.2.4,,,,52475500.0,ns,17
add_remove_component,legion_0.2.4,,,,51722700.0,ns,17
add_remove_component,legion_0.2.4,,,,51527200.0,ns,17
add_remove_component,legion_0.2.4,,,,52158300.0,ns,17
add_remove_component,legion_0.2.4,,,,51980400.0,ns,17
add_remove_component,legion_0.2.4,,,,51669000.0,ns,17
add_remove_component,legion_0.2.4,,,,51671000.0,ns,17
add_remove_component,legion_0.2.4,,,,51830900.0,ns,17
add_remove_component,legion_0.2.4,,,,51754600.0,ns,17
add_remove_component,legion_0.2.4,,,,52011600.0,ns,17
add_remove_component,legion_0.2.4,,,,51876800.0,ns,17
add_remove_component,legion_0.2.4,,,,52469700.0,ns,17
add_remove_component,legion_0.2.4,,,,51748500.0,ns,17
add_remove_component,legion_0.2.4,,,,52115500.0,ns,17
add_remove_component,legion_0.2.4,,,,53072400.0,ns,17
add_remove_component,legion_0.2.4,,,,52226000.0,ns,17
add_remove_component,legion_0.2.4,,,,52186400.0,ns,17
add_remove_component,legion_0.2.4,,,,52811600.0,ns,17
add_remove_component,legion_0.2.4,,,,52990600.0,ns,17
add_remove_component,legion_0.2.4,,,,52900500.0,ns,17
add_remove_component,legion_0.2.4,,,,51928200.0,ns,17
add_remove_component,legion_0.2.4,,,,51643000.0,ns,17
add_remove_component,legion_0.2.4,,,,52035900.0,ns,17
add_remove_component,legion_0.2.4,,,,51948200.0,ns,17
add_remove_component,legion_0.2.4,,,,51722800.0,ns,17
add_remove_component,legion_0.2.4,,,,52436800.0,ns,17
add_remove_component,legion_0.2.4,,,,52372200.0,ns,17
add_remove_component,legion_0.2.4,,,,52038800.0,ns,17
add_remove_component,legion_0.2.4,,,,51843700.0,ns,17
add_remove_component,legion_0.2.4,,,,52704900.0,ns,17
add_remove_component,legion_0.2.4,,,,51981300.0,ns,17
add_remove_component,legion_0.2.4,,,,52446100.0,ns,17
