group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,planck_ecs,,,,1012129.0,ns,12
add_remove_component,planck_ecs,,,,2022957.0,ns,24
add_remove_component,planck_ecs,,,,3033001.0,ns,36
add_remove_component,planck_ecs,,,,4057422.0,ns,48
add_remove_component,planck_ecs,,,,5051126.0,ns,60
add_remove_component,planck_ecs,,,,6087112.0,ns,72
add_remove_component,planck_ecs,,,,7056147.0,ns,84
add_remove_component,planck_ecs,,,,8093284.0,ns,96
add_remove_component,planck_ecs,,,,9111144.0,ns,108
add_remove_component,planck_ecs,,,,10086954.0,ns,120
add_remove_component,planck_ecs,,,,11122538.0,ns,132
add_remove_component,planck_ecs,,,,12100312.0,ns,144
add_remove_component,planck_ecs,,,,13130583.0,ns,156
add_remove_component,planck_ecs,,,,14141601.0,ns,168
add_remove_component,planck_ecs,,,,15191443.0,ns,180
add_remove_component,planck_ecs,,,,16187260.0,ns,192
add_remove_component,planck_ecs,,,,17181184.0,ns,204
add_remove_component,planck_ecs,,,,18209984.0,ns,216
add_remove_component,planck_ecs,,,,19208848.0,ns,228
add_remove_component,planck_ecs,,,,20224564.0,ns,240
add_remove_component,planck_ecs,,,,21227926.0,ns,252
add_remove_component,planck_ecs,,,,22220488.0,ns,264
add_remove_component,planck_ecs,,,,23249009.0,ns,276
add_remove_component,planck_ecs,,,,24247983.0,ns,288
add_remove_component,planck_ecs,,,,25303593.0,ns,300
add_remove_component,planck_ecs,,,,26234678.0,ns,312
add_remove_component,planck_ecs,,,,27301301.0,ns,324
add_remove_component,planck_ecs,,,,28283032.0,ns,336
add_remove_component,planck_ecs,,,,29308005.0,ns,348
add_remove_component,planck_ecs,,,,30315055.0,ns,360
add_remove_component,planck_ecs,,,,31323356.0,ns,372
add_remove_component,planck_ecs,,,,32427490.0,ns,384
add_remove_component,planck_ecs,,,,33362042.0,ns,396
add_remove_component,planck_ecs,,,,34369693.0,ns,408
add_remove_component,planck_ecs,,,,35405756.0,ns,420
add_remove_component,planck_ecs,,,,36377889.0,ns,432
add_remove_component,planck_ecs,,,,37544222.0,ns,444
add_remove_component,planck_ecs,,,,38466680.0,ns,456
add_remove_component,planck_ecs,,,,39431789.0,ns,468
add_remove_component,planck_ecs,,,,40459568.0,ns,480
add_remove_component,planck_ecs,,,,41424217.0,ns,492
add_remove_component,planck_ecs,,,,42498565.0,ns,504
add_remove_component,planck_ecs,,,,43445268.0,ns,516
add_remove_component,planck_ecs,,,,44460563.0,ns,528
add_remove_component,planck_ecs,,,,45506537.0,ns,540
add_remove_component,planck_ecs,,,,46459191.0,ns,552
add_remove_component,planck_ecs,,,,47538589.0,ns,564
add_remove_component,planck_ecs,,,,48579473.0,ns,576
add_remove_component,planck_ecs,,,,49478728.0,ns,588
add_remove_component,planck_ecs,,,,50544467.0,ns,600
add_remove_component,planck_ecs,,,,51536500.0,ns,612
add_remove_component,planck_ecs,,,,52544811.0,ns,624
add_remove_component,planck_ecs,,,,53584500.0,ns,636
add_remove_component,planck_ecs,,,,54575340.0,ns,648
add_remove_component,planck_ecs,,,,55626313.0,ns,660
add_remove_component,planck_ecs,,,,56751848.0,ns,672
add_remove_component,planck_ecs,,,,57574256.0,ns,684
add_remove_component,planck_ecs,,,,58612644.0,ns,696
add_remove_component,planck_ecs,,,,59787503.0,ns,708
add_remove_component,planck_ecs,,,,60689853.0,ns,720
add_remove_component,planck_ecs,,,,61622270.0,ns,732
add_remove_component,planck_ecs,,,,62674795.0,ns,744
add_remove_component,planck_ecs,,,,63699578.0,ns,756
add_remove_component,planck_ecs,,,,64705146.0,ns,768
add_remove_component,planck_ecs,,,,65660186.0,ns,780
add_remove_component,planck_ecs,,,,66656554.0,ns,792
add_remove_component,planck_ecs,,,,67654557.0,ns,804
add_remove_component,planck_ecs,,,,68692093.0,ns,816
add_remove_component,planck_ecs,,,,69633317.0,ns,828
add_remove_component,planck_ecs,,,,70803919.0,ns,840
add_remove_component,planck_ecs,,,,71720385.0,ns,852
add_remove_component,planck_ecs,,,,72683820.0,ns,864
add_remove_component,planck_ecs,,,,73696562.0,ns,876
add_remove_component,planck_ecs,,,,74768963.0,ns,888
add_remove_component,planck_ecs,,,,75764162.0,ns,900
add_remove_component,planck_ecs,,,,76696038.0,ns,912
add_remove_component,planck_ecs,,,,77772689.0,ns,924
add_remove_component,planck_ecs,,,,78766843.0,ns,936
add_remove_component,planck_ecs,,,,80793116.0,ns,948
