group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,planck_ecs,,,,1015746.0,ns,11
add_remove_component,planck_ecs,,,,2132030.0,ns,22
add_remove_component,planck_ecs,,,,3310725.0,ns,33
add_remove_component,planck_ecs,,,,4141862.0,ns,44
add_remove_component,planck_ecs,,,,5094089.0,ns,55
add_remove_component,planck_ecs,,,,6483654.0,ns,66
add_remove_component,planck_ecs,,,,7096353.0,ns,77
add_remove_component,planck_ecs,,,,8115537.0,ns,88
add_remove_component,planck_ecs,,,,9404154.0,ns,99
add_remove_component,planck_ecs,,,,10387798.0,ns,110
add_remove_component,planck_ecs,,,,11220699.0,ns,121
add_remove_component,planck_ecs,,,,11876062.0,ns,132
add_remove_component,planck_ecs,,,,13369773.0,ns,143
add_remove_component,planck_ecs,,,,14341147.0,ns,154
add_remove_component,planck_ecs,,,,15190802.0,ns,165
add_remove_component,planck_ecs,,,,16827145.0,ns,176
add_remove_component,planck_ecs,,,,17204818.0,ns,187
add_remove_component,planck_ecs,,,,18737358.0,ns,198
add_remove_component,planck_ecs,,,,19262710.0,ns,209
add_remove_component,planck_ecs,,,,20464107.0,ns,220
add_remove_component,planck_ecs,,,,21301801.0,ns,231
add_remove_component,planck_ecs,,,,22258483.0,ns,242
add_remove_component,planck_ecs,,,,23442195.0,ns,253
add_remove_component,planck_ecs,,,,24488175.0,ns,264
add_remove_component,planck_ecs,,,,25671184.0,ns,275
add_remove_component,planck_ecs,,,,27005243.0,ns,286
add_remove_component,planck_ecs,,,,27468403.0,ns,297
add_remove_component,planck_ecs,,,,28618549.0,ns,308
add_remove_component,planck_ecs,,,,29827138.0,ns,319
add_remove_component,planck_ecs,,,,30658010.0,ns,330
add_remove_component,planck_ecs,,,,31748029.0,ns,341
add_remove_component,planck_ecs,,,,32773340.0,ns,352
add_remove_component,planck_ecs,,,,34245913.0,ns,363
add_remove_component,planck_ecs,,,,35493167.0,ns,374
add_remove_component,planck_ecs,,,,36092104.0,ns,385
add_remove_component,planck_ecs,,,,36908731.0,ns,396
add_remove_component,planck_ecs,,,,37987286.0,ns,407
add_remove_component,planck_ecs,,,,39830946.0,ns,418
add_remove_component,planck_ecs,,,,40756461.0,ns,429
add_remove_component,planck_ecs,,,,40776412.0,ns,440
add_remove_component,planck_ecs,,,,42780235.0,ns,451
add_remove_component,planck_ecs,,,,42930202.0,ns,462
add_remove_component,planck_ecs,,,,44493010.0,ns,473
add_remove_component,planck_ecs,,,,45257679.0,ns,484
add_remove_component,planck_ecs,,,,46505955.0,ns,495
add_remove_component,planck_ecs,,,,47924362.0,ns,506
add_remove_component,planck_ecs,,,,48019095.0,ns,517
add_remove_component,planck_ecs,,,,49361221.0,ns,528
add_remove_component,planck_ecs,,,,51022264.0,ns,539
add_remove_component,planck_ecs,,,,51879052.0,ns,550
add_remove_component,planck_ecs,,,,51703602.0,ns,561
add_remove_component,planck_ecs,,,,54032900.0,ns,572
add_remove_component,planck_ecs,,,,54561642.0,ns,583
add_remove_component,planck_ecs,,,,56759161.0,ns,594
add_remove_component,planck_ecs,,,,55753177.0,ns,605
add_remove_component,planck_ecs,,,,58194773.0,ns,616
add_remove_component,planck_ecs,,,,60274509.0,ns,627
add_remove_component,planck_ecs,,,,60048848.0,ns,638
add_remove_component,planck_ecs,,,,60929332.0,ns,649
add_remove_component,planck_ecs,,,,62445481.0,ns,660
add_remove_component,planck_ecs,,,,61794043.0,ns,671
add_remove_component,planck_ecs,,,,63299833.0,ns,682
add_remove_component,planck_ecs,,,,64222423.0,ns,693
add_remove_component,planck_ecs,,,,66711860.0,ns,704
add_remove_component,planck_ecs,,,,66601710.0,ns,715
add_remove_component,planck_ecs,,,,69305625.0,ns,726
add_remove_component,planck_ecs,,,,69372511.0,ns,737
add_remove_component,planck_ecs,,,,70214170.0,ns,748
add_remove_component,planck_ecs,,,,70234443.0,ns,759
add_remove_component,planck_ecs,,,,72002664.0,ns,770
add_remove_component,planck_ecs,,,,73090707.0,ns,781
add_remove_component,planck_ecs,,,,73485589.0,ns,792
add_remove_component,planck_ecs,,,,75334955.0,ns,803
add_remove_component,planck_ecs,,,,76311767.0,ns,814
add_remove_component,planck_ecs,,,,78127279.0,ns,825
add_remove_component,planck_ecs,,,,77470757.0,ns,836
