group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,shipyard,,,,1156002.0,ns,9
add_remove_component,shipyard,,,,2203151.0,ns,18
add_remove_component,shipyard,,,,3460352.0,ns,27
add_remove_component,shipyard,,,,4282585.0,ns,36
add_remove_component,shipyard,,,,5814524.0,ns,45
add_remove_component,shipyard,,,,6674961.0,ns,54
add_remove_component,shipyard,,,,7136141.0,ns,63
add_remove_component,shipyard,,,,8251907.0,ns,72
add_remove_component,shipyard,,,,9776671.0,ns,81
add_remove_component,shipyard,,,,10673381.0,ns,90
add_remove_component,shipyard,,,,11053728.0,ns,99
add_remove_component,shipyard,,,,12884629.0,ns,108
add_remove_component,shipyard,,,,14350347.0,ns,117
add_remove_component,shipyard,,,,15414563.0,ns,126
add_remove_component,shipyard,,,,16063508.0,ns,135
add_remove_component,shipyard,,,,18036523.0,ns,144
add_remove_component,shipyard,,,,17457749.0,ns,153
add_remove_component,shipyard,,,,18950067.0,ns,162
add_remove_component,shipyard,,,,20421263.0,ns,171
add_remove_component,shipyard,,,,21659441.0,ns,180
add_remove_component,shipyard,,,,22055170.0,ns,189
add_remove_component,shipyard,,,,22354875.0,ns,198
add_remove_component,shipyard,,,,23368044.0,ns,207
add_remove_component,shipyard,,,,25498437.0,ns,216
add_remove_component,shipyard,,,,26975645.0,ns,225
add_remove_component,shipyard,,,,27638748.0,ns,234
add_remove_component,shipyard,,,,32816560.0,ns,243
add_remove_component,shipyard,,,,29012717.0,ns,252
add_remove_component,shipyard,,,,31265719.0,ns,261
add_remove_component,shipyard,,,,30725060.0,ns,270
add_remove_component,shipyard,,,,32322937.0,ns,279
add_remove_component,shipyard,,,,39683178.0,ns,288
add_remove_component,shipyard,,,,36750231.0,ns,297
add_remove_component,shipyard,,,,38737854.0,ns,306
add_remove_component,shipyard,,,,36893685.0,ns,315
add_remove_component,shipyard,,,,37372062.0,ns,324
add_remove_component,shipyard,,,,38857556.0,ns,333
add_remove_component,shipyard,,,,38921482.0,ns,342
add_remove_component,shipyard,,,,41154261.0,ns,351
add_remove_component,shipyard,,,,41311869.0,ns,360
add_remove_component,shipyard,,,,41520889.0,ns,369
add_remove_component,shipyard,,,,43849003.0,ns,378
add_remove_component,shipyard,,,,44937992.0,ns,387
add_remove_component,shipyard,,,,45948227.0,ns,396
add_remove_component,shipyard,,,,48509346.0,ns,405
add_remove_component,shipyard,,,,51350304.0,ns,414
add_remove_component,shipyard,,,,47807007.0,ns,423
add_remove_component,shipyard,,,,52913863.0,ns,432
add_remove_component,shipyard,,,,55703520.0,ns,441
add_remove_component,shipyard,,,,56443915.0,ns,450
add_remove_component,shipyard,,,,52529864.0,ns,459
add_remove_component,shipyard,,,,54531339.0,ns,468
add_remove_component,shipyard,,,,55545701.0,ns,477
add_remove_component,shipyard,,,,56908434.0,ns,486
add_remove_component,shipyard,,,,61651547.0,ns,495
add_remove_component,shipyard,,,,59539351.0,ns,504
add_remove_component,shipyard,,,,60278279.0,ns,513
add_remove_component,shipyard,,,,60887692.0,ns,522
add_remove_component,shipyard,,,,61915466.0,ns,531
add_remove_component,shipyard,,,,64180844.0,ns,540
add_remove_component,shipyard,,,,64399975.0,ns,549
add_remove_component,shipyard,,,,66441033.0,ns,558
add_remove_component,shipyard,,,,70874929.0,ns,567
add_remove_component,shipyard,,,,70235608.0,ns,576
add_remove_component,shipyard,,,,67126328.0,ns,585
add_remove_component,shipyard,,,,67967485.0,ns,594
add_remove_component,shipyard,,,,71114874.0,ns,603
add_remove_component,shipyard,,,,72657165.0,ns,612
add_remove_component,shipyard,,,,72050394.0,ns,621
add_remove_component,shipyard,,,,76636223.0,ns,630
add_remove_component,shipyard,,,,73958843.0,ns,639
add_remove_component,shipyard,,,,73838077.0,ns,648
add_remove_component,shipyard,,,,78071822.0,ns,657
add_remove_component,shipyard,,,,76326737.0,ns,666
add_remove_component,shipyard,,,,78040515.0,ns,675
add_remove_component,shipyard,,,,80804471.0,ns,684
add_remove_component,shipyard,,,,81792333.0,ns,693
add_remove_component,shipyard,,,,81142730.0,ns,702
add_remove_component,shipyard,,,,83835522.0,ns,711
add_remove_component,shipyard,,,,82822409.0,ns,720
add_remove_component,shipyard,,,,82098247.0,ns,729
add_remove_component,shipyard,,,,89626448.0,ns,738
add_remove_component,shipyard,,,,90851601.0,ns,747
add_remove_component,shipyard,,,,88101705.0,ns,756
add_remove_component,shipyard,,,,90035054.0,ns,765
add_remove_component,shipyard,,,,89960873.0,ns,774
add_remove_component,shipyard,,,,92356825.0,ns,783
add_remove_component,shipyard,,,,98079482.0,ns,792
add_remove_component,shipyard,,,,94748110.0,ns,801
add_remove_component,shipyard,,,,94712866.0,ns,810
add_remove_component,shipyard,,,,94897316.0,ns,819
add_remove_component,shipyard,,,,99534895.0,ns,828
add_remove_component,shipyard,,,,103496301.0,ns,837
add_remove_component,shipyard,,,,97903343.0,ns,846
add_remove_component,shipyard,,,,98870097.0,ns,855
add_remove_component,shipyard,,,,99929704.0,ns,864
add_remove_component,shipyard,,,,99656639.0,ns,873
add_remove_component,shipyard,,,,107533574.0,ns,882
add_remove_component,shipyard,,,,101930386.0,ns,891
add_remove_component,shipyard,,,,106586449.0,ns,900
