group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,shipyard,,,,52567900.0,ns,18
add_remove_component,shipyard,,,,51689900.0,ns,18
add_remove_component,shipyard,,,,52143100.0,ns,18
add_remove_component,shipyard,,,,51940800.0,ns,18
add_remove_component,shipyard,,,,51470500.0,ns,18
add_remove_component,shipyard,,,,52241400.0,ns,18
add_remove_component,shipyard,,,,51416700.0,ns,18
add_remove_component,shipyard,,,,51739800.0,ns,18
add_remove_component,shipyard,,,,51781000.0,ns,18
add_remove_component,shipyard,,,,52883500.0,ns,18
add_remove_component,shipyard,,,,52389100.0,ns,18
add_remove_component,shipyard,,,,52479900.0,ns,18
add_remove_component,shipyard,,,,52292000.0,ns,18
add_remove_component,shipyard,,,,52335700.0,ns,18
add_remove_component,shipyard,,,,52634900.0,ns,18
add_remove_component,shipyard,,,,51919100.0,ns,18
add_remove_component,shipyard,,,,52045000.0,ns,18
add_remove_component,shipyard,,,,51610500.0,ns,18
add_remove_component,shipyard,,,,51818600.0,ns,18
add_remove_component,shipyard,,,,51806800.0,ns,18
add_remove_component,shipyard,,,,51695900.0,ns,18
add_remove_component,shipyard,,,,51932300.0,ns,18
add_remove_component,shipyard,,,,52139500.0,ns,18
add_remove_component,shipyard,,,,60266500.0,ns,18
add_remove_component,shipyard,,,,51715600.0,ns,18
add_remove_component,shipyard,,,,51394700.0,ns,18
add_remove_component,shipyard,,,,51721900.0,ns,18
add_remove_component,shipyard,,,,52334000.0,ns,18
add_remove_component,shipyard,,,,52947900.0,ns,18
add_remove_component,shipyard,,,,52608600.0,ns,18
add_remove_component,shipyard,,,,52744500.0,ns,18
add_remove_component,shipyard,,,,52261700.0,ns,18
add_remove_component,shipyard,,,,52365900.0,ns,18
add_remove_component,shipyard,,,,52026600.0,ns,18
add_remove_component,shipyard,,,,51622700.0,ns,18
add_remove_component,shipyard,,,,51977800.0,ns,18
add_remove_component,shipyard,,,,51634300.0,ns,18
add_remove_component,shipyard,,,,51830300.0,ns,18
add_remove_component,shipyard,,,,51707800.0,ns,18
add_remove_component,shipyard,,,,51583900.0,ns,18
add_remove_component,shipyard,,,,51651400.0,ns,18
add_remove_component,shipyard,,,,52569300.0,ns,18
add_remove_component,shipyard,,,,52050200.0,ns,18
add_remove_component,shipyard,,,,52350600.0,ns,18
add_remove_component,shipyard,,,,51908700.0,ns,18
add_remove_component,shipyard,,,,52051800.0,ns,18
add_remove_component,shipyard,,,,52694800.0,ns,18
add_remove_component,shipyard,,,,52911500.0,ns,18
add_remove_component,shipyard,,,,52585100.0,ns,18
add_remove_component,shipyard,,,,52309600.0,ns,18
add_remove_component,shipyard,,,,52215200.0,ns,18
add_remove_component,shipyard,,,,52781100.0,ns,18
add_remove_component,shipyard,,,,52066100.0,ns,18
add_remove_component,shipyard,,,,51662000.0,ns,18
add_remove_component,shipyard,,,,51674100.0,ns,18
add_remove_component,shipyard,,,,51448500.0,ns,18
add_remove_component,shipyard,,,,51822000.0,ns,18
add_remove_component,shipyard,,,,51798600.0,ns,18
add_remove_component,shipyard,,,,51780500.0,ns,18
add_remove_component,shipyard,,,,52314200.0,ns,18
add_remove_component,shipyard,,,,52017000.0,ns,18
add_remove_component,shipyard,,,,51550700.0,ns,18
add_remove_component,shipyard,,,,51444100.0,ns,18
add_remove_component,shipyard,,,,52251700.0,ns,18
add_remove_component,shipyard,,,,52036100.0,ns,18
add_remove_component,shipyard,,,,52433700.0,ns,18
add_remove_component,shipyard,,,,52510300.0,ns,18
add_remove_component,shipyard,,,,52411400.0,ns,18
add_remove_component,shipyard,,,,52382300.0,ns,18
add_remove_component,shipyard,,,,52356200.0,ns,18
add_remove_component,shipyard,,,,52002300.0,ns,18
add_remove_component,shipyard,,,,52120400.0,ns,18
add_remove_component,shipyard,,,,51920500.0,ns,18
add_remove_component,shipyard,,,,51738200.0,ns,18
add_remove_component,shipyard,,,,51670900.0,ns,18
add_remove_component,shipyard,,,,51576900.0,ns,18
add_remove_component,shipyard,,,,51673700.0,ns,18
add_remove_component,shipyard,,,,52171100.0,ns,18
add_remove_component,shipyard,,,,51808500.0,ns,18
add_remove_component,shipyard,,,,51645000.0,ns,18
add_remove_component,shipyard,,,,51689800.0,ns,18
add_remove_component,shipyard,,,,51869500.0,ns,18
add_remove_component,shipyard,,,,52395600.0,ns,18
add_remove_component,shipyard,,,,51718200.0,ns,18
add_remove_component,shipyard,,,,53310100.0,ns,18
add_remove_component,shipyard,,,,52411600.0,ns,18
add_remove_component,shipyard,,,,52342700.0,ns,18
add_remove_component,shipyard,,,,52261400.0,ns,18
add_remove_component,shipyard,,,,52338800.0,ns,18
add_remove_component,shipyard,,,,52093900.0,ns,18
add_remove_component,shipyard,,,,51651900.0,ns,18
add_remove_component,shipyard,,,,51839400.0,ns,18
add_remove_component,shipyard,,,,51802200.0,ns,18
add_remove_component,shipyard,,,,51659700.0,ns,18
add_remove_component,shipyard,,,,51794000.0,ns,18
add_remove_component,shipyard,,,,51868100.0,ns,18
add_remove_component,shipyard,,,,52247200.0,ns,18
add_remove_component,shipyard,,,,51481400.0,ns,18
add_remove_component,shipyard,,,,51796000.0,ns,18
add_remove_component,shipyard,,,,51816500.0,ns,18
