group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,specs,,,,1066020.0,ns,12
add_remove_component,specs,,,,2117985.0,ns,24
add_remove_component,specs,,,,3168285.0,ns,36
add_remove_component,specs,,,,4225179.0,ns,48
add_remove_component,specs,,,,5272264.0,ns,60
add_remove_component,specs,,,,6330349.0,ns,72
add_remove_component,specs,,,,7391001.0,ns,84
add_remove_component,specs,,,,8459475.0,ns,96
add_remove_component,specs,,,,9527260.0,ns,108
add_remove_component,specs,,,,10563484.0,ns,120
add_remove_component,specs,,,,11620948.0,ns,132
add_remove_component,specs,,,,12685396.0,ns,144
add_remove_component,specs,,,,13717161.0,ns,156
add_remove_component,specs,,,,14784374.0,ns,168
add_remove_component,specs,,,,15822482.0,ns,180
add_remove_component,specs,,,,16887270.0,ns,192
add_remove_component,specs,,,,17969061.0,ns,204
add_remove_component,specs,,,,19566896.0,ns,216
add_remove_component,specs,,,,21006589.0,ns,228
add_remove_component,specs,,,,22110952.0,ns,240
add_remove_component,specs,,,,23219243.0,ns,252
add_remove_component,specs,,,,24322034.0,ns,264
add_remove_component,specs,,,,25418833.0,ns,276
add_remove_component,specs,,,,26549687.0,ns,288
add_remove_component,specs,,,,27599228.0,ns,300
add_remove_component,specs,,,,28792239.0,ns,312
add_remove_component,specs,,,,29830718.0,ns,324
add_remove_component,specs,,,,30355909.0,ns,336
add_remove_component,specs,,,,30719662.0,ns,348
add_remove_component,specs,,,,31692845.0,ns,360
add_remove_component,specs,,,,32745922.0,ns,372
add_remove_component,specs,,,,33772738.0,ns,384
add_remove_component,specs,,,,36450698.0,ns,396
add_remove_component,specs,,,,37777517.0,ns,408
add_remove_component,specs,,,,38694534.0,ns,420
add_remove_component,specs,,,,39782797.0,ns,432
add_remove_component,specs,,,,40904084.0,ns,444
add_remove_component,specs,,,,40804454.0,ns,456
add_remove_component,specs,,,,41161764.0,ns,468
add_remove_component,specs,,,,44197297.0,ns,480
add_remove_component,specs,,,,45294046.0,ns,492
add_remove_component,specs,,,,44982674.0,ns,504
add_remove_component,specs,,,,46238386.0,ns,516
add_remove_component,specs,,,,48610013.0,ns,528
add_remove_component,specs,,,,49759704.0,ns,540
add_remove_component,specs,,,,50789524.0,ns,552
add_remove_component,specs,,,,49598736.0,ns,564
add_remove_component,specs,,,,52477701.0,ns,576
add_remove_component,specs,,,,54143845.0,ns,588
add_remove_component,specs,,,,55299396.0,ns,600
add_remove_component,specs,,,,55408474.0,ns,612
add_remove_component,specs,,,,54878295.0,ns,624
add_remove_component,specs,,,,55955436.0,ns,636
add_remove_component,specs,,,,56990067.0,ns,648
add_remove_component,specs,,,,58050167.0,ns,660
add_remove_component,specs,,,,59162595.0,ns,672
add_remove_component,specs,,,,60247834.0,ns,684
add_remove_component,specs,,,,63755255.0,ns,696
add_remove_component,specs,,,,65219424.0,ns,708
add_remove_component,specs,,,,66454328.0,ns,720
add_remove_component,specs,,,,67407692.0,ns,732
add_remove_component,specs,,,,68517298.0,ns,744
add_remove_component,specs,,,,68747235.0,ns,756
add_remove_component,specs,,,,67676915.0,ns,768
add_remove_component,specs,,,,68670539.0,ns,780
add_remove_component,specs,,,,72498250.0,ns,792
add_remove_component,specs,,,,71070059.0,ns,804
add_remove_component,specs,,,,71859333.0,ns,816
add_remove_component,specs,,,,73059421.0,ns,828
add_remove_component,specs,,,,74096475.0,ns,840
add_remove_component,specs,,,,74956003.0,ns,852
add_remove_component,specs,,,,76385204.0,ns,864
add_remove_component,specs,,,,78430782.0,ns,876
add_remove_component,specs,,,,78189443.0,ns,888
add_remove_component,specs,,,,79498146.0,ns,900
add_remove_component,specs,,,,82256501.0,ns,912
add_remove_component,specs,,,,81445905.0,ns,924
add_remove_component,specs,,,,82589924.0,ns,936
add_remove_component,specs,,,,83721091.0,ns,948
add_remove_component,specs,,,,84532917.0,ns,960
add_remove_component,specs,,,,85573739.0,ns,972
add_remove_component,specs,,,,86604503.0,ns,984
add_remove_component,specs,,,,91714348.0,ns,996
add_remove_component,specs,,,,92817840.0,ns,1008
add_remove_component,specs,,,,93918135.0,ns,1020
add_remove_component,specs,,,,95022350.0,ns,1032
add_remove_component,specs,,,,96119129.0,ns,1044
add_remove_component,specs,,,,93898818.0,ns,1056
add_remove_component,specs,,,,94010042.0,ns,1068
add_remove_component,specs,,,,97975074.0,ns,1080
add_remove_component,specs,,,,100497841.0,ns,1092
add_remove_component,specs,,,,101731932.0,ns,1104
add_remove_component,specs,,,,102806468.0,ns,1116
add_remove_component,specs,,,,103886255.0,ns,1128
add_remove_component,specs,,,,102224950.0,ns,1140
add_remove_component,specs,,,,101536798.0,ns,1152
add_remove_component,specs,,,,103213574.0,ns,1164
add_remove_component,specs,,,,104345981.0,ns,1176
add_remove_component,specs,,,,104740322.0,ns,1188
add_remove_component,specs,,,,105621471.0,ns,1200
