group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,specs,,,,1001348.0,ns,9
add_remove_component,specs,,,,2004709.0,ns,18
add_remove_component,specs,,,,2918325.0,ns,27
add_remove_component,specs,,,,3927541.0,ns,36
add_remove_component,specs,,,,5086913.0,ns,45
add_remove_component,specs,,,,6370991.0,ns,54
add_remove_component,specs,,,,7180754.0,ns,63
add_remove_component,specs,,,,8031408.0,ns,72
add_remove_component,specs,,,,10007320.0,ns,81
add_remove_component,specs,,,,10583949.0,ns,90
add_remove_component,specs,,,,11607382.0,ns,99
add_remove_component,specs,,,,12519086.0,ns,108
add_remove_component,specs,,,,13396164.0,ns,117
add_remove_component,specs,,,,13981909.0,ns,126
add_remove_component,specs,,,,16360235.0,ns,135
add_remove_component,specs,,,,17053297.0,ns,144
add_remove_component,specs,,,,17171879.0,ns,153
add_remove_component,specs,,,,19503632.0,ns,162
add_remove_component,specs,,,,20385336.0,ns,171
add_remove_component,specs,,,,20364598.0,ns,180
add_remove_component,specs,,,,21513975.0,ns,189
add_remove_component,specs,,,,22825901.0,ns,198
add_remove_component,specs,,,,25064438.0,ns,207
add_remove_component,specs,,,,24553463.0,ns,216
add_remove_component,specs,,,,25066389.0,ns,225
add_remove_component,specs,,,,26380750.0,ns,234
add_remove_component,specs,,,,28568087.0,ns,243
add_remove_component,specs,,,,32829073.0,ns,252
add_remove_component,specs,,,,29347022.0,ns,261
add_remove_component,specs,,,,30126245.0,ns,270
add_remove_component,specs,,,,31029675.0,ns,279
add_remove_component,specs,,,,34121249.0,ns,288
add_remove_component,specs,,,,34054560.0,ns,297
add_remove_component,specs,,,,36733106.0,ns,306
add_remove_component,specs,,,,36441754.0,ns,315
add_remove_component,specs,,,,37440911.0,ns,324
add_remove_component,specs,,,,37669108.0,ns,333
add_remove_component,specs,,,,39613715.0,ns,342
add_remove_component,specs,,,,40553672.0,ns,351
add_remove_component,specs,,,,40284788.0,ns,360
add_remove_component,specs,,,,41620282.0,ns,369
add_remove_component,specs,,,,42102380.0,ns,378
add_remove_component,specs,,,,43683422.0,ns,387
add_remove_component,specs,,,,44627963.0,ns,396
add_remove_component,specs,,,,46757423.0,ns,405
add_remove_component,specs,,,,48148180.0,ns,414
add_remove_component,specs,,,,50286045.0,ns,423
add_remove_component,specs,,,,50829127.0,ns,432
add_remove_component,specs,,,,55179251.0,ns,441
add_remove_component,specs,,,,55234627.0,ns,450
add_remove_component,specs,,,,52409950.0,ns,459
add_remove_component,specs,,,,52100396.0,ns,468
add_remove_component,specs,,,,53008227.0,ns,477
add_remove_component,specs,,,,58191429.0,ns,486
add_remove_component,specs,,,,57770572.0,ns,495
add_remove_component,specs,,,,61726089.0,ns,504
add_remove_component,specs,,,,61046852.0,ns,513
add_remove_component,specs,,,,61792385.0,ns,522
add_remove_component,specs,,,,60232067.0,ns,531
add_remove_component,specs,,,,61258502.0,ns,540
add_remove_component,specs,,,,62513158.0,ns,549
add_remove_component,specs,,,,64806359.0,ns,558
add_remove_component,specs,,,,64541589.0,ns,567
add_remove_component,specs,,,,67727347.0,ns,576
add_remove_component,specs,,,,66161303.0,ns,585
add_remove_component,specs,,,,66847007.0,ns,594
add_remove_component,specs,,,,69802268.0,ns,603
add_remove_component,specs,,,,68720298.0,ns,612
add_remove_component,specs,,,,72682096.0,ns,621
add_remove_component,specs,,,,71538057.0,ns,630
add_remove_component,specs,,,,77755703.0,ns,639
add_remove_component,specs,,,,73849350.0,ns,648
add_remove_component,specs,,,,75007117.0,ns,657
add_remove_component,specs,,,,75929639.0,ns,666
add_remove_component,specs,,,,75252981.0,ns,675
add_remove_component,specs,,,,79987783.0,ns,684
add_remove_component,specs,,,,79573987.0,ns,693
add_remove_component,specs,,,,80693323.0,ns,702
add_remove_component,specs,,,,82209053.0,ns,711
add_remove_component,specs,,,,80691947.0,ns,720
add_remove_component,specs,,,,83087926.0,ns,729
add_remove_component,specs,,,,86224301.0,ns,738
add_remove_component,specs,,,,86324413.0,ns,747
add_remove_component,specs,,,,86835878.0,ns,756
add_remove_component,specs,,,,97536143.0,ns,765
add_remove_component,specs,,,,87232645.0,ns,774
add_remove_component,specs,,,,91098751.0,ns,783
add_remove_component,specs,,,,91294659.0,ns,792
add_remove_component,specs,,,,92749124.0,ns,801
add_remove_component,specs,,,,91855305.0,ns,810
add_remove_component,specs,,,,93388595.0,ns,819
add_remove_component,specs,,,,92872069.0,ns,828
add_remove_component,specs,,,,97191035.0,ns,837
add_remove_component,specs,,,,96335114.0,ns,846
add_remove_component,specs,,,,100515929.0,ns,855
add_remove_component,specs,,,,97429848.0,ns,864
add_remove_component,specs,,,,98325554.0,ns,873
add_remove_component,specs,,,,100834729.0,ns,882
add_remove_component,specs,,,,99941831.0,ns,891
add_remove_component,specs,,,,103181493.0,ns,900
