group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,bevy,,,,1039300.0,ns,739
fragmented_iter,bevy,,,,1970600.0,ns,1478
fragmented_iter,bevy,,,,2974900.0,ns,2217
fragmented_iter,bevy,,,,3980900.0,ns,2956
fragmented_iter,bevy,,,,4925400.0,ns,3695
fragmented_iter,bevy,,,,5920000.0,ns,4434
fragmented_iter,bevy,,,,6910800.0,ns,5173
fragmented_iter,bevy,,,,7895000.0,ns,5912
fragmented_iter,bevy,,,,8834200.0,ns,6651
fragmented_iter,bevy,,,,9916100.0,ns,7390
fragmented_iter,bevy,,,,10818300.0,ns,8129
fragmented_iter,bevy,,,,11993900.0,ns,8868
fragmented_iter,bevy,,,,12759200.0,ns,9607
fragmented_iter,bevy,,,,13776400.0,ns,10346
fragmented_iter,bevy,,,,14870300.0,ns,11085
fragmented_iter,bevy,,,,16042000.0,ns,11824
fragmented_iter,bevy,,,,16721600.0,ns,12563
fragmented_iter,bevy,,,,17723500.0,ns,13302
fragmented_iter,bevy,,,,18786600.0,ns,14041
fragmented_iter,bevy,,,,19765400.0,ns,14780
fragmented_iter,bevy,,,,20620700.0,ns,15519
fragmented_iter,bevy,,,,21740000.0,ns,16258
fragmented_iter,bevy,,,,22602600.0,ns,16997
fragmented_iter,bevy,,,,23439200.0,ns,17736
fragmented_iter,bevy,,,,24444000.0,ns,18475
fragmented_iter,bevy,,,,25706900.0,ns,19214
fragmented_iter,bevy,,,,26622000.0,ns,19953
fragmented_iter,bevy,,,,27534500.0,ns,20692
fragmented_iter,bevy,,,,28462400.0,ns,21431
fragmented_iter,bevy,,,,29515000.0,ns,22170
fragmented_iter,bevy,,,,30742800.0,ns,22909
fragmented_iter,bevy,,,,31675300.0,ns,23648
fragmented_iter,bevy,,,,32491700.0,ns,24387
fragmented_iter,bevy,,,,33276000.0,ns,25126
fragmented_iter,bevy,,,,34638400.0,ns,25865
fragmented_iter,bevy,,,,36334800.0,ns,26604
fragmented_iter,bevy,,,,37049800.0,ns,27343
fragmented_iter,bevy,,,,37834000.0,ns,28082
fragmented_iter,bevy,,,,39071000.0,ns,28821
fragmented_iter,bevy,,,,40333900.0,ns,29560
fragmented_iter,bevy,,,,40872400.0,ns,30299
fragmented_iter,bevy,,,,41552600.0,ns,31038
fragmented_iter,bevy,,,,43153900.0,ns,31777
fragmented_iter,bevy,,,,43706300.0,ns,32516
fragmented_iter,bevy,,,,44311900.0,ns,33255
fragmented_iter,bevy,,,,45659500.0,ns,33994
fragmented_iter,bevy,,,,46496300.0,ns,34733
fragmented_iter,bevy,,,,47464000.0,ns,35472
fragmented_iter,bevy,,,,48612200.0,ns,36211
fragmented_iter,bevy,,,,49487200.0,ns,36950
fragmented_iter,bevy,,,,50196200.0,ns,37689
fragmented_iter,bevy,,,,51606600.0,ns,38428
fragmented_iter,bevy,,,,52640800.0,ns,39167
fragmented_iter,bevy,,,,53682800.0,ns,39906
fragmented_iter,bevy,,,,53764500.0,ns,40645
fragmented_iter,bevy,,,,54987700.0,ns,41384
fragmented_iter,bevy,,,,56176300.0,ns,42123
fragmented_iter,bevy,,,,57851300.0,ns,42862
fragmented_iter,bevy,,,,58693000.0,ns,43601
fragmented_iter,bevy,,,,59199000.0,ns,44340
fragmented_iter,bevy,,,,60126800.0,ns,45079
fragmented_iter,bevy,,,,61189300.0,ns,45818
fragmented_iter,bevy,,,,62298500.0,ns,46557
fragmented_iter,bevy,,,,63227500.0,ns,47296
fragmented_iter,bevy,,,,63634200.0,ns,48035
fragmented_iter,bevy,,,,64678000.0,ns,48774
fragmented_iter,bevy,,,,66081600.0,ns,49513
fragmented_iter,bevy,,,,67021400.0,ns,50252
fragmented_iter,bevy,,,,68784900.0,ns,50991
fragmented_iter,bevy,,,,69271200.0,ns,51730
fragmented_iter,bevy,,,,70695600.0,ns,52469
fragmented_iter,bevy,,,,72151300.0,ns,53208
fragmented_iter,bevy,,,,79499700.0,ns,53947
fragmented_iter,bevy,,,,74167600.0,ns,54686
fragmented_iter,bevy,,,,74733500.0,ns,55425
fragmented_iter,bevy,,,,75930300.0,ns,56164
fragmented_iter,bevy,,,,75890400.0,ns,56903
fragmented_iter,bevy,,,,76680500.0,ns,57642
fragmented_iter,bevy,,,,77288400.0,ns,58381
fragmented_iter,bevy,,,,78416000.0,ns,59120
fragmented_iter,bevy,,,,79175400.0,ns,59859
fragmented_iter,bevy,,,,80518100.0,ns,60598
fragmented_iter,bevy,,,,81913900.0,ns,61337
fragmented_iter,bevy,,,,83810700.0,ns,62076
fragmented_iter,bevy,,,,83012800.0,ns,62815
fragmented_iter,bevy,,,,86446700.0,ns,63554
fragmented_iter,bevy,,,,86111400.0,ns,64293
fragmented_iter,bevy,,,,87432300.0,ns,65032
fragmented_iter,bevy,,,,88185800.0,ns,65771
fragmented_iter,bevy,,,,88387800.0,ns,66510
fragmented_iter,bevy,,,,89275300.0,ns,67249
fragmented_iter,bevy,,,,90272500.0,ns,67988
fragmented_iter,bevy,,,,90922000.0,ns,68727
fragmented_iter,bevy,,,,92116700.0,ns,69466
fragmented_iter,bevy,,,,94534500.0,ns,70205
fragmented_iter,bevy,,,,94264500.0,ns,70944
fragmented_iter,bevy,,,,96509400.0,ns,71683
fragmented_iter,bevy,,,,97245500.0,ns,72422
fragmented_iter,bevy,,,,98934200.0,ns,73161
fragmented_iter,bevy,,,,98417400.0,ns,73900
