group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,bevy,,,,990367.0,ns,665
fragmented_iter,bevy,,,,1995332.0,ns,1330
fragmented_iter,bevy,,,,3121726.0,ns,1995
fragmented_iter,bevy,,,,3810640.0,ns,2660
fragmented_iter,bevy,,,,5102740.0,ns,3325
fragmented_iter,bevy,,,,5640576.0,ns,3990
fragmented_iter,bevy,,,,7076821.0,ns,4655
fragmented_iter,bevy,,,,8080142.0,ns,5320
fragmented_iter,bevy,,,,8666670.0,ns,5985
fragmented_iter,bevy,,,,10367400.0,ns,6650
fragmented_iter,bevy,,,,10480134.0,ns,7315
fragmented_iter,bevy,,,,11977357.0,ns,7980
fragmented_iter,bevy,,,,12405634.0,ns,8645
fragmented_iter,bevy,,,,14413737.0,ns,9310
fragmented_iter,bevy,,,,14822457.0,ns,9975
fragmented_iter,bevy,,,,16140017.0,ns,10640
fragmented_iter,bevy,,,,16994224.0,ns,11305
fragmented_iter,bevy,,,,17236075.0,ns,11970
fragmented_iter,bevy,,,,18772330.0,ns,12635
fragmented_iter,bevy,,,,19855094.0,ns,13300
fragmented_iter,bevy,,,,20881849.0,ns,13965
fragmented_iter,bevy,,,,21117630.0,ns,14630
fragmented_iter,bevy,,,,23256863.0,ns,15295
fragmented_iter,bevy,,,,23173456.0,ns,15960
fragmented_iter,bevy,,,,25173135.0,ns,16625
fragmented_iter,bevy,,,,26025468.0,ns,17290
fragmented_iter,bevy,,,,26883754.0,ns,17955
fragmented_iter,bevy,,,,27078735.0,ns,18620
fragmented_iter,bevy,,,,28917327.0,ns,19285
fragmented_iter,bevy,,,,28897128.0,ns,19950
fragmented_iter,bevy,,,,30899885.0,ns,20615
fragmented_iter,bevy,,,,32297507.0,ns,21280
fragmented_iter,bevy,,,,32918038.0,ns,21945
fragmented_iter,bevy,,,,32151138.0,ns,22610
fragmented_iter,bevy,,,,34719440.0,ns,23275
fragmented_iter,bevy,,,,34159443.0,ns,23940
fragmented_iter,bevy,,,,36441471.0,ns,24605
fragmented_iter,bevy,,,,37787004.0,ns,25270
fragmented_iter,bevy,,,,37043067.0,ns,25935
fragmented_iter,bevy,,,,39597171.0,ns,26600
fragmented_iter,bevy,,,,41951307.0,ns,27265
fragmented_iter,bevy,,,,45519003.0,ns,27930
fragmented_iter,bevy,,,,39102029.0,ns,28595
fragmented_iter,bevy,,,,42229617.0,ns,29260
fragmented_iter,bevy,,,,41573969.0,ns,29925
fragmented_iter,bevy,,,,43337407.0,ns,30590
fragmented_iter,bevy,,,,42880257.0,ns,31255
fragmented_iter,bevy,,,,45492623.0,ns,31920
fragmented_iter,bevy,,,,46717536.0,ns,32585
fragmented_iter,bevy,,,,46553464.0,ns,33250
fragmented_iter,bevy,,,,48536723.0,ns,33915
fragmented_iter,bevy,,,,50109939.0,ns,34580
fragmented_iter,bevy,,,,51456925.0,ns,35245
fragmented_iter,bevy,,,,51348409.0,ns,35910
fragmented_iter,bevy,,,,50286326.0,ns,36575
fragmented_iter,bevy,,,,53145590.0,ns,37240
fragmented_iter,bevy,,,,54470597.0,ns,37905
fragmented_iter,bevy,,,,53584497.0,ns,38570
fragmented_iter,bevy,,,,54127995.0,ns,39235
fragmented_iter,bevy,,,,55518793.0,ns,39900
fragmented_iter,bevy,,,,58708519.0,ns,40565
fragmented_iter,bevy,,,,59768238.0,ns,41230
fragmented_iter,bevy,,,,60135859.0,ns,41895
fragmented_iter,bevy,,,,57947108.0,ns,42560
fragmented_iter,bevy,,,,61973420.0,ns,43225
fragmented_iter,bevy,,,,60634929.0,ns,43890
fragmented_iter,bevy,,,,64140567.0,ns,44555
fragmented_iter,bevy,,,,62461349.0,ns,45220
fragmented_iter,bevy,,,,62984274.0,ns,45885
fragmented_iter,bevy,,,,67350263.0,ns,46550
fragmented_iter,bevy,,,,65729273.0,ns,47215
fragmented_iter,bevy,,,,66730582.0,ns,47880
fragmented_iter,bevy,,,,70428165.0,ns,48545
fragmented_iter,bevy,,,,68374262.0,ns,49210
fragmented_iter,bevy,,,,71085488.0,ns,49875
fragmented_iter,bevy,,,,72334296.0,ns,50540
fragmented_iter,bevy,,,,72195342.0,ns,51205
fragmented_iter,bevy,,,,72033393.0,ns,51870
fragmented_iter,bevy,,,,73089655.0,ns,52535
fragmented_iter,bevy,,,,73204986.0,ns,53200
fragmented_iter,bevy,,,,75508614.0,ns,53865
fragmented_iter,bevy,,,,75853139.0,ns,54530
fragmented_iter,bevy,,,,75810910.0,ns,55195
fragmented_iter,bevy,,,,77374207.0,ns,55860
fragmented_iter,bevy,,,,77788536.0,ns,56525
fragmented_iter,bevy,,,,80521733.0,ns,57190
fragmented_iter,bevy,,,,83642918.0,ns,57855
fragmented_iter,bevy,,,,83979792.0,ns,58520
fragmented_iter,bevy,,,,86370294.0,ns,59185
fragmented_iter,bevy,,,,82470505.0,ns,59850
fragmented_iter,bevy,,,,84407847.0,ns,60515
fragmented_iter,bevy,,,,85836747.0,ns,61180
fragmented_iter,bevy,,,,85955876.0,ns,61845
fragmented_iter,bevy,,,,88847343.0,ns,62510
fragmented_iter,bevy,,,,88719811.0,ns,63175
fragmented_iter,bevy,,,,91720867.0,ns,63840
fragmented_iter,bevy,,,,88953686.0,ns,64505
fragmented_iter,bevy,,,,92800794.0,ns,65170
fragmented_iter,bevy,,,,91110584.0,ns,65835
fragmented_iter,bevy,,,,94337141.0,ns,66500
