group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,brood,,,,1135500.0,ns,1935
fragmented_iter,brood,,,,1962400.0,ns,3870
fragmented_iter,brood,,,,2922500.0,ns,5805
fragmented_iter,brood,,,,4085600.0,ns,7740
fragmented_iter,brood,,,,4907400.0,ns,9675
fragmented_iter,brood,,,,5894800.0,ns,11610
fragmented_iter,brood,,,,7029900.0,ns,13545
fragmented_iter,brood,,,,7924000.0,ns,15480
fragmented_iter,brood,,,,8826900.0,ns,17415
fragmented_iter,brood,,,,9986600.0,ns,19350
fragmented_iter,brood,,,,10996300.0,ns,21285
fragmented_iter,brood,,,,12087400.0,ns,23220
fragmented_iter,brood,,,,12847900.0,ns,25155
fragmented_iter,brood,,,,13923600.0,ns,27090
fragmented_iter,brood,,,,14827100.0,ns,29025
fragmented_iter,brood,,,,15951800.0,ns,30960
fragmented_iter,brood,,,,16792500.0,ns,32895
fragmented_iter,brood,,,,17658800.0,ns,34830
fragmented_iter,brood,,,,18733300.0,ns,36765
fragmented_iter,brood,,,,19715600.0,ns,38700
fragmented_iter,brood,,,,20772600.0,ns,40635
fragmented_iter,brood,,,,21718200.0,ns,42570
fragmented_iter,brood,,,,22908500.0,ns,44505
fragmented_iter,brood,,,,23570400.0,ns,46440
fragmented_iter,brood,,,,25272500.0,ns,48375
fragmented_iter,brood,,,,25630300.0,ns,50310
fragmented_iter,brood,,,,26572200.0,ns,52245
fragmented_iter,brood,,,,27654900.0,ns,54180
fragmented_iter,brood,,,,28359300.0,ns,56115
fragmented_iter,brood,,,,31819600.0,ns,58050
fragmented_iter,brood,,,,30279300.0,ns,59985
fragmented_iter,brood,,,,31882400.0,ns,61920
fragmented_iter,brood,,,,32627400.0,ns,63855
fragmented_iter,brood,,,,33487800.0,ns,65790
fragmented_iter,brood,,,,34253700.0,ns,67725
fragmented_iter,brood,,,,36054400.0,ns,69660
fragmented_iter,brood,,,,37059100.0,ns,71595
fragmented_iter,brood,,,,37463400.0,ns,73530
fragmented_iter,brood,,,,38600100.0,ns,75465
fragmented_iter,brood,,,,39305500.0,ns,77400
fragmented_iter,brood,,,,40410300.0,ns,79335
fragmented_iter,brood,,,,41699800.0,ns,81270
fragmented_iter,brood,,,,42576600.0,ns,83205
fragmented_iter,brood,,,,43447200.0,ns,85140
fragmented_iter,brood,,,,44242000.0,ns,87075
fragmented_iter,brood,,,,45160700.0,ns,89010
fragmented_iter,brood,,,,46308700.0,ns,90945
fragmented_iter,brood,,,,47333000.0,ns,92880
fragmented_iter,brood,,,,48314000.0,ns,94815
fragmented_iter,brood,,,,49573600.0,ns,96750
fragmented_iter,brood,,,,50097600.0,ns,98685
fragmented_iter,brood,,,,50997200.0,ns,100620
fragmented_iter,brood,,,,52488500.0,ns,102555
fragmented_iter,brood,,,,53293800.0,ns,104490
fragmented_iter,brood,,,,54184700.0,ns,106425
fragmented_iter,brood,,,,55917400.0,ns,108360
fragmented_iter,brood,,,,56284100.0,ns,110295
fragmented_iter,brood,,,,57567800.0,ns,112230
fragmented_iter,brood,,,,58508000.0,ns,114165
fragmented_iter,brood,,,,58632800.0,ns,116100
fragmented_iter,brood,,,,60283500.0,ns,118035
fragmented_iter,brood,,,,60696200.0,ns,119970
fragmented_iter,brood,,,,61926800.0,ns,121905
fragmented_iter,brood,,,,63189400.0,ns,123840
fragmented_iter,brood,,,,63933800.0,ns,125775
fragmented_iter,brood,,,,64490200.0,ns,127710
fragmented_iter,brood,,,,66222900.0,ns,129645
fragmented_iter,brood,,,,68156800.0,ns,131580
fragmented_iter,brood,,,,68780100.0,ns,133515
fragmented_iter,brood,,,,69080900.0,ns,135450
fragmented_iter,brood,,,,70407600.0,ns,137385
fragmented_iter,brood,,,,71062700.0,ns,139320
fragmented_iter,brood,,,,71700000.0,ns,141255
fragmented_iter,brood,,,,72666100.0,ns,143190
fragmented_iter,brood,,,,74834000.0,ns,145125
fragmented_iter,brood,,,,76035100.0,ns,147060
fragmented_iter,brood,,,,76728000.0,ns,148995
fragmented_iter,brood,,,,77214800.0,ns,150930
fragmented_iter,brood,,,,77849700.0,ns,152865
fragmented_iter,brood,,,,80762200.0,ns,154800
fragmented_iter,brood,,,,80101600.0,ns,156735
fragmented_iter,brood,,,,81132300.0,ns,158670
fragmented_iter,brood,,,,82029700.0,ns,160605
fragmented_iter,brood,,,,83142500.0,ns,162540
fragmented_iter,brood,,,,83156800.0,ns,164475
fragmented_iter,brood,,,,85163000.0,ns,166410
fragmented_iter,brood,,,,85988700.0,ns,168345
fragmented_iter,brood,,,,86755500.0,ns,170280
fragmented_iter,brood,,,,88070600.0,ns,172215
fragmented_iter,brood,,,,88253600.0,ns,174150
fragmented_iter,brood,,,,89163100.0,ns,176085
fragmented_iter,brood,,,,90710400.0,ns,178020
fragmented_iter,brood,,,,91849000.0,ns,179955
fragmented_iter,brood,,,,92686200.0,ns,181890
fragmented_iter,brood,,,,93164600.0,ns,183825
fragmented_iter,brood,,,,94467100.0,ns,185760
fragmented_iter,brood,,,,95930700.0,ns,187695
fragmented_iter,brood,,,,96016400.0,ns,189630
fragmented_iter,brood,,,,96907800.0,ns,191565
fragmented_iter,brood,,,,99004000.0,ns,193500
