group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,hecs,,,,1159511.0,ns,2417
fragmented_iter,hecs,,,,1893675.0,ns,4834
fragmented_iter,hecs,,,,3208874.0,ns,7251
fragmented_iter,hecs,,,,4019444.0,ns,9668
fragmented_iter,hecs,,,,4944032.0,ns,12085
fragmented_iter,hecs,,,,5720230.0,ns,14502
fragmented_iter,hecs,,,,7208587.0,ns,16919
fragmented_iter,hecs,,,,7608305.0,ns,19336
fragmented_iter,hecs,,,,8606361.0,ns,21753
fragmented_iter,hecs,,,,10156995.0,ns,24170
fragmented_iter,hecs,,,,11436567.0,ns,26587
fragmented_iter,hecs,,,,11898538.0,ns,29004
fragmented_iter,hecs,,,,13358395.0,ns,31421
fragmented_iter,hecs,,,,13700829.0,ns,33838
fragmented_iter,hecs,,,,14455198.0,ns,36255
fragmented_iter,hecs,,,,15314460.0,ns,38672
fragmented_iter,hecs,,,,18559824.0,ns,41089
fragmented_iter,hecs,,,,19029687.0,ns,43506
fragmented_iter,hecs,,,,18795793.0,ns,45923
fragmented_iter,hecs,,,,21124737.0,ns,48340
fragmented_iter,hecs,,,,22097648.0,ns,50757
fragmented_iter,hecs,,,,23006081.0,ns,53174
fragmented_iter,hecs,,,,22261417.0,ns,55591
fragmented_iter,hecs,,,,24503288.0,ns,58008
fragmented_iter,hecs,,,,25388145.0,ns,60425
fragmented_iter,hecs,,,,26716199.0,ns,62842
fragmented_iter,hecs,,,,26171219.0,ns,65259
fragmented_iter,hecs,,,,27458135.0,ns,67676
fragmented_iter,hecs,,,,28744279.0,ns,70093
fragmented_iter,hecs,,,,29852562.0,ns,72510
fragmented_iter,hecs,,,,32100306.0,ns,74927
fragmented_iter,hecs,,,,31892009.0,ns,77344
fragmented_iter,hecs,,,,33028171.0,ns,79761
fragmented_iter,hecs,,,,33980281.0,ns,82178
fragmented_iter,hecs,,,,34652308.0,ns,84595
fragmented_iter,hecs,,,,36135828.0,ns,87012
fragmented_iter,hecs,,,,37366560.0,ns,89429
fragmented_iter,hecs,,,,39903972.0,ns,91846
fragmented_iter,hecs,,,,40105547.0,ns,94263
fragmented_iter,hecs,,,,39838714.0,ns,96680
fragmented_iter,hecs,,,,40213322.0,ns,99097
fragmented_iter,hecs,,,,41461685.0,ns,101514
fragmented_iter,hecs,,,,41388100.0,ns,103931
fragmented_iter,hecs,,,,44862239.0,ns,106348
fragmented_iter,hecs,,,,44237104.0,ns,108765
fragmented_iter,hecs,,,,46288959.0,ns,111182
fragmented_iter,hecs,,,,46480708.0,ns,113599
fragmented_iter,hecs,,,,47224637.0,ns,116016
fragmented_iter,hecs,,,,49988800.0,ns,118433
fragmented_iter,hecs,,,,52778202.0,ns,120850
fragmented_iter,hecs,,,,54669945.0,ns,123267
fragmented_iter,hecs,,,,52553334.0,ns,125684
fragmented_iter,hecs,,,,51736508.0,ns,128101
fragmented_iter,hecs,,,,53535381.0,ns,130518
fragmented_iter,hecs,,,,54392944.0,ns,132935
fragmented_iter,hecs,,,,57956501.0,ns,135352
fragmented_iter,hecs,,,,59117207.0,ns,137769
fragmented_iter,hecs,,,,58235697.0,ns,140186
fragmented_iter,hecs,,,,65831001.0,ns,142603
fragmented_iter,hecs,,,,58876868.0,ns,145020
fragmented_iter,hecs,,,,59827279.0,ns,147437
fragmented_iter,hecs,,,,61752086.0,ns,149854
fragmented_iter,hecs,,,,62642842.0,ns,152271
fragmented_iter,hecs,,,,64000246.0,ns,154688
fragmented_iter,hecs,,,,62741858.0,ns,157105
fragmented_iter,hecs,,,,67240049.0,ns,159522
fragmented_iter,hecs,,,,68778285.0,ns,161939
fragmented_iter,hecs,,,,67294998.0,ns,164356
fragmented_iter,hecs,,,,66760866.0,ns,166773
fragmented_iter,hecs,,,,69842201.0,ns,169190
fragmented_iter,hecs,,,,69573503.0,ns,171607
fragmented_iter,hecs,,,,71188162.0,ns,174024
fragmented_iter,hecs,,,,70793440.0,ns,176441
fragmented_iter,hecs,,,,75892315.0,ns,178858
fragmented_iter,hecs,,,,73749649.0,ns,181275
fragmented_iter,hecs,,,,73399624.0,ns,183692
fragmented_iter,hecs,,,,76077244.0,ns,186109
fragmented_iter,hecs,,,,74710815.0,ns,188526
fragmented_iter,hecs,,,,77409350.0,ns,190943
fragmented_iter,hecs,,,,81505471.0,ns,193360
fragmented_iter,hecs,,,,79437497.0,ns,195777
fragmented_iter,hecs,,,,80314160.0,ns,198194
fragmented_iter,hecs,,,,82479397.0,ns,200611
fragmented_iter,hecs,,,,83266861.0,ns,203028
fragmented_iter,hecs,,,,84937337.0,ns,205445
fragmented_iter,hecs,,,,86392645.0,ns,207862
fragmented_iter,hecs,,,,85932705.0,ns,210279
fragmented_iter,hecs,,,,86643257.0,ns,212696
fragmented_iter,hecs,,,,87039045.0,ns,215113
fragmented_iter,hecs,,,,89556597.0,ns,217530
fragmented_iter,hecs,,,,90155422.0,ns,219947
fragmented_iter,hecs,,,,93814260.0,ns,222364
fragmented_iter,hecs,,,,91455989.0,ns,224781
fragmented_iter,hecs,,,,90796427.0,ns,227198
fragmented_iter,hecs,,,,93825090.0,ns,229615
fragmented_iter,hecs,,,,94779622.0,ns,232032
fragmented_iter,hecs,,,,97113361.0,ns,234449
fragmented_iter,hecs,,,,97085044.0,ns,236866
fragmented_iter,hecs,,,,98400654.0,ns,239283
fragmented_iter,hecs,,,,99208702.0,ns,241700
