group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,hecs,,,,977584.0,ns,2929
fragmented_iter,hecs,,,,1967702.0,ns,5858
fragmented_iter,hecs,,,,2951637.0,ns,8787
fragmented_iter,hecs,,,,3934642.0,ns,11716
fragmented_iter,hecs,,,,4950158.0,ns,14645
fragmented_iter,hecs,,,,5904606.0,ns,17574
fragmented_iter,hecs,,,,6889104.0,ns,20503
fragmented_iter,hecs,,,,7929949.0,ns,23432
fragmented_iter,hecs,,,,8860142.0,ns,26361
fragmented_iter,hecs,,,,9823599.0,ns,29290
fragmented_iter,hecs,,,,10866717.0,ns,32219
fragmented_iter,hecs,,,,11906029.0,ns,35148
fragmented_iter,hecs,,,,12772301.0,ns,38077
fragmented_iter,hecs,,,,13761707.0,ns,41006
fragmented_iter,hecs,,,,14705075.0,ns,43935
fragmented_iter,hecs,,,,15801376.0,ns,46864
fragmented_iter,hecs,,,,16846298.0,ns,49793
fragmented_iter,hecs,,,,17776630.0,ns,52722
fragmented_iter,hecs,,,,18760788.0,ns,55651
fragmented_iter,hecs,,,,19678758.0,ns,58580
fragmented_iter,hecs,,,,20663224.0,ns,61509
fragmented_iter,hecs,,,,21671608.0,ns,64438
fragmented_iter,hecs,,,,22665862.0,ns,67367
fragmented_iter,hecs,,,,23609251.0,ns,70296
fragmented_iter,hecs,,,,24840448.0,ns,73225
fragmented_iter,hecs,,,,25642859.0,ns,76154
fragmented_iter,hecs,,,,26637954.0,ns,79083
fragmented_iter,hecs,,,,27603346.0,ns,82012
fragmented_iter,hecs,,,,28461592.0,ns,84941
fragmented_iter,hecs,,,,29598630.0,ns,87870
fragmented_iter,hecs,,,,30470633.0,ns,90799
fragmented_iter,hecs,,,,31675820.0,ns,93728
fragmented_iter,hecs,,,,32540197.0,ns,96657
fragmented_iter,hecs,,,,33374870.0,ns,99586
fragmented_iter,hecs,,,,34518869.0,ns,102515
fragmented_iter,hecs,,,,35329377.0,ns,105444
fragmented_iter,hecs,,,,36598685.0,ns,108373
fragmented_iter,hecs,,,,37390143.0,ns,111302
fragmented_iter,hecs,,,,38598277.0,ns,114231
fragmented_iter,hecs,,,,39494638.0,ns,117160
fragmented_iter,hecs,,,,40444327.0,ns,120089
fragmented_iter,hecs,,,,41301110.0,ns,123018
fragmented_iter,hecs,,,,42492932.0,ns,125947
fragmented_iter,hecs,,,,43340259.0,ns,128876
fragmented_iter,hecs,,,,44396282.0,ns,131805
fragmented_iter,hecs,,,,45530575.0,ns,134734
fragmented_iter,hecs,,,,46379131.0,ns,137663
fragmented_iter,hecs,,,,47289048.0,ns,140592
fragmented_iter,hecs,,,,48332075.0,ns,143521
fragmented_iter,hecs,,,,49355285.0,ns,146450
fragmented_iter,hecs,,,,50404987.0,ns,149379
fragmented_iter,hecs,,,,51301838.0,ns,152308
fragmented_iter,hecs,,,,52278659.0,ns,155237
fragmented_iter,hecs,,,,53294225.0,ns,158166
fragmented_iter,hecs,,,,54106262.0,ns,161095
fragmented_iter,hecs,,,,55253141.0,ns,164024
fragmented_iter,hecs,,,,56176009.0,ns,166953
fragmented_iter,hecs,,,,57097938.0,ns,169882
fragmented_iter,hecs,,,,58069209.0,ns,172811
fragmented_iter,hecs,,,,59266251.0,ns,175740
fragmented_iter,hecs,,,,60136580.0,ns,178669
fragmented_iter,hecs,,,,60934793.0,ns,181598
fragmented_iter,hecs,,,,62184004.0,ns,184527
fragmented_iter,hecs,,,,62985051.0,ns,187456
fragmented_iter,hecs,,,,64415367.0,ns,190385
fragmented_iter,hecs,,,,65093289.0,ns,193314
fragmented_iter,hecs,,,,65902564.0,ns,196243
fragmented_iter,hecs,,,,67729557.0,ns,199172
fragmented_iter,hecs,,,,68154958.0,ns,202101
fragmented_iter,hecs,,,,69199938.0,ns,205030
fragmented_iter,hecs,,,,70337428.0,ns,207959
fragmented_iter,hecs,,,,70955595.0,ns,210888
fragmented_iter,hecs,,,,72419087.0,ns,213817
fragmented_iter,hecs,,,,73294927.0,ns,216746
fragmented_iter,hecs,,,,74251480.0,ns,219675
fragmented_iter,hecs,,,,74849561.0,ns,222604
fragmented_iter,hecs,,,,75861208.0,ns,225533
fragmented_iter,hecs,,,,76687075.0,ns,228462
fragmented_iter,hecs,,,,78038068.0,ns,231391
fragmented_iter,hecs,,,,79003980.0,ns,234320
fragmented_iter,hecs,,,,80149204.0,ns,237249
fragmented_iter,hecs,,,,81011598.0,ns,240178
fragmented_iter,hecs,,,,82000093.0,ns,243107
fragmented_iter,hecs,,,,83749016.0,ns,246036
fragmented_iter,hecs,,,,83732615.0,ns,248965
fragmented_iter,hecs,,,,84986706.0,ns,251894
fragmented_iter,hecs,,,,85674548.0,ns,254823
fragmented_iter,hecs,,,,86842224.0,ns,257752
fragmented_iter,hecs,,,,87684289.0,ns,260681
fragmented_iter,hecs,,,,88839462.0,ns,263610
fragmented_iter,hecs,,,,89772279.0,ns,266539
fragmented_iter,hecs,,,,91104789.0,ns,269468
fragmented_iter,hecs,,,,91536374.0,ns,272397
fragmented_iter,hecs,,,,92806785.0,ns,275326
fragmented_iter,hecs,,,,93547448.0,ns,278255
fragmented_iter,hecs,,,,94648436.0,ns,281184
fragmented_iter,hecs,,,,95514337.0,ns,284113
fragmented_iter,hecs,,,,96826889.0,ns,287042
fragmented_iter,hecs,,,,97383190.0,ns,289971
fragmented_iter,hecs,,,,98776456.0,ns,292900
