group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,legion,,,,1017300.0,ns,2306
fragmented_iter,legion,,,,2033400.0,ns,4612
fragmented_iter,legion,,,,3046600.0,ns,6918
fragmented_iter,legion,,,,4063100.0,ns,9224
fragmented_iter,legion,,,,5072000.0,ns,11530
fragmented_iter,legion,,,,6124900.0,ns,13836
fragmented_iter,legion,,,,7106700.0,ns,16142
fragmented_iter,legion,,,,8139400.0,ns,18448
fragmented_iter,legion,,,,9137000.0,ns,20754
fragmented_iter,legion,,,,10288800.0,ns,23060
fragmented_iter,legion,,,,11201300.0,ns,25366
fragmented_iter,legion,,,,12231600.0,ns,27672
fragmented_iter,legion,,,,13229500.0,ns,29978
fragmented_iter,legion,,,,14224800.0,ns,32284
fragmented_iter,legion,,,,15321400.0,ns,34590
fragmented_iter,legion,,,,16240200.0,ns,36896
fragmented_iter,legion,,,,17312700.0,ns,39202
fragmented_iter,legion,,,,18294400.0,ns,41508
fragmented_iter,legion,,,,19310300.0,ns,43814
fragmented_iter,legion,,,,20328200.0,ns,46120
fragmented_iter,legion,,,,21554200.0,ns,48426
fragmented_iter,legion,,,,22388600.0,ns,50732
fragmented_iter,legion,,,,23361400.0,ns,53038
fragmented_iter,legion,,,,24639600.0,ns,55344
fragmented_iter,legion,,,,25385900.0,ns,57650
fragmented_iter,legion,,,,26391400.0,ns,59956
fragmented_iter,legion,,,,27503800.0,ns,62262
fragmented_iter,legion,,,,28507100.0,ns,64568
fragmented_iter,legion,,,,29634900.0,ns,66874
fragmented_iter,legion,,,,30529800.0,ns,69180
fragmented_iter,legion,,,,31458100.0,ns,71486
fragmented_iter,legion,,,,32851800.0,ns,73792
fragmented_iter,legion,,,,33667300.0,ns,76098
fragmented_iter,legion,,,,34615400.0,ns,78404
fragmented_iter,legion,,,,35535100.0,ns,80710
fragmented_iter,legion,,,,36666800.0,ns,83016
fragmented_iter,legion,,,,37647100.0,ns,85322
fragmented_iter,legion,,,,38708900.0,ns,87628
fragmented_iter,legion,,,,39617100.0,ns,89934
fragmented_iter,legion,,,,40606800.0,ns,92240
fragmented_iter,legion,,,,41887100.0,ns,94546
fragmented_iter,legion,,,,43253700.0,ns,96852
fragmented_iter,legion,,,,43789200.0,ns,99158
fragmented_iter,legion,,,,45299800.0,ns,101464
fragmented_iter,legion,,,,45694400.0,ns,103770
fragmented_iter,legion,,,,46758400.0,ns,106076
fragmented_iter,legion,,,,47774000.0,ns,108382
fragmented_iter,legion,,,,48760100.0,ns,110688
fragmented_iter,legion,,,,49799100.0,ns,112994
fragmented_iter,legion,,,,50905100.0,ns,115300
fragmented_iter,legion,,,,51835100.0,ns,117606
fragmented_iter,legion,,,,53023800.0,ns,119912
fragmented_iter,legion,,,,53826100.0,ns,122218
fragmented_iter,legion,,,,54986100.0,ns,124524
fragmented_iter,legion,,,,55851600.0,ns,126830
fragmented_iter,legion,,,,56972300.0,ns,129136
fragmented_iter,legion,,,,57868500.0,ns,131442
fragmented_iter,legion,,,,59055100.0,ns,133748
fragmented_iter,legion,,,,60077600.0,ns,136054
fragmented_iter,legion,,,,60908700.0,ns,138360
fragmented_iter,legion,,,,62346700.0,ns,140666
fragmented_iter,legion,,,,63119000.0,ns,142972
fragmented_iter,legion,,,,63986100.0,ns,145278
fragmented_iter,legion,,,,65316200.0,ns,147584
fragmented_iter,legion,,,,66041000.0,ns,149890
fragmented_iter,legion,,,,67138200.0,ns,152196
fragmented_iter,legion,,,,68263200.0,ns,154502
fragmented_iter,legion,,,,69036500.0,ns,156808
fragmented_iter,legion,,,,70082300.0,ns,159114
fragmented_iter,legion,,,,71084600.0,ns,161420
fragmented_iter,legion,,,,72309700.0,ns,163726
fragmented_iter,legion,,,,73292800.0,ns,166032
fragmented_iter,legion,,,,74349400.0,ns,168338
fragmented_iter,legion,,,,75335500.0,ns,170644
fragmented_iter,legion,,,,76152100.0,ns,172950
fragmented_iter,legion,,,,77176300.0,ns,175256
fragmented_iter,legion,,,,78220200.0,ns,177562
fragmented_iter,legion,,,,79213200.0,ns,179868
fragmented_iter,legion,,,,80263000.0,ns,182174
fragmented_iter,legion,,,,81480400.0,ns,184480
fragmented_iter,legion,,,,82300800.0,ns,186786
fragmented_iter,legion,,,,83490600.0,ns,189092
fragmented_iter,legion,,,,84616000.0,ns,191398
fragmented_iter,legion,,,,85286800.0,ns,193704
fragmented_iter,legion,,,,86527600.0,ns,196010
fragmented_iter,legion,,,,87344300.0,ns,198316
fragmented_iter,legion,,,,88318600.0,ns,200622
fragmented_iter,legion,,,,90359400.0,ns,202928
fragmented_iter,legion,,,,90650500.0,ns,205234
fragmented_iter,legion,,,,91475000.0,ns,207540
fragmented_iter,legion,,,,92627500.0,ns,209846
fragmented_iter,legion,,,,93688500.0,ns,212152
fragmented_iter,legion,,,,94455000.0,ns,214458
fragmented_iter,legion,,,,95448000.0,ns,216764
fragmented_iter,legion,,,,96439000.0,ns,219070
fragmented_iter,legion,,,,97426800.0,ns,221376
fragmented_iter,legion,,,,98541400.0,ns,223682
fragmented_iter,legion,,,,99506400.0,ns,225988
fragmented_iter,legion,,,,100691400.0,ns,228294
fragmented_iter,legion,,,,101612300.0,ns,230600
