group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,legion,,,,1092421.0,ns,1574
fragmented_iter,legion,,,,1953762.0,ns,3148
fragmented_iter,legion,,,,3431728.0,ns,4722
fragmented_iter,legion,,,,3969240.0,ns,6296
fragmented_iter,legion,,,,4884125.0,ns,7870
fragmented_iter,legion,,,,5876174.0,ns,9444
fragmented_iter,legion,,,,7196710.0,ns,11018
fragmented_iter,legion,,,,7839574.0,ns,12592
fragmented_iter,legion,,,,8989075.0,ns,14166
fragmented_iter,legion,,,,9826509.0,ns,15740
fragmented_iter,legion,,,,10957254.0,ns,17314
fragmented_iter,legion,,,,11982907.0,ns,18888
fragmented_iter,legion,,,,12926917.0,ns,20462
fragmented_iter,legion,,,,15417119.0,ns,22036
fragmented_iter,legion,,,,14679254.0,ns,23610
fragmented_iter,legion,,,,16005501.0,ns,25184
fragmented_iter,legion,,,,16905305.0,ns,26758
fragmented_iter,legion,,,,19916671.0,ns,28332
fragmented_iter,legion,,,,18807389.0,ns,29906
fragmented_iter,legion,,,,19958641.0,ns,31480
fragmented_iter,legion,,,,20845841.0,ns,33054
fragmented_iter,legion,,,,22060576.0,ns,34628
fragmented_iter,legion,,,,22843847.0,ns,36202
fragmented_iter,legion,,,,23660564.0,ns,37776
fragmented_iter,legion,,,,27517060.0,ns,39350
fragmented_iter,legion,,,,25997366.0,ns,40924
fragmented_iter,legion,,,,26583952.0,ns,42498
fragmented_iter,legion,,,,27760273.0,ns,44072
fragmented_iter,legion,,,,29105736.0,ns,45646
fragmented_iter,legion,,,,29572116.0,ns,47220
fragmented_iter,legion,,,,30738767.0,ns,48794
fragmented_iter,legion,,,,31928174.0,ns,50368
fragmented_iter,legion,,,,32693702.0,ns,51942
fragmented_iter,legion,,,,34256819.0,ns,53516
fragmented_iter,legion,,,,36089430.0,ns,55090
fragmented_iter,legion,,,,39623002.0,ns,56664
fragmented_iter,legion,,,,36346119.0,ns,58238
fragmented_iter,legion,,,,37588506.0,ns,59812
fragmented_iter,legion,,,,38694002.0,ns,61386
fragmented_iter,legion,,,,43892174.0,ns,62960
fragmented_iter,legion,,,,40378109.0,ns,64534
fragmented_iter,legion,,,,41484759.0,ns,66108
fragmented_iter,legion,,,,42510593.0,ns,67682
fragmented_iter,legion,,,,43362385.0,ns,69256
fragmented_iter,legion,,,,44585615.0,ns,70830
fragmented_iter,legion,,,,45635176.0,ns,72404
fragmented_iter,legion,,,,46377119.0,ns,73978
fragmented_iter,legion,,,,48248813.0,ns,75552
fragmented_iter,legion,,,,48499693.0,ns,77126
fragmented_iter,legion,,,,49800389.0,ns,78700
fragmented_iter,legion,,,,50751691.0,ns,80274
fragmented_iter,legion,,,,51340363.0,ns,81848
fragmented_iter,legion,,,,52447423.0,ns,83422
fragmented_iter,legion,,,,53610559.0,ns,84996
fragmented_iter,legion,,,,54281797.0,ns,86570
fragmented_iter,legion,,,,55813665.0,ns,88144
fragmented_iter,legion,,,,56488341.0,ns,89718
fragmented_iter,legion,,,,57263417.0,ns,91292
fragmented_iter,legion,,,,58699572.0,ns,92866
fragmented_iter,legion,,,,60100952.0,ns,94440
fragmented_iter,legion,,,,60890105.0,ns,96014
fragmented_iter,legion,,,,61714766.0,ns,97588
fragmented_iter,legion,,,,62249797.0,ns,99162
fragmented_iter,legion,,,,63297441.0,ns,100736
fragmented_iter,legion,,,,64191123.0,ns,102310
fragmented_iter,legion,,,,65191571.0,ns,103884
fragmented_iter,legion,,,,66340899.0,ns,105458
fragmented_iter,legion,,,,67616859.0,ns,107032
fragmented_iter,legion,,,,68300733.0,ns,108606
fragmented_iter,legion,,,,69523312.0,ns,110180
fragmented_iter,legion,,,,70113546.0,ns,111754
fragmented_iter,legion,,,,72098619.0,ns,113328
fragmented_iter,legion,,,,72006903.0,ns,114902
fragmented_iter,legion,,,,73334772.0,ns,116476
fragmented_iter,legion,,,,74194431.0,ns,118050
fragmented_iter,legion,,,,75191991.0,ns,119624
fragmented_iter,legion,,,,76110911.0,ns,121198
fragmented_iter,legion,,,,77821700.0,ns,122772
fragmented_iter,legion,,,,77925558.0,ns,124346
fragmented_iter,legion,,,,79076300.0,ns,125920
fragmented_iter,legion,,,,80218637.0,ns,127494
fragmented_iter,legion,,,,80952885.0,ns,129068
fragmented_iter,legion,,,,81928784.0,ns,130642
fragmented_iter,legion,,,,82890525.0,ns,132216
fragmented_iter,legion,,,,84578122.0,ns,133790
fragmented_iter,legion,,,,85268877.0,ns,135364
fragmented_iter,legion,,,,86074392.0,ns,136938
fragmented_iter,legion,,,,87124001.0,ns,138512
fragmented_iter,legion,,,,87955985.0,ns,140086
fragmented_iter,legion,,,,88954849.0,ns,141660
fragmented_iter,legion,,,,89869992.0,ns,143234
fragmented_iter,legion,,,,91435155.0,ns,144808
fragmented_iter,legion,,,,91811019.0,ns,146382
fragmented_iter,legion,,,,92993102.0,ns,147956
fragmented_iter,legion,,,,93722812.0,ns,149530
fragmented_iter,legion,,,,95287030.0,ns,151104
fragmented_iter,legion,,,,96521564.0,ns,152678
fragmented_iter,legion,,,,96969136.0,ns,154252
fragmented_iter,legion,,,,98259815.0,ns,155826
fragmented_iter,legion,,,,98928017.0,ns,157400
