group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,legion_0.2.4,,,,981300.0,ns,550
fragmented_iter,legion_0.2.4,,,,1990100.0,ns,1100
fragmented_iter,legion_0.2.4,,,,3012700.0,ns,1650
fragmented_iter,legion_0.2.4,,,,3961900.0,ns,2200
fragmented_iter,legion_0.2.4,,,,4932300.0,ns,2750
fragmented_iter,legion_0.2.4,,,,5919200.0,ns,3300
fragmented_iter,legion_0.2.4,,,,6835400.0,ns,3850
fragmented_iter,legion_0.2.4,,,,7831600.0,ns,4400
fragmented_iter,legion_0.2.4,,,,8811300.0,ns,4950
fragmented_iter,legion_0.2.4,,,,9731000.0,ns,5500
fragmented_iter,legion_0.2.4,,,,10828200.0,ns,6050
fragmented_iter,legion_0.2.4,,,,11821600.0,ns,6600
fragmented_iter,legion_0.2.4,,,,12721800.0,ns,7150
fragmented_iter,legion_0.2.4,,,,13785100.0,ns,7700
fragmented_iter,legion_0.2.4,,,,14708500.0,ns,8250
fragmented_iter,legion_0.2.4,,,,15723100.0,ns,8800
fragmented_iter,legion_0.2.4,,,,16826400.0,ns,9350
fragmented_iter,legion_0.2.4,,,,17712400.0,ns,9900
fragmented_iter,legion_0.2.4,,,,18575400.0,ns,10450
fragmented_iter,legion_0.2.4,,,,19613900.0,ns,11000
fragmented_iter,legion_0.2.4,,,,20645500.0,ns,11550
fragmented_iter,legion_0.2.4,,,,21672700.0,ns,12100
fragmented_iter,legion_0.2.4,,,,22733700.0,ns,12650
fragmented_iter,legion_0.2.4,,,,23698600.0,ns,13200
fragmented_iter,legion_0.2.4,,,,24660300.0,ns,13750
fragmented_iter,legion_0.2.4,,,,25663900.0,ns,14300
fragmented_iter,legion_0.2.4,,,,26571500.0,ns,14850
fragmented_iter,legion_0.2.4,,,,27654500.0,ns,15400
fragmented_iter,legion_0.2.4,,,,28521600.0,ns,15950
fragmented_iter,legion_0.2.4,,,,29439800.0,ns,16500
fragmented_iter,legion_0.2.4,,,,30688700.0,ns,17050
fragmented_iter,legion_0.2.4,,,,31654100.0,ns,17600
fragmented_iter,legion_0.2.4,,,,33251300.0,ns,18150
fragmented_iter,legion_0.2.4,,,,34541400.0,ns,18700
fragmented_iter,legion_0.2.4,,,,35388500.0,ns,19250
fragmented_iter,legion_0.2.4,,,,36673600.0,ns,19800
fragmented_iter,legion_0.2.4,,,,37341600.0,ns,20350
fragmented_iter,legion_0.2.4,,,,37953400.0,ns,20900
fragmented_iter,legion_0.2.4,,,,38990200.0,ns,21450
fragmented_iter,legion_0.2.4,,,,40101500.0,ns,22000
fragmented_iter,legion_0.2.4,,,,40526200.0,ns,22550
fragmented_iter,legion_0.2.4,,,,41553600.0,ns,23100
fragmented_iter,legion_0.2.4,,,,42774200.0,ns,23650
fragmented_iter,legion_0.2.4,,,,43739600.0,ns,24200
fragmented_iter,legion_0.2.4,,,,44789800.0,ns,24750
fragmented_iter,legion_0.2.4,,,,45792000.0,ns,25300
fragmented_iter,legion_0.2.4,,,,46805900.0,ns,25850
fragmented_iter,legion_0.2.4,,,,47650000.0,ns,26400
fragmented_iter,legion_0.2.4,,,,49150300.0,ns,26950
fragmented_iter,legion_0.2.4,,,,50135700.0,ns,27500
fragmented_iter,legion_0.2.4,,,,50695600.0,ns,28050
fragmented_iter,legion_0.2.4,,,,51280500.0,ns,28600
fragmented_iter,legion_0.2.4,,,,52940900.0,ns,29150
fragmented_iter,legion_0.2.4,,,,53596300.0,ns,29700
fragmented_iter,legion_0.2.4,,,,54124800.0,ns,30250
fragmented_iter,legion_0.2.4,,,,62670400.0,ns,30800
fragmented_iter,legion_0.2.4,,,,57398600.0,ns,31350
fragmented_iter,legion_0.2.4,,,,58572200.0,ns,31900
fragmented_iter,legion_0.2.4,,,,59774400.0,ns,32450
fragmented_iter,legion_0.2.4,,,,60293800.0,ns,33000
fragmented_iter,legion_0.2.4,,,,61275500.0,ns,33550
fragmented_iter,legion_0.2.4,,,,61645100.0,ns,34100
fragmented_iter,legion_0.2.4,,,,62003800.0,ns,34650
fragmented_iter,legion_0.2.4,,,,62592200.0,ns,35200
fragmented_iter,legion_0.2.4,,,,64007100.0,ns,35750
fragmented_iter,legion_0.2.4,,,,65034000.0,ns,36300
fragmented_iter,legion_0.2.4,,,,65374800.0,ns,36850
fragmented_iter,legion_0.2.4,,,,66147700.0,ns,37400
fragmented_iter,legion_0.2.4,,,,67756100.0,ns,37950
fragmented_iter,legion_0.2.4,,,,68364400.0,ns,38500
fragmented_iter,legion_0.2.4,,,,69946600.0,ns,39050
fragmented_iter,legion_0.2.4,,,,72658500.0,ns,39600
fragmented_iter,legion_0.2.4,,,,73947600.0,ns,40150
fragmented_iter,legion_0.2.4,,,,74697500.0,ns,40700
fragmented_iter,legion_0.2.4,,,,74554300.0,ns,41250
fragmented_iter,legion_0.2.4,,,,75070000.0,ns,41800
fragmented_iter,legion_0.2.4,,,,76103000.0,ns,42350
fragmented_iter,legion_0.2.4,,,,76488100.0,ns,42900
fragmented_iter,legion_0.2.4,,,,77396200.0,ns,43450
fragmented_iter,legion_0.2.4,,,,78275100.0,ns,44000
fragmented_iter,legion_0.2.4,,,,79904800.0,ns,44550
fragmented_iter,legion_0.2.4,,,,80431400.0,ns,45100
fragmented_iter,legion_0.2.4,,,,81840100.0,ns,45650
fragmented_iter,legion_0.2.4,,,,82776900.0,ns,46200
fragmented_iter,legion_0.2.4,,,,86000200.0,ns,46750
fragmented_iter,legion_0.2.4,,,,87034500.0,ns,47300
fragmented_iter,legion_0.2.4,,,,87376700.0,ns,47850
fragmented_iter,legion_0.2.4,,,,87458300.0,ns,48400
fragmented_iter,legion_0.2.4,,,,87358400.0,ns,48950
fragmented_iter,legion_0.2.4,,,,87804800.0,ns,49500
fragmented_iter,legion_0.2.4,,,,89424600.0,ns,50050
fragmented_iter,legion_0.2.4,,,,90193500.0,ns,50600
fragmented_iter,legion_0.2.4,,,,91448800.0,ns,51150
fragmented_iter,legion_0.2.4,,,,92196200.0,ns,51700
fragmented_iter,legion_0.2.4,,,,93352000.0,ns,52250
fragmented_iter,legion_0.2.4,,,,96070100.0,ns,52800
fragmented_iter,legion_0.2.4,,,,97508600.0,ns,53350
fragmented_iter,legion_0.2.4,,,,97607400.0,ns,53900
fragmented_iter,legion_0.2.4,,,,97647300.0,ns,54450
fragmented_iter,legion_0.2.4,,,,98222900.0,ns,55000
