group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,planck_ecs,,,,1053407.0,ns,1508
fragmented_iter,planck_ecs,,,,1837776.0,ns,3016
fragmented_iter,planck_ecs,,,,3013352.0,ns,4524
fragmented_iter,planck_ecs,,,,3985415.0,ns,6032
fragmented_iter,planck_ecs,,,,4791407.0,ns,7540
fragmented_iter,planck_ecs,,,,5981904.0,ns,9048
fragmented_iter,planck_ecs,,,,7223410.0,ns,10556
fragmented_iter,planck_ecs,,,,7746385.0,ns,12064
fragmented_iter,planck_ecs,,,,8761995.0,ns,13572
fragmented_iter,planck_ecs,,,,9695312.0,ns,15080
fragmented_iter,planck_ecs,,,,10790452.0,ns,16588
fragmented_iter,planck_ecs,,,,12021218.0,ns,18096
fragmented_iter,planck_ecs,,,,13527925.0,ns,19604
fragmented_iter,planck_ecs,,,,14342107.0,ns,21112
fragmented_iter,planck_ecs,,,,14350285.0,ns,22620
fragmented_iter,planck_ecs,,,,15381190.0,ns,24128
fragmented_iter,planck_ecs,,,,17114452.0,ns,25636
fragmented_iter,planck_ecs,,,,18197450.0,ns,27144
fragmented_iter,planck_ecs,,,,17931529.0,ns,28652
fragmented_iter,planck_ecs,,,,21072886.0,ns,30160
fragmented_iter,planck_ecs,,,,21010069.0,ns,31668
fragmented_iter,planck_ecs,,,,21073664.0,ns,33176
fragmented_iter,planck_ecs,,,,22281284.0,ns,34684
fragmented_iter,planck_ecs,,,,22465375.0,ns,36192
fragmented_iter,planck_ecs,,,,24744976.0,ns,37700
fragmented_iter,planck_ecs,,,,25213415.0,ns,39208
fragmented_iter,planck_ecs,,,,27103742.0,ns,40716
fragmented_iter,planck_ecs,,,,28831945.0,ns,42224
fragmented_iter,planck_ecs,,,,28310992.0,ns,43732
fragmented_iter,planck_ecs,,,,29692251.0,ns,45240
fragmented_iter,planck_ecs,,,,29906039.0,ns,46748
fragmented_iter,planck_ecs,,,,30357874.0,ns,48256
fragmented_iter,planck_ecs,,,,31004914.0,ns,49764
fragmented_iter,planck_ecs,,,,32621254.0,ns,51272
fragmented_iter,planck_ecs,,,,33308568.0,ns,52780
fragmented_iter,planck_ecs,,,,35507037.0,ns,54288
fragmented_iter,planck_ecs,,,,37022576.0,ns,55796
fragmented_iter,planck_ecs,,,,38159523.0,ns,57304
fragmented_iter,planck_ecs,,,,37895616.0,ns,58812
fragmented_iter,planck_ecs,,,,39046981.0,ns,60320
fragmented_iter,planck_ecs,,,,41380047.0,ns,61828
fragmented_iter,planck_ecs,,,,40570038.0,ns,63336
fragmented_iter,planck_ecs,,,,42508915.0,ns,64844
fragmented_iter,planck_ecs,,,,41334483.0,ns,66352
fragmented_iter,planck_ecs,,,,43715917.0,ns,67860
fragmented_iter,planck_ecs,,,,44208014.0,ns,69368
fragmented_iter,planck_ecs,,,,47254847.0,ns,70876
fragmented_iter,planck_ecs,,,,47040279.0,ns,72384
fragmented_iter,planck_ecs,,,,48781432.0,ns,73892
fragmented_iter,planck_ecs,,,,52906170.0,ns,75400
fragmented_iter,planck_ecs,,,,53638811.0,ns,76908
fragmented_iter,planck_ecs,,,,52563587.0,ns,78416
fragmented_iter,planck_ecs,,,,53141157.0,ns,79924
fragmented_iter,planck_ecs,,,,52503145.0,ns,81432
fragmented_iter,planck_ecs,,,,53822079.0,ns,82940
fragmented_iter,planck_ecs,,,,54890094.0,ns,84448
fragmented_iter,planck_ecs,,,,55448674.0,ns,85956
fragmented_iter,planck_ecs,,,,56527223.0,ns,87464
fragmented_iter,planck_ecs,,,,59263197.0,ns,88972
fragmented_iter,planck_ecs,,,,56907978.0,ns,90480
fragmented_iter,planck_ecs,,,,59243339.0,ns,91988
fragmented_iter,planck_ecs,,,,62300475.0,ns,93496
fragmented_iter,planck_ecs,,,,61517547.0,ns,95004
fragmented_iter,planck_ecs,,,,62173290.0,ns,96512
fragmented_iter,planck_ecs,,,,64532981.0,ns,98020
fragmented_iter,planck_ecs,,,,62542196.0,ns,99528
fragmented_iter,planck_ecs,,,,65968350.0,ns,101036
fragmented_iter,planck_ecs,,,,64838784.0,ns,102544
fragmented_iter,planck_ecs,,,,69987038.0,ns,104052
fragmented_iter,planck_ecs,,,,69713155.0,ns,105560
fragmented_iter,planck_ecs,,,,68111612.0,ns,107068
fragmented_iter,planck_ecs,,,,70822001.0,ns,108576
fragmented_iter,planck_ecs,,,,71145799.0,ns,110084
fragmented_iter,planck_ecs,,,,74975240.0,ns,111592
fragmented_iter,planck_ecs,,,,76142099.0,ns,113100
fragmented_iter,planck_ecs,,,,78984233.0,ns,114608
fragmented_iter,planck_ecs,,,,78437707.0,ns,116116
fragmented_iter,planck_ecs,,,,77852078.0,ns,117624
fragmented_iter,planck_ecs,,,,82790832.0,ns,119132
fragmented_iter,planck_ecs,,,,81424150.0,ns,120640
fragmented_iter,planck_ecs,,,,81680363.0,ns,122148
fragmented_iter,planck_ecs,,,,80472951.0,ns,123656
fragmented_iter,planck_ecs,,,,84002179.0,ns,125164
fragmented_iter,planck_ecs,,,,80785986.0,ns,126672
fragmented_iter,planck_ecs,,,,81532089.0,ns,128180
fragmented_iter,planck_ecs,,,,86638284.0,ns,129688
fragmented_iter,planck_ecs,,,,87546240.0,ns,131196
fragmented_iter,planck_ecs,,,,87560508.0,ns,132704
fragmented_iter,planck_ecs,,,,88841049.0,ns,134212
fragmented_iter,planck_ecs,,,,87410796.0,ns,135720
fragmented_iter,planck_ecs,,,,89704083.0,ns,137228
fragmented_iter,planck_ecs,,,,96116426.0,ns,138736
fragmented_iter,planck_ecs,,,,108146730.0,ns,140244
fragmented_iter,planck_ecs,,,,107843000.0,ns,141752
fragmented_iter,planck_ecs,,,,98352507.0,ns,143260
fragmented_iter,planck_ecs,,,,103411696.0,ns,144768
fragmented_iter,planck_ecs,,,,104672228.0,ns,146276
fragmented_iter,planck_ecs,,,,104939087.0,ns,147784
fragmented_iter,planck_ecs,,,,102457035.0,ns,149292
fragmented_iter,planck_ecs,,,,101745967.0,ns,150800
