group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,planck_ecs,,,,1054602.0,ns,1433
fragmented_iter,planck_ecs,,,,2667239.0,ns,2866
fragmented_iter,planck_ecs,,,,2995203.0,ns,4299
fragmented_iter,planck_ecs,,,,3910367.0,ns,5732
fragmented_iter,planck_ecs,,,,4837838.0,ns,7165
fragmented_iter,planck_ecs,,,,7948097.0,ns,8598
fragmented_iter,planck_ecs,,,,6942462.0,ns,10031
fragmented_iter,planck_ecs,,,,7873799.0,ns,11464
fragmented_iter,planck_ecs,,,,8825903.0,ns,12897
fragmented_iter,planck_ecs,,,,9779358.0,ns,14330
fragmented_iter,planck_ecs,,,,11361124.0,ns,15763
fragmented_iter,planck_ecs,,,,11981599.0,ns,17196
fragmented_iter,planck_ecs,,,,12859074.0,ns,18629
fragmented_iter,planck_ecs,,,,13933554.0,ns,20062
fragmented_iter,planck_ecs,,,,14713194.0,ns,21495
fragmented_iter,planck_ecs,,,,15446750.0,ns,22928
fragmented_iter,planck_ecs,,,,16796616.0,ns,24361
fragmented_iter,planck_ecs,,,,17596796.0,ns,25794
fragmented_iter,planck_ecs,,,,19049391.0,ns,27227
fragmented_iter,planck_ecs,,,,19317514.0,ns,28660
fragmented_iter,planck_ecs,,,,20802134.0,ns,30093
fragmented_iter,planck_ecs,,,,22082660.0,ns,31526
fragmented_iter,planck_ecs,,,,22437645.0,ns,32959
fragmented_iter,planck_ecs,,,,23728989.0,ns,34392
fragmented_iter,planck_ecs,,,,24352853.0,ns,35825
fragmented_iter,planck_ecs,,,,25641623.0,ns,37258
fragmented_iter,planck_ecs,,,,26578000.0,ns,38691
fragmented_iter,planck_ecs,,,,27242470.0,ns,40124
fragmented_iter,planck_ecs,,,,28738388.0,ns,41557
fragmented_iter,planck_ecs,,,,29567605.0,ns,42990
fragmented_iter,planck_ecs,,,,30652347.0,ns,44423
fragmented_iter,planck_ecs,,,,32216322.0,ns,45856
fragmented_iter,planck_ecs,,,,32471152.0,ns,47289
fragmented_iter,planck_ecs,,,,34471247.0,ns,48722
fragmented_iter,planck_ecs,,,,34160887.0,ns,50155
fragmented_iter,planck_ecs,,,,35229201.0,ns,51588
fragmented_iter,planck_ecs,,,,36349747.0,ns,53021
fragmented_iter,planck_ecs,,,,36690555.0,ns,54454
fragmented_iter,planck_ecs,,,,38324576.0,ns,55887
fragmented_iter,planck_ecs,,,,40627430.0,ns,57320
fragmented_iter,planck_ecs,,,,40359691.0,ns,58753
fragmented_iter,planck_ecs,,,,41239360.0,ns,60186
fragmented_iter,planck_ecs,,,,42342524.0,ns,61619
fragmented_iter,planck_ecs,,,,43030546.0,ns,63052
fragmented_iter,planck_ecs,,,,44009635.0,ns,64485
fragmented_iter,planck_ecs,,,,46116266.0,ns,65918
fragmented_iter,planck_ecs,,,,46764465.0,ns,67351
fragmented_iter,planck_ecs,,,,47150931.0,ns,68784
fragmented_iter,planck_ecs,,,,48002919.0,ns,70217
fragmented_iter,planck_ecs,,,,49117883.0,ns,71650
fragmented_iter,planck_ecs,,,,50344576.0,ns,73083
fragmented_iter,planck_ecs,,,,51096795.0,ns,74516
fragmented_iter,planck_ecs,,,,52186645.0,ns,75949
fragmented_iter,planck_ecs,,,,53359604.0,ns,77382
fragmented_iter,planck_ecs,,,,54936243.0,ns,78815
fragmented_iter,planck_ecs,,,,56057246.0,ns,80248
fragmented_iter,planck_ecs,,,,56133525.0,ns,81681
fragmented_iter,planck_ecs,,,,58414902.0,ns,83114
fragmented_iter,planck_ecs,,,,58634674.0,ns,84547
fragmented_iter,planck_ecs,,,,59358957.0,ns,85980
fragmented_iter,planck_ecs,,,,60100973.0,ns,87413
fragmented_iter,planck_ecs,,,,60875436.0,ns,88846
fragmented_iter,planck_ecs,,,,62635923.0,ns,90279
fragmented_iter,planck_ecs,,,,63349740.0,ns,91712
fragmented_iter,planck_ecs,,,,64312237.0,ns,93145
fragmented_iter,planck_ecs,,,,65075992.0,ns,94578
fragmented_iter,planck_ecs,,,,65904175.0,ns,96011
fragmented_iter,planck_ecs,,,,67571770.0,ns,97444
fragmented_iter,planck_ecs,,,,68981917.0,ns,98877
fragmented_iter,planck_ecs,,,,69722341.0,ns,100310
fragmented_iter,planck_ecs,,,,70340327.0,ns,101743
fragmented_iter,planck_ecs,,,,71868862.0,ns,103176
fragmented_iter,planck_ecs,,,,71932229.0,ns,104609
fragmented_iter,planck_ecs,,,,73937431.0,ns,106042
fragmented_iter,planck_ecs,,,,74600084.0,ns,107475
fragmented_iter,planck_ecs,,,,74671424.0,ns,108908
fragmented_iter,planck_ecs,,,,76598603.0,ns,110341
fragmented_iter,planck_ecs,,,,77062778.0,ns,111774
fragmented_iter,planck_ecs,,,,78191760.0,ns,113207
fragmented_iter,planck_ecs,,,,78623013.0,ns,114640
fragmented_iter,planck_ecs,,,,79797709.0,ns,116073
fragmented_iter,planck_ecs,,,,81114543.0,ns,117506
fragmented_iter,planck_ecs,,,,82127630.0,ns,118939
fragmented_iter,planck_ecs,,,,82651482.0,ns,120372
fragmented_iter,planck_ecs,,,,84820052.0,ns,121805
fragmented_iter,planck_ecs,,,,84254293.0,ns,123238
fragmented_iter,planck_ecs,,,,85709471.0,ns,124671
fragmented_iter,planck_ecs,,,,86461959.0,ns,126104
fragmented_iter,planck_ecs,,,,87767456.0,ns,127537
fragmented_iter,planck_ecs,,,,88551158.0,ns,128970
fragmented_iter,planck_ecs,,,,89694837.0,ns,130403
fragmented_iter,planck_ecs,,,,90580871.0,ns,131836
fragmented_iter,planck_ecs,,,,92135826.0,ns,133269
fragmented_iter,planck_ecs,,,,92785123.0,ns,134702
fragmented_iter,planck_ecs,,,,93847959.0,ns,136135
fragmented_iter,planck_ecs,,,,95388949.0,ns,137568
fragmented_iter,planck_ecs,,,,96724040.0,ns,139001
fragmented_iter,planck_ecs,,,,96579175.0,ns,140434
fragmented_iter,planck_ecs,,,,97455945.0,ns,141867
fragmented_iter,planck_ecs,,,,99222924.0,ns,143300
