group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,shipyard,,,,988700.0,ns,958
fragmented_iter,shipyard,,,,2073500.0,ns,1916
fragmented_iter,shipyard,,,,3011700.0,ns,2874
fragmented_iter,shipyard,,,,4048900.0,ns,3832
fragmented_iter,shipyard,,,,5121200.0,ns,4790
fragmented_iter,shipyard,,,,6148600.0,ns,5748
fragmented_iter,shipyard,,,,7108600.0,ns,6706
fragmented_iter,shipyard,,,,7920000.0,ns,7664
fragmented_iter,shipyard,,,,8917300.0,ns,8622
fragmented_iter,shipyard,,,,10201500.0,ns,9580
fragmented_iter,shipyard,,,,10815400.0,ns,10538
fragmented_iter,shipyard,,,,11834000.0,ns,11496
fragmented_iter,shipyard,,,,13188100.0,ns,12454
fragmented_iter,shipyard,,,,14302600.0,ns,13412
fragmented_iter,shipyard,,,,15314100.0,ns,14370
fragmented_iter,shipyard,,,,16318400.0,ns,15328
fragmented_iter,shipyard,,,,17396100.0,ns,16286
fragmented_iter,shipyard,,,,20062800.0,ns,17244
fragmented_iter,shipyard,,,,18803200.0,ns,18202
fragmented_iter,shipyard,,,,19896900.0,ns,19160
fragmented_iter,shipyard,,,,20929900.0,ns,20118
fragmented_iter,shipyard,,,,21824800.0,ns,21076
fragmented_iter,shipyard,,,,23262000.0,ns,22034
fragmented_iter,shipyard,,,,24172900.0,ns,22992
fragmented_iter,shipyard,,,,25270400.0,ns,23950
fragmented_iter,shipyard,,,,28774900.0,ns,24908
fragmented_iter,shipyard,,,,26424800.0,ns,25866
fragmented_iter,shipyard,,,,27443700.0,ns,26824
fragmented_iter,shipyard,,,,28217800.0,ns,27782
fragmented_iter,shipyard,,,,29359200.0,ns,28740
fragmented_iter,shipyard,,,,30416300.0,ns,29698
fragmented_iter,shipyard,,,,32477300.0,ns,30656
fragmented_iter,shipyard,,,,32486000.0,ns,31614
fragmented_iter,shipyard,,,,33442400.0,ns,32572
fragmented_iter,shipyard,,,,34520000.0,ns,33530
fragmented_iter,shipyard,,,,35749600.0,ns,34488
fragmented_iter,shipyard,,,,36614700.0,ns,35446
fragmented_iter,shipyard,,,,38416500.0,ns,36404
fragmented_iter,shipyard,,,,40231100.0,ns,37362
fragmented_iter,shipyard,,,,40376200.0,ns,38320
fragmented_iter,shipyard,,,,40141300.0,ns,39278
fragmented_iter,shipyard,,,,42721600.0,ns,40236
fragmented_iter,shipyard,,,,43437300.0,ns,41194
fragmented_iter,shipyard,,,,45140600.0,ns,42152
fragmented_iter,shipyard,,,,44334400.0,ns,43110
fragmented_iter,shipyard,,,,45317200.0,ns,44068
fragmented_iter,shipyard,,,,46194100.0,ns,45026
fragmented_iter,shipyard,,,,47866000.0,ns,45984
fragmented_iter,shipyard,,,,50195500.0,ns,46942
fragmented_iter,shipyard,,,,49360100.0,ns,47900
fragmented_iter,shipyard,,,,51558800.0,ns,48858
fragmented_iter,shipyard,,,,52305500.0,ns,49816
fragmented_iter,shipyard,,,,51694900.0,ns,50774
fragmented_iter,shipyard,,,,52987200.0,ns,51732
fragmented_iter,shipyard,,,,53748900.0,ns,52690
fragmented_iter,shipyard,,,,55236200.0,ns,53648
fragmented_iter,shipyard,,,,57282500.0,ns,54606
fragmented_iter,shipyard,,,,58660700.0,ns,55564
fragmented_iter,shipyard,,,,57645700.0,ns,56522
fragmented_iter,shipyard,,,,58661700.0,ns,57480
fragmented_iter,shipyard,,,,59507700.0,ns,58438
fragmented_iter,shipyard,,,,62395200.0,ns,59396
fragmented_iter,shipyard,,,,64262900.0,ns,60354
fragmented_iter,shipyard,,,,63033200.0,ns,61312
fragmented_iter,shipyard,,,,66496000.0,ns,62270
fragmented_iter,shipyard,,,,67554600.0,ns,63228
fragmented_iter,shipyard,,,,68643600.0,ns,64186
fragmented_iter,shipyard,,,,68474500.0,ns,65144
fragmented_iter,shipyard,,,,69386400.0,ns,66102
fragmented_iter,shipyard,,,,70897000.0,ns,67060
fragmented_iter,shipyard,,,,71574800.0,ns,68018
fragmented_iter,shipyard,,,,70419900.0,ns,68976
fragmented_iter,shipyard,,,,72852600.0,ns,69934
fragmented_iter,shipyard,,,,75163200.0,ns,70892
fragmented_iter,shipyard,,,,75999500.0,ns,71850
fragmented_iter,shipyard,,,,76993600.0,ns,72808
fragmented_iter,shipyard,,,,79187600.0,ns,73766
fragmented_iter,shipyard,,,,79757800.0,ns,74724
fragmented_iter,shipyard,,,,80900300.0,ns,75682
fragmented_iter,shipyard,,,,83510400.0,ns,76640
fragmented_iter,shipyard,,,,82505500.0,ns,77598
fragmented_iter,shipyard,,,,82755000.0,ns,78556
fragmented_iter,shipyard,,,,80855300.0,ns,79514
fragmented_iter,shipyard,,,,84680600.0,ns,80472
fragmented_iter,shipyard,,,,85650100.0,ns,81430
fragmented_iter,shipyard,,,,87176500.0,ns,82388
fragmented_iter,shipyard,,,,87679100.0,ns,83346
fragmented_iter,shipyard,,,,88569000.0,ns,84304
fragmented_iter,shipyard,,,,88080800.0,ns,85262
fragmented_iter,shipyard,,,,91660700.0,ns,86220
fragmented_iter,shipyard,,,,95730000.0,ns,87178
fragmented_iter,shipyard,,,,95448200.0,ns,88136
fragmented_iter,shipyard,,,,91266700.0,ns,89094
fragmented_iter,shipyard,,,,92246900.0,ns,90052
fragmented_iter,shipyard,,,,95946400.0,ns,91010
fragmented_iter,shipyard,,,,98361700.0,ns,91968
fragmented_iter,shipyard,,,,99768800.0,ns,92926
fragmented_iter,shipyard,,,,99279000.0,ns,93884
fragmented_iter,shipyard,,,,103345300.0,ns,94842
fragmented_iter,shipyard,,,,98513500.0,ns,95800
