group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,shipyard,,,,932558.0,ns,2763
fragmented_iter,shipyard,,,,2009038.0,ns,5526
fragmented_iter,shipyard,,,,3044090.0,ns,8289
fragmented_iter,shipyard,,,,4025035.0,ns,11052
fragmented_iter,shipyard,,,,5155134.0,ns,13815
fragmented_iter,shipyard,,,,6053598.0,ns,16578
fragmented_iter,shipyard,,,,6845030.0,ns,19341
fragmented_iter,shipyard,,,,7592862.0,ns,22104
fragmented_iter,shipyard,,,,8607379.0,ns,24867
fragmented_iter,shipyard,,,,9595744.0,ns,27630
fragmented_iter,shipyard,,,,10687435.0,ns,30393
fragmented_iter,shipyard,,,,11567912.0,ns,33156
fragmented_iter,shipyard,,,,12542304.0,ns,35919
fragmented_iter,shipyard,,,,13779873.0,ns,38682
fragmented_iter,shipyard,,,,14958681.0,ns,41445
fragmented_iter,shipyard,,,,15686661.0,ns,44208
fragmented_iter,shipyard,,,,16866952.0,ns,46971
fragmented_iter,shipyard,,,,17501209.0,ns,49734
fragmented_iter,shipyard,,,,18775539.0,ns,52497
fragmented_iter,shipyard,,,,19232706.0,ns,55260
fragmented_iter,shipyard,,,,20363722.0,ns,58023
fragmented_iter,shipyard,,,,21547590.0,ns,60786
fragmented_iter,shipyard,,,,22210488.0,ns,63549
fragmented_iter,shipyard,,,,23153579.0,ns,66312
fragmented_iter,shipyard,,,,24209870.0,ns,69075
fragmented_iter,shipyard,,,,25399996.0,ns,71838
fragmented_iter,shipyard,,,,26186724.0,ns,74601
fragmented_iter,shipyard,,,,27043362.0,ns,77364
fragmented_iter,shipyard,,,,27906510.0,ns,80127
fragmented_iter,shipyard,,,,28958031.0,ns,82890
fragmented_iter,shipyard,,,,29655742.0,ns,85653
fragmented_iter,shipyard,,,,31230933.0,ns,88416
fragmented_iter,shipyard,,,,31934530.0,ns,91179
fragmented_iter,shipyard,,,,33098046.0,ns,93942
fragmented_iter,shipyard,,,,33798922.0,ns,96705
fragmented_iter,shipyard,,,,34549625.0,ns,99468
fragmented_iter,shipyard,,,,35641849.0,ns,102231
fragmented_iter,shipyard,,,,36875594.0,ns,104994
fragmented_iter,shipyard,,,,37601806.0,ns,107757
fragmented_iter,shipyard,,,,38383154.0,ns,110520
fragmented_iter,shipyard,,,,39895763.0,ns,113283
fragmented_iter,shipyard,,,,40577410.0,ns,116046
fragmented_iter,shipyard,,,,41508190.0,ns,118809
fragmented_iter,shipyard,,,,42402815.0,ns,121572
fragmented_iter,shipyard,,,,43189329.0,ns,124335
fragmented_iter,shipyard,,,,44368154.0,ns,127098
fragmented_iter,shipyard,,,,45475137.0,ns,129861
fragmented_iter,shipyard,,,,48058274.0,ns,132624
fragmented_iter,shipyard,,,,48466892.0,ns,135387
fragmented_iter,shipyard,,,,49429131.0,ns,138150
fragmented_iter,shipyard,,,,49810261.0,ns,140913
fragmented_iter,shipyard,,,,52012026.0,ns,143676
fragmented_iter,shipyard,,,,51818771.0,ns,146439
fragmented_iter,shipyard,,,,53832526.0,ns,149202
fragmented_iter,shipyard,,,,54010706.0,ns,151965
fragmented_iter,shipyard,,,,55157669.0,ns,154728
fragmented_iter,shipyard,,,,55619410.0,ns,157491
fragmented_iter,shipyard,,,,56701837.0,ns,160254
fragmented_iter,shipyard,,,,58616840.0,ns,163017
fragmented_iter,shipyard,,,,60128788.0,ns,165780
fragmented_iter,shipyard,,,,62460562.0,ns,168543
fragmented_iter,shipyard,,,,61475110.0,ns,171306
fragmented_iter,shipyard,,,,60765424.0,ns,174069
fragmented_iter,shipyard,,,,62906458.0,ns,176832
fragmented_iter,shipyard,,,,65165646.0,ns,179595
fragmented_iter,shipyard,,,,65451185.0,ns,182358
fragmented_iter,shipyard,,,,66139703.0,ns,185121
fragmented_iter,shipyard,,,,67270052.0,ns,187884
fragmented_iter,shipyard,,,,67976551.0,ns,190647
fragmented_iter,shipyard,,,,69511202.0,ns,193410
fragmented_iter,shipyard,,,,69653321.0,ns,196173
fragmented_iter,shipyard,,,,70338786.0,ns,198936
fragmented_iter,shipyard,,,,72083446.0,ns,201699
fragmented_iter,shipyard,,,,72226181.0,ns,204462
fragmented_iter,shipyard,,,,72945495.0,ns,207225
fragmented_iter,shipyard,,,,73654041.0,ns,209988
fragmented_iter,shipyard,,,,75382305.0,ns,212751
fragmented_iter,shipyard,,,,75783107.0,ns,215514
fragmented_iter,shipyard,,,,77214053.0,ns,218277
fragmented_iter,shipyard,,,,77815469.0,ns,221040
fragmented_iter,shipyard,,,,77907120.0,ns,223803
fragmented_iter,shipyard,,,,79747303.0,ns,226566
fragmented_iter,shipyard,,,,81198544.0,ns,229329
fragmented_iter,shipyard,,,,81331295.0,ns,232092
fragmented_iter,shipyard,,,,83277592.0,ns,234855
fragmented_iter,shipyard,,,,83907096.0,ns,237618
fragmented_iter,shipyard,,,,84068863.0,ns,240381
fragmented_iter,shipyard,,,,84862850.0,ns,243144
fragmented_iter,shipyard,,,,85732411.0,ns,245907
fragmented_iter,shipyard,,,,104377213.0,ns,248670
fragmented_iter,shipyard,,,,89015193.0,ns,251433
fragmented_iter,shipyard,,,,89079206.0,ns,254196
fragmented_iter,shipyard,,,,91337915.0,ns,256959
fragmented_iter,shipyard,,,,91846492.0,ns,259722
fragmented_iter,shipyard,,,,92011125.0,ns,262485
fragmented_iter,shipyard,,,,93140066.0,ns,265248
fragmented_iter,shipyard,,,,94469561.0,ns,268011
fragmented_iter,shipyard,,,,95827617.0,ns,270774
fragmented_iter,shipyard,,,,95758234.0,ns,273537
fragmented_iter,shipyard,,,,96887602.0,ns,276300
