group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,specs,,,,1109804.0,ns,670
fragmented_iter,specs,,,,2059590.0,ns,1340
fragmented_iter,specs,,,,3076914.0,ns,2010
fragmented_iter,specs,,,,3820836.0,ns,2680
fragmented_iter,specs,,,,4801841.0,ns,3350
fragmented_iter,specs,,,,6408989.0,ns,4020
fragmented_iter,specs,,,,6797222.0,ns,4690
fragmented_iter,specs,,,,8673410.0,ns,5360
fragmented_iter,specs,,,,8780662.0,ns,6030
fragmented_iter,specs,,,,10257103.0,ns,6700
fragmented_iter,specs,,,,11332282.0,ns,7370
fragmented_iter,specs,,,,12136066.0,ns,8040
fragmented_iter,specs,,,,13336269.0,ns,8710
fragmented_iter,specs,,,,13991773.0,ns,9380
fragmented_iter,specs,,,,14978739.0,ns,10050
fragmented_iter,specs,,,,15978319.0,ns,10720
fragmented_iter,specs,,,,16696204.0,ns,11390
fragmented_iter,specs,,,,17411021.0,ns,12060
fragmented_iter,specs,,,,18527921.0,ns,12730
fragmented_iter,specs,,,,19823641.0,ns,13400
fragmented_iter,specs,,,,21058254.0,ns,14070
fragmented_iter,specs,,,,21660033.0,ns,14740
fragmented_iter,specs,,,,23231882.0,ns,15410
fragmented_iter,specs,,,,24017392.0,ns,16080
fragmented_iter,specs,,,,24814650.0,ns,16750
fragmented_iter,specs,,,,25854391.0,ns,17420
fragmented_iter,specs,,,,26169436.0,ns,18090
fragmented_iter,specs,,,,27863153.0,ns,18760
fragmented_iter,specs,,,,28991950.0,ns,19430
fragmented_iter,specs,,,,29817327.0,ns,20100
fragmented_iter,specs,,,,30705158.0,ns,20770
fragmented_iter,specs,,,,31530120.0,ns,21440
fragmented_iter,specs,,,,32482323.0,ns,22110
fragmented_iter,specs,,,,34432197.0,ns,22780
fragmented_iter,specs,,,,37075587.0,ns,23450
fragmented_iter,specs,,,,36950318.0,ns,24120
fragmented_iter,specs,,,,38598470.0,ns,24790
fragmented_iter,specs,,,,38695055.0,ns,25460
fragmented_iter,specs,,,,38572961.0,ns,26130
fragmented_iter,specs,,,,39527969.0,ns,26800
fragmented_iter,specs,,,,40008190.0,ns,27470
fragmented_iter,specs,,,,42330293.0,ns,28140
fragmented_iter,specs,,,,42467360.0,ns,28810
fragmented_iter,specs,,,,42866880.0,ns,29480
fragmented_iter,specs,,,,45037024.0,ns,30150
fragmented_iter,specs,,,,46591202.0,ns,30820
fragmented_iter,specs,,,,46891822.0,ns,31490
fragmented_iter,specs,,,,48131927.0,ns,32160
fragmented_iter,specs,,,,47703023.0,ns,32830
fragmented_iter,specs,,,,49582479.0,ns,33500
fragmented_iter,specs,,,,50739602.0,ns,34170
fragmented_iter,specs,,,,51154292.0,ns,34840
fragmented_iter,specs,,,,52413095.0,ns,35510
fragmented_iter,specs,,,,53961464.0,ns,36180
fragmented_iter,specs,,,,54333956.0,ns,36850
fragmented_iter,specs,,,,55765058.0,ns,37520
fragmented_iter,specs,,,,57263465.0,ns,38190
fragmented_iter,specs,,,,57282221.0,ns,38860
fragmented_iter,specs,,,,59300873.0,ns,39530
fragmented_iter,specs,,,,58822303.0,ns,40200
fragmented_iter,specs,,,,61806935.0,ns,40870
fragmented_iter,specs,,,,61168698.0,ns,41540
fragmented_iter,specs,,,,62080118.0,ns,42210
fragmented_iter,specs,,,,63438304.0,ns,42880
fragmented_iter,specs,,,,65509513.0,ns,43550
fragmented_iter,specs,,,,65623528.0,ns,44220
fragmented_iter,specs,,,,65942716.0,ns,44890
fragmented_iter,specs,,,,67136856.0,ns,45560
fragmented_iter,specs,,,,68770274.0,ns,46230
fragmented_iter,specs,,,,71383715.0,ns,46900
fragmented_iter,specs,,,,69863006.0,ns,47570
fragmented_iter,specs,,,,73259675.0,ns,48240
fragmented_iter,specs,,,,72636413.0,ns,48910
fragmented_iter,specs,,,,73613750.0,ns,49580
fragmented_iter,specs,,,,74395565.0,ns,50250
fragmented_iter,specs,,,,75296761.0,ns,50920
fragmented_iter,specs,,,,75363468.0,ns,51590
fragmented_iter,specs,,,,77663523.0,ns,52260
fragmented_iter,specs,,,,79667956.0,ns,52930
fragmented_iter,specs,,,,79074450.0,ns,53600
fragmented_iter,specs,,,,79353064.0,ns,54270
fragmented_iter,specs,,,,81257140.0,ns,54940
fragmented_iter,specs,,,,81827218.0,ns,55610
fragmented_iter,specs,,,,83470653.0,ns,56280
fragmented_iter,specs,,,,85823381.0,ns,56950
fragmented_iter,specs,,,,85729470.0,ns,57620
fragmented_iter,specs,,,,85644256.0,ns,58290
fragmented_iter,specs,,,,88788836.0,ns,58960
fragmented_iter,specs,,,,90921151.0,ns,59630
fragmented_iter,specs,,,,91901024.0,ns,60300
fragmented_iter,specs,,,,93352927.0,ns,60970
fragmented_iter,specs,,,,93082209.0,ns,61640
fragmented_iter,specs,,,,94300371.0,ns,62310
fragmented_iter,specs,,,,94725804.0,ns,62980
fragmented_iter,specs,,,,94563019.0,ns,63650
fragmented_iter,specs,,,,97943060.0,ns,64320
fragmented_iter,specs,,,,98441736.0,ns,64990
fragmented_iter,specs,,,,98148552.0,ns,65660
fragmented_iter,specs,,,,97611923.0,ns,66330
fragmented_iter,specs,,,,100441226.0,ns,67000
