group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,specs,,,,1012656.0,ns,746
fragmented_iter,specs,,,,1928119.0,ns,1492
fragmented_iter,specs,,,,2927086.0,ns,2238
fragmented_iter,specs,,,,3828393.0,ns,2984
fragmented_iter,specs,,,,5020968.0,ns,3730
fragmented_iter,specs,,,,6029296.0,ns,4476
fragmented_iter,specs,,,,7237507.0,ns,5222
fragmented_iter,specs,,,,7806718.0,ns,5968
fragmented_iter,specs,,,,8891997.0,ns,6714
fragmented_iter,specs,,,,9685329.0,ns,7460
fragmented_iter,specs,,,,11261861.0,ns,8206
fragmented_iter,specs,,,,12199790.0,ns,8952
fragmented_iter,specs,,,,12803607.0,ns,9698
fragmented_iter,specs,,,,14110092.0,ns,10444
fragmented_iter,specs,,,,14931331.0,ns,11190
fragmented_iter,specs,,,,16287774.0,ns,11936
fragmented_iter,specs,,,,16706030.0,ns,12682
fragmented_iter,specs,,,,17651449.0,ns,13428
fragmented_iter,specs,,,,19248822.0,ns,14174
fragmented_iter,specs,,,,19695173.0,ns,14920
fragmented_iter,specs,,,,21005701.0,ns,15666
fragmented_iter,specs,,,,21519889.0,ns,16412
fragmented_iter,specs,,,,22639743.0,ns,17158
fragmented_iter,specs,,,,24016960.0,ns,17904
fragmented_iter,specs,,,,24492843.0,ns,18650
fragmented_iter,specs,,,,25393734.0,ns,19396
fragmented_iter,specs,,,,26789793.0,ns,20142
fragmented_iter,specs,,,,28136008.0,ns,20888
fragmented_iter,specs,,,,29254683.0,ns,21634
fragmented_iter,specs,,,,31072192.0,ns,22380
fragmented_iter,specs,,,,30665426.0,ns,23126
fragmented_iter,specs,,,,31420676.0,ns,23872
fragmented_iter,specs,,,,32434517.0,ns,24618
fragmented_iter,specs,,,,33674380.0,ns,25364
fragmented_iter,specs,,,,35354549.0,ns,26110
fragmented_iter,specs,,,,35330889.0,ns,26856
fragmented_iter,specs,,,,36806039.0,ns,27602
fragmented_iter,specs,,,,37559394.0,ns,28348
fragmented_iter,specs,,,,38415366.0,ns,29094
fragmented_iter,specs,,,,40294732.0,ns,29840
fragmented_iter,specs,,,,41207667.0,ns,30586
fragmented_iter,specs,,,,41415765.0,ns,31332
fragmented_iter,specs,,,,42181108.0,ns,32078
fragmented_iter,specs,,,,44546011.0,ns,32824
fragmented_iter,specs,,,,44544250.0,ns,33570
fragmented_iter,specs,,,,45694910.0,ns,34316
fragmented_iter,specs,,,,46210381.0,ns,35062
fragmented_iter,specs,,,,47000068.0,ns,35808
fragmented_iter,specs,,,,48442369.0,ns,36554
fragmented_iter,specs,,,,49467460.0,ns,37300
fragmented_iter,specs,,,,50538861.0,ns,38046
fragmented_iter,specs,,,,51568796.0,ns,38792
fragmented_iter,specs,,,,53018678.0,ns,39538
fragmented_iter,specs,,,,53694461.0,ns,40284
fragmented_iter,specs,,,,54582943.0,ns,41030
fragmented_iter,specs,,,,55949218.0,ns,41776
fragmented_iter,specs,,,,56931473.0,ns,42522
fragmented_iter,specs,,,,57421170.0,ns,43268
fragmented_iter,specs,,,,58264033.0,ns,44014
fragmented_iter,specs,,,,59536047.0,ns,44760
fragmented_iter,specs,,,,60450827.0,ns,45506
fragmented_iter,specs,,,,61118074.0,ns,46252
fragmented_iter,specs,,,,63244350.0,ns,46998
fragmented_iter,specs,,,,63505367.0,ns,47744
fragmented_iter,specs,,,,63960450.0,ns,48490
fragmented_iter,specs,,,,67256812.0,ns,49236
fragmented_iter,specs,,,,66755803.0,ns,49982
fragmented_iter,specs,,,,66884508.0,ns,50728
fragmented_iter,specs,,,,69190528.0,ns,51474
fragmented_iter,specs,,,,69284019.0,ns,52220
fragmented_iter,specs,,,,70396943.0,ns,52966
fragmented_iter,specs,,,,71744050.0,ns,53712
fragmented_iter,specs,,,,71667677.0,ns,54458
fragmented_iter,specs,,,,74293963.0,ns,55204
fragmented_iter,specs,,,,74641110.0,ns,55950
fragmented_iter,specs,,,,76268816.0,ns,56696
fragmented_iter,specs,,,,76910028.0,ns,57442
fragmented_iter,specs,,,,77832434.0,ns,58188
fragmented_iter,specs,,,,79396357.0,ns,58934
fragmented_iter,specs,,,,80801800.0,ns,59680
fragmented_iter,specs,,,,81135273.0,ns,60426
fragmented_iter,specs,,,,82125182.0,ns,61172
fragmented_iter,specs,,,,82002957.0,ns,61918
fragmented_iter,specs,,,,83644913.0,ns,62664
fragmented_iter,specs,,,,84389722.0,ns,63410
fragmented_iter,specs,,,,84663412.0,ns,64156
fragmented_iter,specs,,,,86163559.0,ns,64902
fragmented_iter,specs,,,,86568257.0,ns,65648
fragmented_iter,specs,,,,88547472.0,ns,66394
fragmented_iter,specs,,,,88618541.0,ns,67140
fragmented_iter,specs,,,,91035832.0,ns,67886
fragmented_iter,specs,,,,91579228.0,ns,68632
fragmented_iter,specs,,,,92359688.0,ns,69378
fragmented_iter,specs,,,,93037722.0,ns,70124
fragmented_iter,specs,,,,94806354.0,ns,70870
fragmented_iter,specs,,,,95337974.0,ns,71616
fragmented_iter,specs,,,,95952390.0,ns,72362
fragmented_iter,specs,,,,97648403.0,ns,73108
fragmented_iter,specs,,,,98552004.0,ns,73854
fragmented_iter,specs,,,,99582384.0,ns,74600
