group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,bevy,,,,963967.0,ns,1
heavy_compute,bevy,,,,2238425.0,ns,2
heavy_compute,bevy,,,,3152866.0,ns,3
heavy_compute,bevy,,,,4486687.0,ns,4
heavy_compute,bevy,,,,5905600.0,ns,5
heavy_compute,bevy,,,,6959530.0,ns,6
heavy_compute,bevy,,,,8930173.0,ns,7
heavy_compute,bevy,,,,12205693.0,ns,8
heavy_compute,bevy,,,,22779477.0,ns,9
heavy_compute,bevy,,,,18256450.0,ns,10
heavy_compute,bevy,,,,14501857.0,ns,11
heavy_compute,bevy,,,,14294733.0,ns,12
heavy_compute,bevy,,,,16908291.0,ns,13
heavy_compute,bevy,,,,16550962.0,ns,14
heavy_compute,bevy,,,,18076346.0,ns,15
heavy_compute,bevy,,,,18702490.0,ns,16
heavy_compute,bevy,,,,19343702.0,ns,17
heavy_compute,bevy,,,,24796350.0,ns,18
heavy_compute,bevy,,,,22483953.0,ns,19
heavy_compute,bevy,,,,23202764.0,ns,20
heavy_compute,bevy,,,,22256160.0,ns,21
heavy_compute,bevy,,,,27207973.0,ns,22
heavy_compute,bevy,,,,26934293.0,ns,23
heavy_compute,bevy,,,,27113494.0,ns,24
heavy_compute,bevy,,,,28320172.0,ns,25
heavy_compute,bevy,,,,28742868.0,ns,26
heavy_compute,bevy,,,,31127030.0,ns,27
heavy_compute,bevy,,,,32432967.0,ns,28
heavy_compute,bevy,,,,34128467.0,ns,29
heavy_compute,bevy,,,,35789152.0,ns,30
heavy_compute,bevy,,,,38079515.0,ns,31
heavy_compute,bevy,,,,37707987.0,ns,32
heavy_compute,bevy,,,,38940716.0,ns,33
heavy_compute,bevy,,,,41482768.0,ns,34
heavy_compute,bevy,,,,42435884.0,ns,35
heavy_compute,bevy,,,,44901490.0,ns,36
heavy_compute,bevy,,,,44330814.0,ns,37
heavy_compute,bevy,,,,42505829.0,ns,38
heavy_compute,bevy,,,,44699556.0,ns,39
heavy_compute,bevy,,,,46579617.0,ns,40
heavy_compute,bevy,,,,48076981.0,ns,41
heavy_compute,bevy,,,,47234847.0,ns,42
heavy_compute,bevy,,,,52404876.0,ns,43
heavy_compute,bevy,,,,51342973.0,ns,44
heavy_compute,bevy,,,,50817592.0,ns,45
heavy_compute,bevy,,,,51048732.0,ns,46
heavy_compute,bevy,,,,59973385.0,ns,47
heavy_compute,bevy,,,,58763418.0,ns,48
heavy_compute,bevy,,,,59217456.0,ns,49
heavy_compute,bevy,,,,55255417.0,ns,50
heavy_compute,bevy,,,,60552708.0,ns,51
heavy_compute,bevy,,,,64154880.0,ns,52
heavy_compute,bevy,,,,62080359.0,ns,53
heavy_compute,bevy,,,,61819050.0,ns,54
heavy_compute,bevy,,,,61347563.0,ns,55
heavy_compute,bevy,,,,67041660.0,ns,56
heavy_compute,bevy,,,,67025359.0,ns,57
heavy_compute,bevy,,,,67252091.0,ns,58
heavy_compute,bevy,,,,76377546.0,ns,59
heavy_compute,bevy,,,,76551548.0,ns,60
heavy_compute,bevy,,,,70317270.0,ns,61
heavy_compute,bevy,,,,73601717.0,ns,62
heavy_compute,bevy,,,,72328631.0,ns,63
heavy_compute,bevy,,,,72611452.0,ns,64
heavy_compute,bevy,,,,79074083.0,ns,65
heavy_compute,bevy,,,,79711097.0,ns,66
heavy_compute,bevy,,,,79529871.0,ns,67
heavy_compute,bevy,,,,77752334.0,ns,68
heavy_compute,bevy,,,,81482952.0,ns,69
heavy_compute,bevy,,,,82589609.0,ns,70
heavy_compute,bevy,,,,84086413.0,ns,71
heavy_compute,bevy,,,,84918365.0,ns,72
heavy_compute,bevy,,,,84998411.0,ns,73
heavy_compute,bevy,,,,91808882.0,ns,74
heavy_compute,bevy,,,,89864882.0,ns,75
heavy_compute,bevy,,,,90642741.0,ns,76
heavy_compute,bevy,,,,91175618.0,ns,77
heavy_compute,bevy,,,,113020744.0,ns,78
heavy_compute,bevy,,,,91609234.0,ns,79
heavy_compute,bevy,,,,90690003.0,ns,80
heavy_compute,bevy,,,,98140445.0,ns,81
heavy_compute,bevy,,,,97122206.0,ns,82
heavy_compute,bevy,,,,95059657.0,ns,83
heavy_compute,bevy,,,,96087054.0,ns,84
heavy_compute,bevy,,,,97272343.0,ns,85
heavy_compute,bevy,,,,94771476.0,ns,86
heavy_compute,bevy,,,,105535765.0,ns,87
heavy_compute,bevy,,,,103210734.0,ns,88
heavy_compute,bevy,,,,103603995.0,ns,89
heavy_compute,bevy,,,,108871078.0,ns,90
heavy_compute,bevy,,,,107057965.0,ns,91
heavy_compute,bevy,,,,104595162.0,ns,92
heavy_compute,bevy,,,,112812347.0,ns,93
heavy_compute,bevy,,,,110820091.0,ns,94
heavy_compute,bevy,,,,113831058.0,ns,95
heavy_compute,bevy,,,,114601946.0,ns,96
heavy_compute,bevy,,,,112029155.0,ns,97
heavy_compute,bevy,,,,114933507.0,ns,98
heavy_compute,bevy,,,,115847239.0,ns,99
heavy_compute,bevy,,,,110000841.0,ns,100
