group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,bevy,,,,2150268.0,ns,1
heavy_compute,bevy,,,,2708876.0,ns,2
heavy_compute,bevy,,,,2874447.0,ns,3
heavy_compute,bevy,,,,3807104.0,ns,4
heavy_compute,bevy,,,,5423715.0,ns,5
heavy_compute,bevy,,,,5944156.0,ns,6
heavy_compute,bevy,,,,7363701.0,ns,7
heavy_compute,bevy,,,,8205588.0,ns,8
heavy_compute,bevy,,,,9262722.0,ns,9
heavy_compute,bevy,,,,9905348.0,ns,10
heavy_compute,bevy,,,,11206217.0,ns,11
heavy_compute,bevy,,,,11906507.0,ns,12
heavy_compute,bevy,,,,12740108.0,ns,13
heavy_compute,bevy,,,,13883766.0,ns,14
heavy_compute,bevy,,,,14448788.0,ns,15
heavy_compute,bevy,,,,15554726.0,ns,16
heavy_compute,bevy,,,,16952554.0,ns,17
heavy_compute,bevy,,,,18446641.0,ns,18
heavy_compute,bevy,,,,18308904.0,ns,19
heavy_compute,bevy,,,,19775057.0,ns,20
heavy_compute,bevy,,,,21269179.0,ns,21
heavy_compute,bevy,,,,22005898.0,ns,22
heavy_compute,bevy,,,,21693898.0,ns,23
heavy_compute,bevy,,,,24785809.0,ns,24
heavy_compute,bevy,,,,25203973.0,ns,25
heavy_compute,bevy,,,,26001363.0,ns,26
heavy_compute,bevy,,,,26731416.0,ns,27
heavy_compute,bevy,,,,28055235.0,ns,28
heavy_compute,bevy,,,,28074134.0,ns,29
heavy_compute,bevy,,,,30172007.0,ns,30
heavy_compute,bevy,,,,34671928.0,ns,31
heavy_compute,bevy,,,,34885493.0,ns,32
heavy_compute,bevy,,,,35605204.0,ns,33
heavy_compute,bevy,,,,33188382.0,ns,34
heavy_compute,bevy,,,,34032467.0,ns,35
heavy_compute,bevy,,,,37681981.0,ns,36
heavy_compute,bevy,,,,36612484.0,ns,37
heavy_compute,bevy,,,,37434423.0,ns,38
heavy_compute,bevy,,,,38482782.0,ns,39
heavy_compute,bevy,,,,40587283.0,ns,40
heavy_compute,bevy,,,,40465001.0,ns,41
heavy_compute,bevy,,,,43625028.0,ns,42
heavy_compute,bevy,,,,44246324.0,ns,43
heavy_compute,bevy,,,,45477871.0,ns,44
heavy_compute,bevy,,,,45664050.0,ns,45
heavy_compute,bevy,,,,43678536.0,ns,46
heavy_compute,bevy,,,,45240038.0,ns,47
heavy_compute,bevy,,,,48695110.0,ns,48
heavy_compute,bevy,,,,48594238.0,ns,49
heavy_compute,bevy,,,,48093172.0,ns,50
heavy_compute,bevy,,,,50328693.0,ns,51
heavy_compute,bevy,,,,52205926.0,ns,52
heavy_compute,bevy,,,,52296060.0,ns,53
heavy_compute,bevy,,,,54975738.0,ns,54
heavy_compute,bevy,,,,60483914.0,ns,55
heavy_compute,bevy,,,,55234537.0,ns,56
heavy_compute,bevy,,,,57628467.0,ns,57
heavy_compute,bevy,,,,58859327.0,ns,58
heavy_compute,bevy,,,,57605684.0,ns,59
heavy_compute,bevy,,,,70659992.0,ns,60
heavy_compute,bevy,,,,60723018.0,ns,61
heavy_compute,bevy,,,,62556937.0,ns,62
heavy_compute,bevy,,,,65215746.0,ns,63
heavy_compute,bevy,,,,61968578.0,ns,64
heavy_compute,bevy,,,,63706717.0,ns,65
heavy_compute,bevy,,,,66199546.0,ns,66
heavy_compute,bevy,,,,67889659.0,ns,67
heavy_compute,bevy,,,,66895992.0,ns,68
heavy_compute,bevy,,,,68534187.0,ns,69
heavy_compute,bevy,,,,70432226.0,ns,70
heavy_compute,bevy,,,,74747233.0,ns,71
heavy_compute,bevy,,,,73692967.0,ns,72
heavy_compute,bevy,,,,73477407.0,ns,73
heavy_compute,bevy,,,,74316356.0,ns,74
heavy_compute,bevy,,,,75422681.0,ns,75
heavy_compute,bevy,,,,72736074.0,ns,76
heavy_compute,bevy,,,,80188216.0,ns,77
heavy_compute,bevy,,,,75157275.0,ns,78
heavy_compute,bevy,,,,80687337.0,ns,79
heavy_compute,bevy,,,,77825721.0,ns,80
heavy_compute,bevy,,,,81938117.0,ns,81
heavy_compute,bevy,,,,83277524.0,ns,82
heavy_compute,bevy,,,,81776356.0,ns,83
heavy_compute,bevy,,,,86886162.0,ns,84
heavy_compute,bevy,,,,85719503.0,ns,85
heavy_compute,bevy,,,,86411343.0,ns,86
heavy_compute,bevy,,,,85584633.0,ns,87
heavy_compute,bevy,,,,87323948.0,ns,88
heavy_compute,bevy,,,,89490558.0,ns,89
heavy_compute,bevy,,,,90859013.0,ns,90
heavy_compute,bevy,,,,90296060.0,ns,91
heavy_compute,bevy,,,,92358295.0,ns,92
heavy_compute,bevy,,,,95060611.0,ns,93
heavy_compute,bevy,,,,93041259.0,ns,94
heavy_compute,bevy,,,,99056076.0,ns,95
heavy_compute,bevy,,,,98546547.0,ns,96
heavy_compute,bevy,,,,95990737.0,ns,97
heavy_compute,bevy,,,,96531089.0,ns,98
heavy_compute,bevy,,,,98597687.0,ns,99
heavy_compute,bevy,,,,104935269.0,ns,100
