group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,brood,,,,1094400.0,ns,2
heavy_compute,brood,,,,2158700.0,ns,4
heavy_compute,brood,,,,3278600.0,ns,6
heavy_compute,brood,,,,4353200.0,ns,8
heavy_compute,brood,,,,5442900.0,ns,10
heavy_compute,brood,,,,6448300.0,ns,12
heavy_compute,brood,,,,7672000.0,ns,14
heavy_compute,brood,,,,8511400.0,ns,16
heavy_compute,brood,,,,9765100.0,ns,18
heavy_compute,brood,,,,10741400.0,ns,20
heavy_compute,brood,,,,11879800.0,ns,22
heavy_compute,brood,,,,12971800.0,ns,24
heavy_compute,brood,,,,14053300.0,ns,26
heavy_compute,brood,,,,15114100.0,ns,28
heavy_compute,brood,,,,16298500.0,ns,30
heavy_compute,brood,,,,17371200.0,ns,32
heavy_compute,brood,,,,18244000.0,ns,34
heavy_compute,brood,,,,19386800.0,ns,36
heavy_compute,brood,,,,20613700.0,ns,38
heavy_compute,brood,,,,21865800.0,ns,40
heavy_compute,brood,,,,22772100.0,ns,42
heavy_compute,brood,,,,23689100.0,ns,44
heavy_compute,brood,,,,25072300.0,ns,46
heavy_compute,brood,,,,25957300.0,ns,48
heavy_compute,brood,,,,27178000.0,ns,50
heavy_compute,brood,,,,28097900.0,ns,52
heavy_compute,brood,,,,29084600.0,ns,54
heavy_compute,brood,,,,30335800.0,ns,56
heavy_compute,brood,,,,31241200.0,ns,58
heavy_compute,brood,,,,32332000.0,ns,60
heavy_compute,brood,,,,33607200.0,ns,62
heavy_compute,brood,,,,34399100.0,ns,64
heavy_compute,brood,,,,35805900.0,ns,66
heavy_compute,brood,,,,37053400.0,ns,68
heavy_compute,brood,,,,37903500.0,ns,70
heavy_compute,brood,,,,38738600.0,ns,72
heavy_compute,brood,,,,40093300.0,ns,74
heavy_compute,brood,,,,40924500.0,ns,76
heavy_compute,brood,,,,42427200.0,ns,78
heavy_compute,brood,,,,43098500.0,ns,80
heavy_compute,brood,,,,44695300.0,ns,82
heavy_compute,brood,,,,45625600.0,ns,84
heavy_compute,brood,,,,46354200.0,ns,86
heavy_compute,brood,,,,47600800.0,ns,88
heavy_compute,brood,,,,48444200.0,ns,90
heavy_compute,brood,,,,49431200.0,ns,92
heavy_compute,brood,,,,50486500.0,ns,94
heavy_compute,brood,,,,52209900.0,ns,96
heavy_compute,brood,,,,52775900.0,ns,98
heavy_compute,brood,,,,53938000.0,ns,100
heavy_compute,brood,,,,55271600.0,ns,102
heavy_compute,brood,,,,55980000.0,ns,104
heavy_compute,brood,,,,57183300.0,ns,106
heavy_compute,brood,,,,58292500.0,ns,108
heavy_compute,brood,,,,59911200.0,ns,110
heavy_compute,brood,,,,60300500.0,ns,112
heavy_compute,brood,,,,61636800.0,ns,114
heavy_compute,brood,,,,62362800.0,ns,116
heavy_compute,brood,,,,63567600.0,ns,118
heavy_compute,brood,,,,65076400.0,ns,120
heavy_compute,brood,,,,65627100.0,ns,122
heavy_compute,brood,,,,66743200.0,ns,124
heavy_compute,brood,,,,68126800.0,ns,126
heavy_compute,brood,,,,69172000.0,ns,128
heavy_compute,brood,,,,70402800.0,ns,130
heavy_compute,brood,,,,71762700.0,ns,132
heavy_compute,brood,,,,72159900.0,ns,134
heavy_compute,brood,,,,73734100.0,ns,136
heavy_compute,brood,,,,74817600.0,ns,138
heavy_compute,brood,,,,75804200.0,ns,140
heavy_compute,brood,,,,76718000.0,ns,142
heavy_compute,brood,,,,77736500.0,ns,144
heavy_compute,brood,,,,79174600.0,ns,146
heavy_compute,brood,,,,80016100.0,ns,148
heavy_compute,brood,,,,81116700.0,ns,150
heavy_compute,brood,,,,82140900.0,ns,152
heavy_compute,brood,,,,83014200.0,ns,154
heavy_compute,brood,,,,84470000.0,ns,156
heavy_compute,brood,,,,85351000.0,ns,158
heavy_compute,brood,,,,86015500.0,ns,160
heavy_compute,brood,,,,87446100.0,ns,162
heavy_compute,brood,,,,89221200.0,ns,164
heavy_compute,brood,,,,89614900.0,ns,166
heavy_compute,brood,,,,90537300.0,ns,168
heavy_compute,brood,,,,91738500.0,ns,170
heavy_compute,brood,,,,92500200.0,ns,172
heavy_compute,brood,,,,93718200.0,ns,174
heavy_compute,brood,,,,94720300.0,ns,176
heavy_compute,brood,,,,96320500.0,ns,178
heavy_compute,brood,,,,96980300.0,ns,180
heavy_compute,brood,,,,98356900.0,ns,182
heavy_compute,brood,,,,99392400.0,ns,184
heavy_compute,brood,,,,101342000.0,ns,186
heavy_compute,brood,,,,101094900.0,ns,188
heavy_compute,brood,,,,102553900.0,ns,190
heavy_compute,brood,,,,103722800.0,ns,192
heavy_compute,brood,,,,104502100.0,ns,194
heavy_compute,brood,,,,105901100.0,ns,196
heavy_compute,brood,,,,107571100.0,ns,198
heavy_compute,brood,,,,108039100.0,ns,200
