group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,hecs,,,,1286152.0,ns,1
heavy_compute,hecs,,,,2563017.0,ns,2
heavy_compute,hecs,,,,3629029.0,ns,3
heavy_compute,hecs,,,,4585984.0,ns,4
heavy_compute,hecs,,,,6129628.0,ns,5
heavy_compute,hecs,,,,7058946.0,ns,6
heavy_compute,hecs,,,,8579230.0,ns,7
heavy_compute,hecs,,,,9452652.0,ns,8
heavy_compute,hecs,,,,10906967.0,ns,9
heavy_compute,hecs,,,,11623665.0,ns,10
heavy_compute,hecs,,,,12929956.0,ns,11
heavy_compute,hecs,,,,14297290.0,ns,12
heavy_compute,hecs,,,,15027849.0,ns,13
heavy_compute,hecs,,,,16304630.0,ns,14
heavy_compute,hecs,,,,18091990.0,ns,15
heavy_compute,hecs,,,,19530391.0,ns,16
heavy_compute,hecs,,,,20466092.0,ns,17
heavy_compute,hecs,,,,22669857.0,ns,18
heavy_compute,hecs,,,,24269276.0,ns,19
heavy_compute,hecs,,,,23873416.0,ns,20
heavy_compute,hecs,,,,25052695.0,ns,21
heavy_compute,hecs,,,,24674858.0,ns,22
heavy_compute,hecs,,,,26690288.0,ns,23
heavy_compute,hecs,,,,27628146.0,ns,24
heavy_compute,hecs,,,,28469325.0,ns,25
heavy_compute,hecs,,,,31476821.0,ns,26
heavy_compute,hecs,,,,33722724.0,ns,27
heavy_compute,hecs,,,,33172927.0,ns,28
heavy_compute,hecs,,,,33337838.0,ns,29
heavy_compute,hecs,,,,35759208.0,ns,30
heavy_compute,hecs,,,,35860060.0,ns,31
heavy_compute,hecs,,,,37201003.0,ns,32
heavy_compute,hecs,,,,38815844.0,ns,33
heavy_compute,hecs,,,,42972376.0,ns,34
heavy_compute,hecs,,,,43487976.0,ns,35
heavy_compute,hecs,,,,39942010.0,ns,36
heavy_compute,hecs,,,,40924213.0,ns,37
heavy_compute,hecs,,,,42560338.0,ns,38
heavy_compute,hecs,,,,46397475.0,ns,39
heavy_compute,hecs,,,,47753738.0,ns,40
heavy_compute,hecs,,,,46251358.0,ns,41
heavy_compute,hecs,,,,48586051.0,ns,42
heavy_compute,hecs,,,,49660888.0,ns,43
heavy_compute,hecs,,,,52298704.0,ns,44
heavy_compute,hecs,,,,54415911.0,ns,45
heavy_compute,hecs,,,,57388011.0,ns,46
heavy_compute,hecs,,,,57212092.0,ns,47
heavy_compute,hecs,,,,55403425.0,ns,48
heavy_compute,hecs,,,,56008441.0,ns,49
heavy_compute,hecs,,,,56704706.0,ns,50
heavy_compute,hecs,,,,58006602.0,ns,51
heavy_compute,hecs,,,,58699457.0,ns,52
heavy_compute,hecs,,,,64207555.0,ns,53
heavy_compute,hecs,,,,62881607.0,ns,54
heavy_compute,hecs,,,,61913455.0,ns,55
heavy_compute,hecs,,,,63563425.0,ns,56
heavy_compute,hecs,,,,68517765.0,ns,57
heavy_compute,hecs,,,,68049916.0,ns,58
heavy_compute,hecs,,,,67196084.0,ns,59
heavy_compute,hecs,,,,71638686.0,ns,60
heavy_compute,hecs,,,,72226779.0,ns,61
heavy_compute,hecs,,,,70256355.0,ns,62
heavy_compute,hecs,,,,72360678.0,ns,63
heavy_compute,hecs,,,,73136181.0,ns,64
heavy_compute,hecs,,,,80805704.0,ns,65
heavy_compute,hecs,,,,74872215.0,ns,66
heavy_compute,hecs,,,,86858619.0,ns,67
heavy_compute,hecs,,,,78950489.0,ns,68
heavy_compute,hecs,,,,78461675.0,ns,69
heavy_compute,hecs,,,,82265882.0,ns,70
heavy_compute,hecs,,,,82500470.0,ns,71
heavy_compute,hecs,,,,80732920.0,ns,72
heavy_compute,hecs,,,,83734799.0,ns,73
heavy_compute,hecs,,,,85531999.0,ns,74
heavy_compute,hecs,,,,87941126.0,ns,75
heavy_compute,hecs,,,,89120999.0,ns,76
heavy_compute,hecs,,,,89204563.0,ns,77
heavy_compute,hecs,,,,88992634.0,ns,78
heavy_compute,hecs,,,,93338057.0,ns,79
heavy_compute,hecs,,,,92137614.0,ns,80
heavy_compute,hecs,,,,91016322.0,ns,81
heavy_compute,hecs,,,,93684197.0,ns,82
heavy_compute,hecs,,,,96466173.0,ns,83
heavy_compute,hecs,,,,95585286.0,ns,84
heavy_compute,hecs,,,,99234735.0,ns,85
heavy_compute,hecs,,,,97874118.0,ns,86
heavy_compute,hecs,,,,103954382.0,ns,87
heavy_compute,hecs,,,,104608844.0,ns,88
heavy_compute,hecs,,,,100962713.0,ns,89
heavy_compute,hecs,,,,106510259.0,ns,90
heavy_compute,hecs,,,,104047709.0,ns,91
heavy_compute,hecs,,,,106556051.0,ns,92
heavy_compute,hecs,,,,110045703.0,ns,93
heavy_compute,hecs,,,,110030688.0,ns,94
heavy_compute,hecs,,,,107366903.0,ns,95
heavy_compute,hecs,,,,113667847.0,ns,96
heavy_compute,hecs,,,,111057358.0,ns,97
heavy_compute,hecs,,,,112836152.0,ns,98
heavy_compute,hecs,,,,115986064.0,ns,99
heavy_compute,hecs,,,,113246812.0,ns,100
