group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,hecs,,,,1523600.0,ns,2
heavy_compute,hecs,,,,2694500.0,ns,4
heavy_compute,hecs,,,,4048400.0,ns,6
heavy_compute,hecs,,,,5237200.0,ns,8
heavy_compute,hecs,,,,6610000.0,ns,10
heavy_compute,hecs,,,,7645700.0,ns,12
heavy_compute,hecs,,,,9603500.0,ns,14
heavy_compute,hecs,,,,10393800.0,ns,16
heavy_compute,hecs,,,,11783500.0,ns,18
heavy_compute,hecs,,,,13330900.0,ns,20
heavy_compute,hecs,,,,14631100.0,ns,22
heavy_compute,hecs,,,,15526600.0,ns,24
heavy_compute,hecs,,,,17364700.0,ns,26
heavy_compute,hecs,,,,18937700.0,ns,28
heavy_compute,hecs,,,,19926300.0,ns,30
heavy_compute,hecs,,,,21822600.0,ns,32
heavy_compute,hecs,,,,22151400.0,ns,34
heavy_compute,hecs,,,,24056200.0,ns,36
heavy_compute,hecs,,,,25086600.0,ns,38
heavy_compute,hecs,,,,27180000.0,ns,40
heavy_compute,hecs,,,,28058200.0,ns,42
heavy_compute,hecs,,,,29009100.0,ns,44
heavy_compute,hecs,,,,29865000.0,ns,46
heavy_compute,hecs,,,,31508200.0,ns,48
heavy_compute,hecs,,,,33175500.0,ns,50
heavy_compute,hecs,,,,34286800.0,ns,52
heavy_compute,hecs,,,,35906600.0,ns,54
heavy_compute,hecs,,,,36996500.0,ns,56
heavy_compute,hecs,,,,37798500.0,ns,58
heavy_compute,hecs,,,,39416600.0,ns,60
heavy_compute,hecs,,,,40697800.0,ns,62
heavy_compute,hecs,,,,42135500.0,ns,64
heavy_compute,hecs,,,,43275500.0,ns,66
heavy_compute,hecs,,,,44335300.0,ns,68
heavy_compute,hecs,,,,46418000.0,ns,70
heavy_compute,hecs,,,,46829500.0,ns,72
heavy_compute,hecs,,,,48188400.0,ns,74
heavy_compute,hecs,,,,49839400.0,ns,76
heavy_compute,hecs,,,,51017800.0,ns,78
heavy_compute,hecs,,,,53322500.0,ns,80
heavy_compute,hecs,,,,53906100.0,ns,82
heavy_compute,hecs,,,,56121500.0,ns,84
heavy_compute,hecs,,,,56543000.0,ns,86
heavy_compute,hecs,,,,58728500.0,ns,88
heavy_compute,hecs,,,,58753200.0,ns,90
heavy_compute,hecs,,,,62604700.0,ns,92
heavy_compute,hecs,,,,62204000.0,ns,94
heavy_compute,hecs,,,,64060000.0,ns,96
heavy_compute,hecs,,,,65001600.0,ns,98
heavy_compute,hecs,,,,65791700.0,ns,100
heavy_compute,hecs,,,,68266300.0,ns,102
heavy_compute,hecs,,,,68766000.0,ns,104
heavy_compute,hecs,,,,69214700.0,ns,106
heavy_compute,hecs,,,,71516600.0,ns,108
heavy_compute,hecs,,,,72430000.0,ns,110
heavy_compute,hecs,,,,73453200.0,ns,112
heavy_compute,hecs,,,,75297200.0,ns,114
heavy_compute,hecs,,,,76693300.0,ns,116
heavy_compute,hecs,,,,78426500.0,ns,118
heavy_compute,hecs,,,,78664700.0,ns,120
heavy_compute,hecs,,,,80794500.0,ns,122
heavy_compute,hecs,,,,80893800.0,ns,124
heavy_compute,hecs,,,,81980400.0,ns,126
heavy_compute,hecs,,,,84262100.0,ns,128
heavy_compute,hecs,,,,86141600.0,ns,130
heavy_compute,hecs,,,,86362300.0,ns,132
heavy_compute,hecs,,,,87534400.0,ns,134
heavy_compute,hecs,,,,88784500.0,ns,136
heavy_compute,hecs,,,,91930200.0,ns,138
heavy_compute,hecs,,,,93068900.0,ns,140
heavy_compute,hecs,,,,93517600.0,ns,142
heavy_compute,hecs,,,,94272600.0,ns,144
heavy_compute,hecs,,,,95877800.0,ns,146
heavy_compute,hecs,,,,97736600.0,ns,148
heavy_compute,hecs,,,,98255600.0,ns,150
heavy_compute,hecs,,,,99553800.0,ns,152
heavy_compute,hecs,,,,101971800.0,ns,154
heavy_compute,hecs,,,,102682700.0,ns,156
heavy_compute,hecs,,,,104757900.0,ns,158
heavy_compute,hecs,,,,105433500.0,ns,160
heavy_compute,hecs,,,,106557200.0,ns,162
heavy_compute,hecs,,,,107855000.0,ns,164
heavy_compute,hecs,,,,109229900.0,ns,166
heavy_compute,hecs,,,,110649800.0,ns,168
heavy_compute,hecs,,,,111425300.0,ns,170
heavy_compute,hecs,,,,112335200.0,ns,172
heavy_compute,hecs,,,,113224500.0,ns,174
heavy_compute,hecs,,,,116365800.0,ns,176
heavy_compute,hecs,,,,116751000.0,ns,178
heavy_compute,hecs,,,,119127600.0,ns,180
heavy_compute,hecs,,,,120950200.0,ns,182
heavy_compute,hecs,,,,121060300.0,ns,184
heavy_compute,hecs,,,,122427300.0,ns,186
heavy_compute,hecs,,,,123857500.0,ns,188
heavy_compute,hecs,,,,124947300.0,ns,190
heavy_compute,hecs,,,,125740600.0,ns,192
heavy_compute,hecs,,,,127873200.0,ns,194
heavy_compute,hecs,,,,129460600.0,ns,196
heavy_compute,hecs,,,,131655700.0,ns,198
heavy_compute,hecs,,,,130988500.0,ns,200
