group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,legion (packed),,,,1381500.0,ns,2
heavy_compute,legion (packed),,,,2700800.0,ns,4
heavy_compute,legion (packed),,,,4026300.0,ns,6
heavy_compute,legion (packed),,,,5493600.0,ns,8
heavy_compute,legion (packed),,,,6898600.0,ns,10
heavy_compute,legion (packed),,,,8814900.0,ns,12
heavy_compute,legion (packed),,,,10666700.0,ns,14
heavy_compute,legion (packed),,,,11984600.0,ns,16
heavy_compute,legion (packed),,,,12322300.0,ns,18
heavy_compute,legion (packed),,,,15198600.0,ns,20
heavy_compute,legion (packed),,,,15247000.0,ns,22
heavy_compute,legion (packed),,,,16288200.0,ns,24
heavy_compute,legion (packed),,,,17606900.0,ns,26
heavy_compute,legion (packed),,,,18954300.0,ns,28
heavy_compute,legion (packed),,,,20339700.0,ns,30
heavy_compute,legion (packed),,,,22018700.0,ns,32
heavy_compute,legion (packed),,,,23089600.0,ns,34
heavy_compute,legion (packed),,,,25031100.0,ns,36
heavy_compute,legion (packed),,,,25740600.0,ns,38
heavy_compute,legion (packed),,,,27061000.0,ns,40
heavy_compute,legion (packed),,,,28997600.0,ns,42
heavy_compute,legion (packed),,,,30070700.0,ns,44
heavy_compute,legion (packed),,,,31205900.0,ns,46
heavy_compute,legion (packed),,,,32997500.0,ns,48
heavy_compute,legion (packed),,,,33925200.0,ns,50
heavy_compute,legion (packed),,,,35448900.0,ns,52
heavy_compute,legion (packed),,,,36955600.0,ns,54
heavy_compute,legion (packed),,,,38657700.0,ns,56
heavy_compute,legion (packed),,,,39572000.0,ns,58
heavy_compute,legion (packed),,,,42556800.0,ns,60
heavy_compute,legion (packed),,,,42125100.0,ns,62
heavy_compute,legion (packed),,,,43833900.0,ns,64
heavy_compute,legion (packed),,,,45976500.0,ns,66
heavy_compute,legion (packed),,,,46310600.0,ns,68
heavy_compute,legion (packed),,,,48006800.0,ns,70
heavy_compute,legion (packed),,,,49188100.0,ns,72
heavy_compute,legion (packed),,,,51343200.0,ns,74
heavy_compute,legion (packed),,,,51506500.0,ns,76
heavy_compute,legion (packed),,,,58018400.0,ns,78
heavy_compute,legion (packed),,,,55281000.0,ns,80
heavy_compute,legion (packed),,,,56301700.0,ns,82
heavy_compute,legion (packed),,,,58094200.0,ns,84
heavy_compute,legion (packed),,,,58707000.0,ns,86
heavy_compute,legion (packed),,,,59491200.0,ns,88
heavy_compute,legion (packed),,,,61623300.0,ns,90
heavy_compute,legion (packed),,,,62337200.0,ns,92
heavy_compute,legion (packed),,,,64873200.0,ns,94
heavy_compute,legion (packed),,,,66806600.0,ns,96
heavy_compute,legion (packed),,,,67333100.0,ns,98
heavy_compute,legion (packed),,,,68615700.0,ns,100
heavy_compute,legion (packed),,,,69506900.0,ns,102
heavy_compute,legion (packed),,,,71729900.0,ns,104
heavy_compute,legion (packed),,,,72276400.0,ns,106
heavy_compute,legion (packed),,,,73227100.0,ns,108
heavy_compute,legion (packed),,,,78111600.0,ns,110
heavy_compute,legion (packed),,,,77799400.0,ns,112
heavy_compute,legion (packed),,,,78862400.0,ns,114
heavy_compute,legion (packed),,,,79031300.0,ns,116
heavy_compute,legion (packed),,,,80933400.0,ns,118
heavy_compute,legion (packed),,,,82108800.0,ns,120
heavy_compute,legion (packed),,,,84303200.0,ns,122
heavy_compute,legion (packed),,,,84774400.0,ns,124
heavy_compute,legion (packed),,,,87471100.0,ns,126
heavy_compute,legion (packed),,,,87420700.0,ns,128
heavy_compute,legion (packed),,,,88207300.0,ns,130
heavy_compute,legion (packed),,,,89587900.0,ns,132
heavy_compute,legion (packed),,,,93751900.0,ns,134
heavy_compute,legion (packed),,,,94689300.0,ns,136
heavy_compute,legion (packed),,,,95219300.0,ns,138
heavy_compute,legion (packed),,,,95517600.0,ns,140
heavy_compute,legion (packed),,,,97910600.0,ns,142
heavy_compute,legion (packed),,,,99305300.0,ns,144
heavy_compute,legion (packed),,,,99925100.0,ns,146
heavy_compute,legion (packed),,,,101419300.0,ns,148
heavy_compute,legion (packed),,,,103259600.0,ns,150
heavy_compute,legion (packed),,,,103418400.0,ns,152
heavy_compute,legion (packed),,,,105363400.0,ns,154
heavy_compute,legion (packed),,,,109849000.0,ns,156
heavy_compute,legion (packed),,,,107541200.0,ns,158
heavy_compute,legion (packed),,,,109188500.0,ns,160
heavy_compute,legion (packed),,,,111208400.0,ns,162
heavy_compute,legion (packed),,,,113299000.0,ns,164
heavy_compute,legion (packed),,,,112757000.0,ns,166
heavy_compute,legion (packed),,,,115019100.0,ns,168
heavy_compute,legion (packed),,,,117036000.0,ns,170
heavy_compute,legion (packed),,,,117769100.0,ns,172
heavy_compute,legion (packed),,,,122014700.0,ns,174
heavy_compute,legion (packed),,,,120925400.0,ns,176
heavy_compute,legion (packed),,,,121421700.0,ns,178
heavy_compute,legion (packed),,,,124131600.0,ns,180
heavy_compute,legion (packed),,,,124357800.0,ns,182
heavy_compute,legion (packed),,,,125487400.0,ns,184
heavy_compute,legion (packed),,,,127617400.0,ns,186
heavy_compute,legion (packed),,,,129351100.0,ns,188
heavy_compute,legion (packed),,,,134090700.0,ns,190
heavy_compute,legion (packed),,,,130782500.0,ns,192
heavy_compute,legion (packed),,,,132369200.0,ns,194
heavy_compute,legion (packed),,,,135176600.0,ns,196
heavy_compute,legion (packed),,,,135101000.0,ns,198
heavy_compute,legion (packed),,,,136923900.0,ns,200
