group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,legion (packed),,,,1120300.0,ns,2
heavy_compute,legion (packed),,,,2183200.0,ns,4
heavy_compute,legion (packed),,,,3289700.0,ns,6
heavy_compute,legion (packed),,,,4397500.0,ns,8
heavy_compute,legion (packed),,,,5508700.0,ns,10
heavy_compute,legion (packed),,,,6594700.0,ns,12
heavy_compute,legion (packed),,,,7715800.0,ns,14
heavy_compute,legion (packed),,,,8812900.0,ns,16
heavy_compute,legion (packed),,,,9770000.0,ns,18
heavy_compute,legion (packed),,,,11014500.0,ns,20
heavy_compute,legion (packed),,,,12024400.0,ns,22
heavy_compute,legion (packed),,,,13110000.0,ns,24
heavy_compute,legion (packed),,,,14222400.0,ns,26
heavy_compute,legion (packed),,,,15273200.0,ns,28
heavy_compute,legion (packed),,,,16602300.0,ns,30
heavy_compute,legion (packed),,,,17659000.0,ns,32
heavy_compute,legion (packed),,,,18549200.0,ns,34
heavy_compute,legion (packed),,,,19842100.0,ns,36
heavy_compute,legion (packed),,,,20932100.0,ns,38
heavy_compute,legion (packed),,,,22066100.0,ns,40
heavy_compute,legion (packed),,,,23009700.0,ns,42
heavy_compute,legion (packed),,,,24044500.0,ns,44
heavy_compute,legion (packed),,,,24939900.0,ns,46
heavy_compute,legion (packed),,,,26100200.0,ns,48
heavy_compute,legion (packed),,,,27531700.0,ns,50
heavy_compute,legion (packed),,,,28175700.0,ns,52
heavy_compute,legion (packed),,,,29610800.0,ns,54
heavy_compute,legion (packed),,,,30701500.0,ns,56
heavy_compute,legion (packed),,,,31527800.0,ns,58
heavy_compute,legion (packed),,,,32629100.0,ns,60
heavy_compute,legion (packed),,,,33930500.0,ns,62
heavy_compute,legion (packed),,,,35151500.0,ns,64
heavy_compute,legion (packed),,,,36287900.0,ns,66
heavy_compute,legion (packed),,,,37785400.0,ns,68
heavy_compute,legion (packed),,,,38239800.0,ns,70
heavy_compute,legion (packed),,,,39403400.0,ns,72
heavy_compute,legion (packed),,,,40507600.0,ns,74
heavy_compute,legion (packed),,,,42114500.0,ns,76
heavy_compute,legion (packed),,,,42619900.0,ns,78
heavy_compute,legion (packed),,,,43822900.0,ns,80
heavy_compute,legion (packed),,,,44820800.0,ns,82
heavy_compute,legion (packed),,,,46044700.0,ns,84
heavy_compute,legion (packed),,,,47297100.0,ns,86
heavy_compute,legion (packed),,,,48210700.0,ns,88
heavy_compute,legion (packed),,,,49410100.0,ns,90
heavy_compute,legion (packed),,,,50640900.0,ns,92
heavy_compute,legion (packed),,,,51378300.0,ns,94
heavy_compute,legion (packed),,,,52271100.0,ns,96
heavy_compute,legion (packed),,,,53799200.0,ns,98
heavy_compute,legion (packed),,,,54729200.0,ns,100
heavy_compute,legion (packed),,,,55702600.0,ns,102
heavy_compute,legion (packed),,,,56772700.0,ns,104
heavy_compute,legion (packed),,,,57911400.0,ns,106
heavy_compute,legion (packed),,,,58858100.0,ns,108
heavy_compute,legion (packed),,,,60665900.0,ns,110
heavy_compute,legion (packed),,,,61224600.0,ns,112
heavy_compute,legion (packed),,,,63298400.0,ns,114
heavy_compute,legion (packed),,,,64385000.0,ns,116
heavy_compute,legion (packed),,,,64455300.0,ns,118
heavy_compute,legion (packed),,,,65854700.0,ns,120
heavy_compute,legion (packed),,,,66874600.0,ns,122
heavy_compute,legion (packed),,,,67995500.0,ns,124
heavy_compute,legion (packed),,,,68973000.0,ns,126
heavy_compute,legion (packed),,,,69970500.0,ns,128
heavy_compute,legion (packed),,,,71534400.0,ns,130
heavy_compute,legion (packed),,,,72220000.0,ns,132
heavy_compute,legion (packed),,,,73022300.0,ns,134
heavy_compute,legion (packed),,,,74437800.0,ns,136
heavy_compute,legion (packed),,,,75081200.0,ns,138
heavy_compute,legion (packed),,,,76790900.0,ns,140
heavy_compute,legion (packed),,,,78074000.0,ns,142
heavy_compute,legion (packed),,,,79177200.0,ns,144
heavy_compute,legion (packed),,,,80340500.0,ns,146
heavy_compute,legion (packed),,,,80985800.0,ns,148
heavy_compute,legion (packed),,,,81592000.0,ns,150
heavy_compute,legion (packed),,,,82722900.0,ns,152
heavy_compute,legion (packed),,,,84189100.0,ns,154
heavy_compute,legion (packed),,,,85429000.0,ns,156
heavy_compute,legion (packed),,,,86264500.0,ns,158
heavy_compute,legion (packed),,,,87329400.0,ns,160
heavy_compute,legion (packed),,,,88845600.0,ns,162
heavy_compute,legion (packed),,,,90166500.0,ns,164
heavy_compute,legion (packed),,,,91272300.0,ns,166
heavy_compute,legion (packed),,,,92637100.0,ns,168
heavy_compute,legion (packed),,,,93324700.0,ns,170
heavy_compute,legion (packed),,,,94222300.0,ns,172
heavy_compute,legion (packed),,,,94823000.0,ns,174
heavy_compute,legion (packed),,,,96240500.0,ns,176
heavy_compute,legion (packed),,,,97367700.0,ns,178
heavy_compute,legion (packed),,,,98433500.0,ns,180
heavy_compute,legion (packed),,,,99080300.0,ns,182
heavy_compute,legion (packed),,,,100949400.0,ns,184
heavy_compute,legion (packed),,,,101730500.0,ns,186
heavy_compute,legion (packed),,,,103528500.0,ns,188
heavy_compute,legion (packed),,,,104029600.0,ns,190
heavy_compute,legion (packed),,,,104673200.0,ns,192
heavy_compute,legion (packed),,,,106055600.0,ns,194
heavy_compute,legion (packed),,,,107321600.0,ns,196
heavy_compute,legion (packed),,,,108100100.0,ns,198
heavy_compute,legion (packed),,,,110008700.0,ns,200
