group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,legion,,,,1370900.0,ns,2
heavy_compute,legion,,,,2679000.0,ns,4
heavy_compute,legion,,,,4079500.0,ns,6
heavy_compute,legion,,,,5381000.0,ns,8
heavy_compute,legion,,,,6648900.0,ns,10
heavy_compute,legion,,,,8171100.0,ns,12
heavy_compute,legion,,,,9511700.0,ns,14
heavy_compute,legion,,,,11279700.0,ns,16
heavy_compute,legion,,,,12118500.0,ns,18
heavy_compute,legion,,,,13605000.0,ns,20
heavy_compute,legion,,,,15055800.0,ns,22
heavy_compute,legion,,,,16694800.0,ns,24
heavy_compute,legion,,,,17476700.0,ns,26
heavy_compute,legion,,,,18947200.0,ns,28
heavy_compute,legion,,,,20950500.0,ns,30
heavy_compute,legion,,,,21431600.0,ns,32
heavy_compute,legion,,,,23134700.0,ns,34
heavy_compute,legion,,,,24090100.0,ns,36
heavy_compute,legion,,,,26087700.0,ns,38
heavy_compute,legion,,,,27408200.0,ns,40
heavy_compute,legion,,,,28424600.0,ns,42
heavy_compute,legion,,,,29562900.0,ns,44
heavy_compute,legion,,,,32392900.0,ns,46
heavy_compute,legion,,,,32468200.0,ns,48
heavy_compute,legion,,,,34176100.0,ns,50
heavy_compute,legion,,,,35592300.0,ns,52
heavy_compute,legion,,,,36402100.0,ns,54
heavy_compute,legion,,,,37634300.0,ns,56
heavy_compute,legion,,,,40010400.0,ns,58
heavy_compute,legion,,,,40411400.0,ns,60
heavy_compute,legion,,,,41924900.0,ns,62
heavy_compute,legion,,,,47028800.0,ns,64
heavy_compute,legion,,,,47389800.0,ns,66
heavy_compute,legion,,,,46960100.0,ns,68
heavy_compute,legion,,,,47361600.0,ns,70
heavy_compute,legion,,,,49055800.0,ns,72
heavy_compute,legion,,,,50001400.0,ns,74
heavy_compute,legion,,,,52125900.0,ns,76
heavy_compute,legion,,,,53173800.0,ns,78
heavy_compute,legion,,,,53770100.0,ns,80
heavy_compute,legion,,,,56204600.0,ns,82
heavy_compute,legion,,,,56763500.0,ns,84
heavy_compute,legion,,,,59106800.0,ns,86
heavy_compute,legion,,,,60221800.0,ns,88
heavy_compute,legion,,,,61238500.0,ns,90
heavy_compute,legion,,,,63147600.0,ns,92
heavy_compute,legion,,,,63051600.0,ns,94
heavy_compute,legion,,,,65233200.0,ns,96
heavy_compute,legion,,,,66323900.0,ns,98
heavy_compute,legion,,,,70467500.0,ns,100
heavy_compute,legion,,,,72683700.0,ns,102
heavy_compute,legion,,,,70732400.0,ns,104
heavy_compute,legion,,,,72202700.0,ns,106
heavy_compute,legion,,,,74185900.0,ns,108
heavy_compute,legion,,,,73859900.0,ns,110
heavy_compute,legion,,,,76389700.0,ns,112
heavy_compute,legion,,,,77241300.0,ns,114
heavy_compute,legion,,,,79533300.0,ns,116
heavy_compute,legion,,,,80434900.0,ns,118
heavy_compute,legion,,,,81407000.0,ns,120
heavy_compute,legion,,,,83519700.0,ns,122
heavy_compute,legion,,,,84672300.0,ns,124
heavy_compute,legion,,,,86842400.0,ns,126
heavy_compute,legion,,,,89861200.0,ns,128
heavy_compute,legion,,,,88747900.0,ns,130
heavy_compute,legion,,,,89661000.0,ns,132
heavy_compute,legion,,,,91118600.0,ns,134
heavy_compute,legion,,,,92112500.0,ns,136
heavy_compute,legion,,,,94385900.0,ns,138
heavy_compute,legion,,,,95122600.0,ns,140
heavy_compute,legion,,,,96152900.0,ns,142
heavy_compute,legion,,,,97922000.0,ns,144
heavy_compute,legion,,,,99119200.0,ns,146
heavy_compute,legion,,,,106445300.0,ns,148
heavy_compute,legion,,,,103178700.0,ns,150
heavy_compute,legion,,,,103777000.0,ns,152
heavy_compute,legion,,,,104321000.0,ns,154
heavy_compute,legion,,,,106657800.0,ns,156
heavy_compute,legion,,,,107472900.0,ns,158
heavy_compute,legion,,,,109045100.0,ns,160
heavy_compute,legion,,,,109766400.0,ns,162
heavy_compute,legion,,,,111129200.0,ns,164
heavy_compute,legion,,,,112377500.0,ns,166
heavy_compute,legion,,,,122056500.0,ns,168
heavy_compute,legion,,,,115845900.0,ns,170
heavy_compute,legion,,,,116466600.0,ns,172
heavy_compute,legion,,,,118054500.0,ns,174
heavy_compute,legion,,,,119456600.0,ns,176
heavy_compute,legion,,,,121163800.0,ns,178
heavy_compute,legion,,,,129977300.0,ns,180
heavy_compute,legion,,,,123272000.0,ns,182
heavy_compute,legion,,,,128614900.0,ns,184
heavy_compute,legion,,,,132007300.0,ns,186
heavy_compute,legion,,,,131035300.0,ns,188
heavy_compute,legion,,,,129210500.0,ns,190
heavy_compute,legion,,,,131996500.0,ns,192
heavy_compute,legion,,,,131346800.0,ns,194
heavy_compute,legion,,,,132731400.0,ns,196
heavy_compute,legion,,,,134927400.0,ns,198
heavy_compute,legion,,,,139130000.0,ns,200
