group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,shipyard (packed),,,,1519800.0,ns,2
heavy_compute,shipyard (packed),,,,2966600.0,ns,4
heavy_compute,shipyard (packed),,,,4402100.0,ns,6
heavy_compute,shipyard (packed),,,,6105800.0,ns,8
heavy_compute,shipyard (packed),,,,7647600.0,ns,10
heavy_compute,shipyard (packed),,,,8354100.0,ns,12
heavy_compute,shipyard (packed),,,,9701500.0,ns,14
heavy_compute,shipyard (packed),,,,11092500.0,ns,16
heavy_compute,shipyard (packed),,,,12492000.0,ns,18
heavy_compute,shipyard (packed),,,,13740500.0,ns,20
heavy_compute,shipyard (packed),,,,15222600.0,ns,22
heavy_compute,shipyard (packed),,,,17107200.0,ns,24
heavy_compute,shipyard (packed),,,,17943400.0,ns,26
heavy_compute,shipyard (packed),,,,20260900.0,ns,28
heavy_compute,shipyard (packed),,,,21198000.0,ns,30
heavy_compute,shipyard (packed),,,,21979500.0,ns,32
heavy_compute,shipyard (packed),,,,23057100.0,ns,34
heavy_compute,shipyard (packed),,,,24656700.0,ns,36
heavy_compute,shipyard (packed),,,,25937200.0,ns,38
heavy_compute,shipyard (packed),,,,27185700.0,ns,40
heavy_compute,shipyard (packed),,,,28943200.0,ns,42
heavy_compute,shipyard (packed),,,,30973900.0,ns,44
heavy_compute,shipyard (packed),,,,31801900.0,ns,46
heavy_compute,shipyard (packed),,,,32358200.0,ns,48
heavy_compute,shipyard (packed),,,,34016100.0,ns,50
heavy_compute,shipyard (packed),,,,36675100.0,ns,52
heavy_compute,shipyard (packed),,,,37138300.0,ns,54
heavy_compute,shipyard (packed),,,,37970300.0,ns,56
heavy_compute,shipyard (packed),,,,39709200.0,ns,58
heavy_compute,shipyard (packed),,,,40380100.0,ns,60
heavy_compute,shipyard (packed),,,,42319300.0,ns,62
heavy_compute,shipyard (packed),,,,43672500.0,ns,64
heavy_compute,shipyard (packed),,,,45411500.0,ns,66
heavy_compute,shipyard (packed),,,,46363300.0,ns,68
heavy_compute,shipyard (packed),,,,47068000.0,ns,70
heavy_compute,shipyard (packed),,,,49179600.0,ns,72
heavy_compute,shipyard (packed),,,,50559100.0,ns,74
heavy_compute,shipyard (packed),,,,57742000.0,ns,76
heavy_compute,shipyard (packed),,,,55377900.0,ns,78
heavy_compute,shipyard (packed),,,,55832500.0,ns,80
heavy_compute,shipyard (packed),,,,55965900.0,ns,82
heavy_compute,shipyard (packed),,,,57523200.0,ns,84
heavy_compute,shipyard (packed),,,,58580300.0,ns,86
heavy_compute,shipyard (packed),,,,61349500.0,ns,88
heavy_compute,shipyard (packed),,,,61392800.0,ns,90
heavy_compute,shipyard (packed),,,,63327200.0,ns,92
heavy_compute,shipyard (packed),,,,76314000.0,ns,94
heavy_compute,shipyard (packed),,,,73801100.0,ns,96
heavy_compute,shipyard (packed),,,,69298500.0,ns,98
heavy_compute,shipyard (packed),,,,70067600.0,ns,100
heavy_compute,shipyard (packed),,,,70358200.0,ns,102
heavy_compute,shipyard (packed),,,,72760100.0,ns,104
heavy_compute,shipyard (packed),,,,73962900.0,ns,106
heavy_compute,shipyard (packed),,,,79767600.0,ns,108
heavy_compute,shipyard (packed),,,,77259000.0,ns,110
heavy_compute,shipyard (packed),,,,78046400.0,ns,112
heavy_compute,shipyard (packed),,,,80120400.0,ns,114
heavy_compute,shipyard (packed),,,,81734000.0,ns,116
