group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,shipyard (packed),,,,1868559.0,ns,2
heavy_compute,shipyard (packed),,,,3693766.0,ns,4
heavy_compute,shipyard (packed),,,,5774445.0,ns,6
heavy_compute,shipyard (packed),,,,7486426.0,ns,8
heavy_compute,shipyard (packed),,,,11089802.0,ns,10
heavy_compute,shipyard (packed),,,,11798018.0,ns,12
heavy_compute,shipyard (packed),,,,13544072.0,ns,14
heavy_compute,shipyard (packed),,,,15703433.0,ns,16
heavy_compute,shipyard (packed),,,,19513579.0,ns,18
heavy_compute,shipyard (packed),,,,20039458.0,ns,20
heavy_compute,shipyard (packed),,,,21740948.0,ns,22
heavy_compute,shipyard (packed),,,,24887564.0,ns,24
heavy_compute,shipyard (packed),,,,26887261.0,ns,26
heavy_compute,shipyard (packed),,,,31168904.0,ns,28
heavy_compute,shipyard (packed),,,,30812695.0,ns,30
heavy_compute,shipyard (packed),,,,33470708.0,ns,32
heavy_compute,shipyard (packed),,,,30718532.0,ns,34
heavy_compute,shipyard (packed),,,,33259386.0,ns,36
heavy_compute,shipyard (packed),,,,34529575.0,ns,38
heavy_compute,shipyard (packed),,,,36454194.0,ns,40
heavy_compute,shipyard (packed),,,,39484247.0,ns,42
heavy_compute,shipyard (packed),,,,40153432.0,ns,44
heavy_compute,shipyard (packed),,,,42304477.0,ns,46
heavy_compute,shipyard (packed),,,,44152442.0,ns,48
heavy_compute,shipyard (packed),,,,47807007.0,ns,50
heavy_compute,shipyard (packed),,,,47278541.0,ns,52
heavy_compute,shipyard (packed),,,,50289345.0,ns,54
heavy_compute,shipyard (packed),,,,52258286.0,ns,56
heavy_compute,shipyard (packed),,,,54740332.0,ns,58
heavy_compute,shipyard (packed),,,,54703898.0,ns,60
heavy_compute,shipyard (packed),,,,58654892.0,ns,62
heavy_compute,shipyard (packed),,,,57845502.0,ns,64
heavy_compute,shipyard (packed),,,,60597197.0,ns,66
heavy_compute,shipyard (packed),,,,61471868.0,ns,68
heavy_compute,shipyard (packed),,,,65004651.0,ns,70
heavy_compute,shipyard (packed),,,,66107271.0,ns,72
heavy_compute,shipyard (packed),,,,67949358.0,ns,74
heavy_compute,shipyard (packed),,,,68366716.0,ns,76
heavy_compute,shipyard (packed),,,,72139993.0,ns,78
heavy_compute,shipyard (packed),,,,73127296.0,ns,80
heavy_compute,shipyard (packed),,,,76758928.0,ns,82
heavy_compute,shipyard (packed),,,,76697092.0,ns,84
heavy_compute,shipyard (packed),,,,77900894.0,ns,86
heavy_compute,shipyard (packed),,,,78784018.0,ns,88
heavy_compute,shipyard (packed),,,,81454852.0,ns,90
heavy_compute,shipyard (packed),,,,83188729.0,ns,92
heavy_compute,shipyard (packed),,,,84855718.0,ns,94
heavy_compute,shipyard (packed),,,,87917969.0,ns,96
heavy_compute,shipyard (packed),,,,89006567.0,ns,98
heavy_compute,shipyard (packed),,,,91332525.0,ns,100
heavy_compute,shipyard (packed),,,,91947927.0,ns,102
heavy_compute,shipyard (packed),,,,93846564.0,ns,104
heavy_compute,shipyard (packed),,,,97307894.0,ns,106
heavy_compute,shipyard (packed),,,,98227754.0,ns,108
heavy_compute,shipyard (packed),,,,99628778.0,ns,110
heavy_compute,shipyard (packed),,,,101529360.0,ns,112
heavy_compute,shipyard (packed),,,,103276666.0,ns,114
heavy_compute,shipyard (packed),,,,104834606.0,ns,116
heavy_compute,shipyard (packed),,,,109290058.0,ns,118
heavy_compute,shipyard (packed),,,,111105526.0,ns,120
heavy_compute,shipyard (packed),,,,110774266.0,ns,122
heavy_compute,shipyard (packed),,,,116512363.0,ns,124
heavy_compute,shipyard (packed),,,,115584446.0,ns,126
heavy_compute,shipyard (packed),,,,117276046.0,ns,128
heavy_compute,shipyard (packed),,,,118521136.0,ns,130
heavy_compute,shipyard (packed),,,,119413138.0,ns,132
heavy_compute,shipyard (packed),,,,124016551.0,ns,134
heavy_compute,shipyard (packed),,,,124281129.0,ns,136
heavy_compute,shipyard (packed),,,,123771890.0,ns,138
heavy_compute,shipyard (packed),,,,126677780.0,ns,140
heavy_compute,shipyard (packed),,,,128805192.0,ns,142
heavy_compute,shipyard (packed),,,,130049597.0,ns,144
heavy_compute,shipyard (packed),,,,141966436.0,ns,146
heavy_compute,shipyard (packed),,,,133404667.0,ns,148
heavy_compute,shipyard (packed),,,,136483532.0,ns,150
heavy_compute,shipyard (packed),,,,137131080.0,ns,152
heavy_compute,shipyard (packed),,,,138666444.0,ns,154
heavy_compute,shipyard (packed),,,,141625147.0,ns,156
heavy_compute,shipyard (packed),,,,142528489.0,ns,158
heavy_compute,shipyard (packed),,,,144836646.0,ns,160
heavy_compute,shipyard (packed),,,,146293331.0,ns,162
heavy_compute,shipyard (packed),,,,150771676.0,ns,164
heavy_compute,shipyard (packed),,,,149426053.0,ns,166
heavy_compute,shipyard (packed),,,,152406824.0,ns,168
heavy_compute,shipyard (packed),,,,154373862.0,ns,170
heavy_compute,shipyard (packed),,,,155881209.0,ns,172
heavy_compute,shipyard (packed),,,,156690841.0,ns,174
heavy_compute,shipyard (packed),,,,166785905.0,ns,176
heavy_compute,shipyard (packed),,,,167441770.0,ns,178
heavy_compute,shipyard (packed),,,,162321434.0,ns,180
heavy_compute,shipyard (packed),,,,167667838.0,ns,182
heavy_compute,shipyard (packed),,,,176940480.0,ns,184
heavy_compute,shipyard (packed),,,,186490037.0,ns,186
heavy_compute,shipyard (packed),,,,184737501.0,ns,188
heavy_compute,shipyard (packed),,,,173692955.0,ns,190
heavy_compute,shipyard (packed),,,,174936415.0,ns,192
heavy_compute,shipyard (packed),,,,175833595.0,ns,194
heavy_compute,shipyard (packed),,,,176485768.0,ns,196
heavy_compute,shipyard (packed),,,,178885721.0,ns,198
heavy_compute,shipyard (packed),,,,182958067.0,ns,200
