group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,shipyard,,,,1820924.0,ns,2
heavy_compute,shipyard,,,,3418859.0,ns,4
heavy_compute,shipyard,,,,5206234.0,ns,6
heavy_compute,shipyard,,,,6739072.0,ns,8
heavy_compute,shipyard,,,,8950973.0,ns,10
heavy_compute,shipyard,,,,10035407.0,ns,12
heavy_compute,shipyard,,,,12779376.0,ns,14
heavy_compute,shipyard,,,,14549874.0,ns,16
heavy_compute,shipyard,,,,15817882.0,ns,18
heavy_compute,shipyard,,,,17888562.0,ns,20
heavy_compute,shipyard,,,,20522627.0,ns,22
heavy_compute,shipyard,,,,22214356.0,ns,24
heavy_compute,shipyard,,,,23220485.0,ns,26
heavy_compute,shipyard,,,,25122554.0,ns,28
heavy_compute,shipyard,,,,25207250.0,ns,30
heavy_compute,shipyard,,,,30036833.0,ns,32
heavy_compute,shipyard,,,,31456004.0,ns,34
heavy_compute,shipyard,,,,33479170.0,ns,36
heavy_compute,shipyard,,,,33383738.0,ns,38
heavy_compute,shipyard,,,,34189189.0,ns,40
heavy_compute,shipyard,,,,37014485.0,ns,42
heavy_compute,shipyard,,,,38287699.0,ns,44
heavy_compute,shipyard,,,,41602067.0,ns,46
heavy_compute,shipyard,,,,42272109.0,ns,48
heavy_compute,shipyard,,,,45123028.0,ns,50
heavy_compute,shipyard,,,,46199166.0,ns,52
heavy_compute,shipyard,,,,48090569.0,ns,54
heavy_compute,shipyard,,,,49280600.0,ns,56
heavy_compute,shipyard,,,,50650400.0,ns,58
heavy_compute,shipyard,,,,56054880.0,ns,60
heavy_compute,shipyard,,,,55148116.0,ns,62
heavy_compute,shipyard,,,,55474760.0,ns,64
heavy_compute,shipyard,,,,57047106.0,ns,66
heavy_compute,shipyard,,,,62610929.0,ns,68
heavy_compute,shipyard,,,,59875725.0,ns,70
heavy_compute,shipyard,,,,62165325.0,ns,72
heavy_compute,shipyard,,,,64686609.0,ns,74
heavy_compute,shipyard,,,,69132937.0,ns,76
heavy_compute,shipyard,,,,69719123.0,ns,78
heavy_compute,shipyard,,,,69802439.0,ns,80
heavy_compute,shipyard,,,,77063457.0,ns,82
heavy_compute,shipyard,,,,74779982.0,ns,84
heavy_compute,shipyard,,,,76210037.0,ns,86
heavy_compute,shipyard,,,,76704208.0,ns,88
heavy_compute,shipyard,,,,81955515.0,ns,90
heavy_compute,shipyard,,,,81960168.0,ns,92
heavy_compute,shipyard,,,,83044413.0,ns,94
heavy_compute,shipyard,,,,87256381.0,ns,96
heavy_compute,shipyard,,,,85140116.0,ns,98
heavy_compute,shipyard,,,,89456453.0,ns,100
heavy_compute,shipyard,,,,92138356.0,ns,102
heavy_compute,shipyard,,,,92505803.0,ns,104
heavy_compute,shipyard,,,,94718121.0,ns,106
heavy_compute,shipyard,,,,95348697.0,ns,108
heavy_compute,shipyard,,,,99897136.0,ns,110
heavy_compute,shipyard,,,,100767433.0,ns,112
heavy_compute,shipyard,,,,101807295.0,ns,114
heavy_compute,shipyard,,,,100571954.0,ns,116
heavy_compute,shipyard,,,,101042372.0,ns,118
heavy_compute,shipyard,,,,104073008.0,ns,120
heavy_compute,shipyard,,,,107724754.0,ns,122
heavy_compute,shipyard,,,,111608660.0,ns,124
heavy_compute,shipyard,,,,115794522.0,ns,126
heavy_compute,shipyard,,,,110956925.0,ns,128
heavy_compute,shipyard,,,,112554672.0,ns,130
heavy_compute,shipyard,,,,116229065.0,ns,132
heavy_compute,shipyard,,,,116493576.0,ns,134
heavy_compute,shipyard,,,,117017016.0,ns,136
heavy_compute,shipyard,,,,120063521.0,ns,138
heavy_compute,shipyard,,,,123217206.0,ns,140
heavy_compute,shipyard,,,,129347446.0,ns,142
heavy_compute,shipyard,,,,126062393.0,ns,144
heavy_compute,shipyard,,,,129323904.0,ns,146
heavy_compute,shipyard,,,,133371783.0,ns,148
heavy_compute,shipyard,,,,128483534.0,ns,150
heavy_compute,shipyard,,,,133460674.0,ns,152
heavy_compute,shipyard,,,,137707908.0,ns,154
heavy_compute,shipyard,,,,143950513.0,ns,156
heavy_compute,shipyard,,,,138697653.0,ns,158
heavy_compute,shipyard,,,,141127433.0,ns,160
heavy_compute,shipyard,,,,143901720.0,ns,162
heavy_compute,shipyard,,,,143546840.0,ns,164
heavy_compute,shipyard,,,,148498686.0,ns,166
heavy_compute,shipyard,,,,147277435.0,ns,168
heavy_compute,shipyard,,,,151197044.0,ns,170
heavy_compute,shipyard,,,,156868462.0,ns,172
heavy_compute,shipyard,,,,148634047.0,ns,174
heavy_compute,shipyard,,,,155587690.0,ns,176
heavy_compute,shipyard,,,,157234128.0,ns,178
heavy_compute,shipyard,,,,164642578.0,ns,180
heavy_compute,shipyard,,,,163252566.0,ns,182
heavy_compute,shipyard,,,,162632004.0,ns,184
heavy_compute,shipyard,,,,162673900.0,ns,186
heavy_compute,shipyard,,,,172659224.0,ns,188
heavy_compute,shipyard,,,,169438365.0,ns,190
heavy_compute,shipyard,,,,171771810.0,ns,192
heavy_compute,shipyard,,,,177799537.0,ns,194
heavy_compute,shipyard,,,,172896046.0,ns,196
heavy_compute,shipyard,,,,170982371.0,ns,198
heavy_compute,shipyard,,,,179176168.0,ns,200
