group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,shipyard,,,,1132679.0,ns,3
heavy_compute,shipyard,,,,2211115.0,ns,6
heavy_compute,shipyard,,,,3318264.0,ns,9
heavy_compute,shipyard,,,,4367354.0,ns,12
heavy_compute,shipyard,,,,5617296.0,ns,15
heavy_compute,shipyard,,,,6742972.0,ns,18
heavy_compute,shipyard,,,,7688194.0,ns,21
heavy_compute,shipyard,,,,8916484.0,ns,24
heavy_compute,shipyard,,,,10026029.0,ns,27
heavy_compute,shipyard,,,,10954530.0,ns,30
heavy_compute,shipyard,,,,12152323.0,ns,33
heavy_compute,shipyard,,,,13686085.0,ns,36
heavy_compute,shipyard,,,,15395874.0,ns,39
heavy_compute,shipyard,,,,15542894.0,ns,42
heavy_compute,shipyard,,,,16597114.0,ns,45
heavy_compute,shipyard,,,,17677042.0,ns,48
heavy_compute,shipyard,,,,18775185.0,ns,51
heavy_compute,shipyard,,,,19965483.0,ns,54
heavy_compute,shipyard,,,,23560404.0,ns,57
heavy_compute,shipyard,,,,24672484.0,ns,60
heavy_compute,shipyard,,,,24381661.0,ns,63
heavy_compute,shipyard,,,,25157949.0,ns,66
heavy_compute,shipyard,,,,25593429.0,ns,69
heavy_compute,shipyard,,,,26480039.0,ns,72
heavy_compute,shipyard,,,,27947266.0,ns,75
heavy_compute,shipyard,,,,29458546.0,ns,78
heavy_compute,shipyard,,,,30301273.0,ns,81
heavy_compute,shipyard,,,,31634123.0,ns,84
heavy_compute,shipyard,,,,31846037.0,ns,87
heavy_compute,shipyard,,,,32826776.0,ns,90
heavy_compute,shipyard,,,,35857704.0,ns,93
heavy_compute,shipyard,,,,36332077.0,ns,96
heavy_compute,shipyard,,,,36459090.0,ns,99
heavy_compute,shipyard,,,,38493367.0,ns,102
heavy_compute,shipyard,,,,38556226.0,ns,105
heavy_compute,shipyard,,,,40478059.0,ns,108
heavy_compute,shipyard,,,,41851637.0,ns,111
heavy_compute,shipyard,,,,42069883.0,ns,114
heavy_compute,shipyard,,,,43013292.0,ns,117
heavy_compute,shipyard,,,,45063949.0,ns,120
heavy_compute,shipyard,,,,46172182.0,ns,123
heavy_compute,shipyard,,,,47307266.0,ns,126
heavy_compute,shipyard,,,,48479990.0,ns,129
heavy_compute,shipyard,,,,48775473.0,ns,132
heavy_compute,shipyard,,,,49642786.0,ns,135
heavy_compute,shipyard,,,,50619789.0,ns,138
heavy_compute,shipyard,,,,53830549.0,ns,141
heavy_compute,shipyard,,,,54932208.0,ns,144
heavy_compute,shipyard,,,,54414170.0,ns,147
heavy_compute,shipyard,,,,54919985.0,ns,150
heavy_compute,shipyard,,,,56589617.0,ns,153
heavy_compute,shipyard,,,,58546698.0,ns,156
heavy_compute,shipyard,,,,60841210.0,ns,159
heavy_compute,shipyard,,,,60615289.0,ns,162
heavy_compute,shipyard,,,,61621398.0,ns,165
heavy_compute,shipyard,,,,63670322.0,ns,168
heavy_compute,shipyard,,,,62463782.0,ns,171
heavy_compute,shipyard,,,,64603713.0,ns,174
heavy_compute,shipyard,,,,65030024.0,ns,177
heavy_compute,shipyard,,,,68078262.0,ns,180
heavy_compute,shipyard,,,,67518176.0,ns,183
heavy_compute,shipyard,,,,67957925.0,ns,186
heavy_compute,shipyard,,,,70528784.0,ns,189
heavy_compute,shipyard,,,,70175651.0,ns,192
heavy_compute,shipyard,,,,71808162.0,ns,195
heavy_compute,shipyard,,,,73360942.0,ns,198
heavy_compute,shipyard,,,,76312187.0,ns,201
heavy_compute,shipyard,,,,75678899.0,ns,204
heavy_compute,shipyard,,,,77169291.0,ns,207
heavy_compute,shipyard,,,,80266524.0,ns,210
heavy_compute,shipyard,,,,79270184.0,ns,213
heavy_compute,shipyard,,,,82869586.0,ns,216
heavy_compute,shipyard,,,,81174544.0,ns,219
heavy_compute,shipyard,,,,81640532.0,ns,222
heavy_compute,shipyard,,,,84148302.0,ns,225
heavy_compute,shipyard,,,,85110716.0,ns,228
heavy_compute,shipyard,,,,85076141.0,ns,231
heavy_compute,shipyard,,,,86856704.0,ns,234
heavy_compute,shipyard,,,,88451223.0,ns,237
heavy_compute,shipyard,,,,92090188.0,ns,240
heavy_compute,shipyard,,,,91780519.0,ns,243
heavy_compute,shipyard,,,,94699081.0,ns,246
heavy_compute,shipyard,,,,106366938.0,ns,249
heavy_compute,shipyard,,,,96778905.0,ns,252
heavy_compute,shipyard,,,,93725234.0,ns,255
heavy_compute,shipyard,,,,97270351.0,ns,258
heavy_compute,shipyard,,,,100312920.0,ns,261
heavy_compute,shipyard,,,,98482533.0,ns,264
heavy_compute,shipyard,,,,99563161.0,ns,267
heavy_compute,shipyard,,,,100738501.0,ns,270
heavy_compute,shipyard,,,,108018556.0,ns,273
heavy_compute,shipyard,,,,106947846.0,ns,276
heavy_compute,shipyard,,,,105260451.0,ns,279
heavy_compute,shipyard,,,,104851271.0,ns,282
heavy_compute,shipyard,,,,106560258.0,ns,285
heavy_compute,shipyard,,,,106640419.0,ns,288
heavy_compute,shipyard,,,,106725432.0,ns,291
heavy_compute,shipyard,,,,107874842.0,ns,294
heavy_compute,shipyard,,,,111498199.0,ns,297
heavy_compute,shipyard,,,,116219678.0,ns,300
