group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,specs,,,,1227549.0,ns,3
heavy_compute,specs,,,,2459267.0,ns,6
heavy_compute,specs,,,,3872079.0,ns,9
heavy_compute,specs,,,,4870872.0,ns,12
heavy_compute,specs,,,,5976431.0,ns,15
heavy_compute,specs,,,,7211464.0,ns,18
heavy_compute,specs,,,,9622039.0,ns,21
heavy_compute,specs,,,,14857779.0,ns,24
heavy_compute,specs,,,,17744770.0,ns,27
heavy_compute,specs,,,,19962155.0,ns,30
heavy_compute,specs,,,,21579810.0,ns,33
heavy_compute,specs,,,,23345304.0,ns,36
heavy_compute,specs,,,,24809405.0,ns,39
heavy_compute,specs,,,,26923304.0,ns,42
heavy_compute,specs,,,,29341512.0,ns,45
heavy_compute,specs,,,,31281370.0,ns,48
heavy_compute,specs,,,,33517081.0,ns,51
heavy_compute,specs,,,,33600599.0,ns,54
heavy_compute,specs,,,,34081887.0,ns,57
heavy_compute,specs,,,,29891101.0,ns,60
heavy_compute,specs,,,,40379470.0,ns,63
heavy_compute,specs,,,,42344034.0,ns,66
heavy_compute,specs,,,,43491071.0,ns,69
heavy_compute,specs,,,,29936457.0,ns,72
heavy_compute,specs,,,,35334395.0,ns,75
heavy_compute,specs,,,,34547754.0,ns,78
heavy_compute,specs,,,,33086600.0,ns,81
heavy_compute,specs,,,,33340505.0,ns,84
heavy_compute,specs,,,,35579462.0,ns,87
heavy_compute,specs,,,,54394501.0,ns,90
heavy_compute,specs,,,,57093945.0,ns,93
heavy_compute,specs,,,,40054812.0,ns,96
heavy_compute,specs,,,,44948839.0,ns,99
heavy_compute,specs,,,,64656860.0,ns,102
heavy_compute,specs,,,,65877937.0,ns,105
heavy_compute,specs,,,,68456263.0,ns,108
heavy_compute,specs,,,,70927592.0,ns,111
heavy_compute,specs,,,,72552378.0,ns,114
heavy_compute,specs,,,,51183142.0,ns,117
heavy_compute,specs,,,,53320253.0,ns,120
heavy_compute,specs,,,,52069150.0,ns,123
heavy_compute,specs,,,,52896787.0,ns,126
heavy_compute,specs,,,,52493327.0,ns,129
heavy_compute,specs,,,,56199281.0,ns,132
heavy_compute,specs,,,,55401061.0,ns,135
heavy_compute,specs,,,,55431637.0,ns,138
heavy_compute,specs,,,,65336206.0,ns,141
heavy_compute,specs,,,,57295159.0,ns,144
heavy_compute,specs,,,,59685725.0,ns,147
heavy_compute,specs,,,,61848127.0,ns,150
heavy_compute,specs,,,,63298953.0,ns,153
heavy_compute,specs,,,,69354634.0,ns,156
heavy_compute,specs,,,,65052514.0,ns,159
heavy_compute,specs,,,,65126746.0,ns,162
heavy_compute,specs,,,,67320518.0,ns,165
heavy_compute,specs,,,,85875682.0,ns,168
heavy_compute,specs,,,,111019544.0,ns,171
heavy_compute,specs,,,,113114437.0,ns,174
heavy_compute,specs,,,,78900918.0,ns,177
heavy_compute,specs,,,,73230000.0,ns,180
heavy_compute,specs,,,,83678894.0,ns,183
heavy_compute,specs,,,,81419348.0,ns,186
heavy_compute,specs,,,,84840879.0,ns,189
heavy_compute,specs,,,,97768919.0,ns,192
heavy_compute,specs,,,,123694921.0,ns,195
heavy_compute,specs,,,,123140646.0,ns,198
heavy_compute,specs,,,,130950621.0,ns,201
heavy_compute,specs,,,,133611952.0,ns,204
heavy_compute,specs,,,,132557042.0,ns,207
heavy_compute,specs,,,,145903659.0,ns,210
heavy_compute,specs,,,,134668437.0,ns,213
heavy_compute,specs,,,,138075429.0,ns,216
heavy_compute,specs,,,,131100135.0,ns,219
heavy_compute,specs,,,,95270768.0,ns,222
heavy_compute,specs,,,,130206001.0,ns,225
heavy_compute,specs,,,,105902018.0,ns,228
heavy_compute,specs,,,,147233804.0,ns,231
heavy_compute,specs,,,,148498995.0,ns,234
heavy_compute,specs,,,,133903258.0,ns,237
heavy_compute,specs,,,,125698209.0,ns,240
heavy_compute,specs,,,,100267279.0,ns,243
heavy_compute,specs,,,,100554768.0,ns,246
heavy_compute,specs,,,,107100614.0,ns,249
heavy_compute,specs,,,,160159980.0,ns,252
heavy_compute,specs,,,,163550201.0,ns,255
heavy_compute,specs,,,,103991677.0,ns,258
heavy_compute,specs,,,,108866699.0,ns,261
heavy_compute,specs,,,,110551952.0,ns,264
heavy_compute,specs,,,,139926115.0,ns,267
heavy_compute,specs,,,,172668771.0,ns,270
heavy_compute,specs,,,,177492933.0,ns,273
heavy_compute,specs,,,,127176015.0,ns,276
heavy_compute,specs,,,,145532982.0,ns,279
heavy_compute,specs,,,,147179450.0,ns,282
heavy_compute,specs,,,,118677337.0,ns,285
heavy_compute,specs,,,,120561279.0,ns,288
heavy_compute,specs,,,,125068088.0,ns,291
heavy_compute,specs,,,,121882516.0,ns,294
heavy_compute,specs,,,,126528830.0,ns,297
heavy_compute,specs,,,,127681217.0,ns,300
