group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,specs,,,,1924200.0,ns,2
heavy_compute,specs,,,,3917600.0,ns,4
heavy_compute,specs,,,,5745200.0,ns,6
heavy_compute,specs,,,,7545600.0,ns,8
heavy_compute,specs,,,,9575300.0,ns,10
heavy_compute,specs,,,,11739400.0,ns,12
heavy_compute,specs,,,,13690900.0,ns,14
heavy_compute,specs,,,,15284400.0,ns,16
heavy_compute,specs,,,,17448200.0,ns,18
heavy_compute,specs,,,,19485000.0,ns,20
heavy_compute,specs,,,,21680100.0,ns,22
heavy_compute,specs,,,,23185100.0,ns,24
heavy_compute,specs,,,,24897700.0,ns,26
heavy_compute,specs,,,,26936700.0,ns,28
heavy_compute,specs,,,,29007600.0,ns,30
heavy_compute,specs,,,,30103000.0,ns,32
heavy_compute,specs,,,,32773700.0,ns,34
heavy_compute,specs,,,,34554600.0,ns,36
heavy_compute,specs,,,,36392600.0,ns,38
heavy_compute,specs,,,,38216900.0,ns,40
heavy_compute,specs,,,,40962800.0,ns,42
heavy_compute,specs,,,,42109800.0,ns,44
heavy_compute,specs,,,,44840800.0,ns,46
heavy_compute,specs,,,,46279300.0,ns,48
heavy_compute,specs,,,,47616400.0,ns,50
heavy_compute,specs,,,,49662300.0,ns,52
heavy_compute,specs,,,,57083500.0,ns,54
heavy_compute,specs,,,,58869600.0,ns,56
heavy_compute,specs,,,,56446700.0,ns,58
heavy_compute,specs,,,,58594000.0,ns,60
heavy_compute,specs,,,,60436600.0,ns,62
heavy_compute,specs,,,,61784600.0,ns,64
heavy_compute,specs,,,,63811200.0,ns,66
heavy_compute,specs,,,,66006800.0,ns,68
heavy_compute,specs,,,,67750500.0,ns,70
heavy_compute,specs,,,,69641700.0,ns,72
heavy_compute,specs,,,,71517500.0,ns,74
heavy_compute,specs,,,,73338800.0,ns,76
heavy_compute,specs,,,,75198500.0,ns,78
heavy_compute,specs,,,,77881500.0,ns,80
heavy_compute,specs,,,,79598300.0,ns,82
heavy_compute,specs,,,,81310500.0,ns,84
heavy_compute,specs,,,,83209400.0,ns,86
heavy_compute,specs,,,,86884000.0,ns,88
heavy_compute,specs,,,,86252600.0,ns,90
heavy_compute,specs,,,,88417400.0,ns,92
heavy_compute,specs,,,,89374700.0,ns,94
heavy_compute,specs,,,,93136200.0,ns,96
heavy_compute,specs,,,,94293800.0,ns,98
heavy_compute,specs,,,,96555500.0,ns,100
heavy_compute,specs,,,,98267000.0,ns,102
heavy_compute,specs,,,,99921300.0,ns,104
heavy_compute,specs,,,,102633300.0,ns,106
heavy_compute,specs,,,,105350200.0,ns,108
heavy_compute,specs,,,,107675000.0,ns,110
heavy_compute,specs,,,,107876500.0,ns,112
heavy_compute,specs,,,,109808200.0,ns,114
heavy_compute,specs,,,,112263400.0,ns,116
heavy_compute,specs,,,,114606700.0,ns,118
heavy_compute,specs,,,,115579900.0,ns,120
heavy_compute,specs,,,,117949800.0,ns,122
heavy_compute,specs,,,,120393100.0,ns,124
heavy_compute,specs,,,,122457400.0,ns,126
heavy_compute,specs,,,,124678000.0,ns,128
heavy_compute,specs,,,,126266400.0,ns,130
heavy_compute,specs,,,,128218600.0,ns,132
heavy_compute,specs,,,,128681500.0,ns,134
heavy_compute,specs,,,,132667700.0,ns,136
heavy_compute,specs,,,,133863000.0,ns,138
heavy_compute,specs,,,,135428300.0,ns,140
heavy_compute,specs,,,,138777400.0,ns,142
heavy_compute,specs,,,,139635900.0,ns,144
heavy_compute,specs,,,,141032400.0,ns,146
heavy_compute,specs,,,,143648700.0,ns,148
heavy_compute,specs,,,,145290000.0,ns,150
heavy_compute,specs,,,,146716900.0,ns,152
heavy_compute,specs,,,,149325200.0,ns,154
heavy_compute,specs,,,,151016000.0,ns,156
heavy_compute,specs,,,,150907900.0,ns,158
heavy_compute,specs,,,,155450800.0,ns,160
heavy_compute,specs,,,,156392800.0,ns,162
heavy_compute,specs,,,,158918000.0,ns,164
heavy_compute,specs,,,,160673700.0,ns,166
heavy_compute,specs,,,,162494100.0,ns,168
heavy_compute,specs,,,,165242900.0,ns,170
heavy_compute,specs,,,,166514600.0,ns,172
heavy_compute,specs,,,,168018700.0,ns,174
heavy_compute,specs,,,,170724200.0,ns,176
heavy_compute,specs,,,,172318900.0,ns,178
heavy_compute,specs,,,,172995000.0,ns,180
heavy_compute,specs,,,,176764600.0,ns,182
heavy_compute,specs,,,,178330100.0,ns,184
heavy_compute,specs,,,,178607100.0,ns,186
heavy_compute,specs,,,,182036900.0,ns,188
heavy_compute,specs,,,,182752000.0,ns,190
heavy_compute,specs,,,,186786400.0,ns,192
heavy_compute,specs,,,,188709000.0,ns,194
heavy_compute,specs,,,,189073900.0,ns,196
heavy_compute,specs,,,,190902800.0,ns,198
heavy_compute,specs,,,,193709900.0,ns,200
