group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,bevy,,,,1087200.0,ns,11
schedule,bevy,,,,2148000.0,ns,22
schedule,bevy,,,,3220800.0,ns,33
schedule,bevy,,,,4219900.0,ns,44
schedule,bevy,,,,5203700.0,ns,55
schedule,bevy,,,,6328600.0,ns,66
schedule,bevy,,,,7401000.0,ns,77
schedule,bevy,,,,8296500.0,ns,88
schedule,bevy,,,,9493400.0,ns,99
schedule,bevy,,,,10379700.0,ns,110
schedule,bevy,,,,11712400.0,ns,121
schedule,bevy,,,,12664800.0,ns,132
schedule,bevy,,,,13619800.0,ns,143
schedule,bevy,,,,14749000.0,ns,154
schedule,bevy,,,,15729800.0,ns,165
schedule,bevy,,,,16879300.0,ns,176
schedule,bevy,,,,18195800.0,ns,187
schedule,bevy,,,,19008000.0,ns,198
schedule,bevy,,,,19818900.0,ns,209
schedule,bevy,,,,21051700.0,ns,220
schedule,bevy,,,,22589300.0,ns,231
schedule,bevy,,,,23131400.0,ns,242
schedule,bevy,,,,24079900.0,ns,253
schedule,bevy,,,,24841700.0,ns,264
schedule,bevy,,,,26074000.0,ns,275
schedule,bevy,,,,26548000.0,ns,286
schedule,bevy,,,,27956100.0,ns,297
schedule,bevy,,,,28873000.0,ns,308
schedule,bevy,,,,30030100.0,ns,319
schedule,bevy,,,,31246400.0,ns,330
schedule,bevy,,,,31844400.0,ns,341
schedule,bevy,,,,33382300.0,ns,352
schedule,bevy,,,,34311000.0,ns,363
schedule,bevy,,,,35279600.0,ns,374
schedule,bevy,,,,36195200.0,ns,385
schedule,bevy,,,,37469200.0,ns,396
schedule,bevy,,,,38416400.0,ns,407
schedule,bevy,,,,39576400.0,ns,418
schedule,bevy,,,,40142400.0,ns,429
schedule,bevy,,,,41337400.0,ns,440
schedule,bevy,,,,43406700.0,ns,451
schedule,bevy,,,,43785300.0,ns,462
schedule,bevy,,,,44472400.0,ns,473
schedule,bevy,,,,46143700.0,ns,484
schedule,bevy,,,,47736900.0,ns,495
schedule,bevy,,,,48654500.0,ns,506
schedule,bevy,,,,48697900.0,ns,517
schedule,bevy,,,,49807800.0,ns,528
schedule,bevy,,,,52349500.0,ns,539
schedule,bevy,,,,52259600.0,ns,550
schedule,bevy,,,,52746000.0,ns,561
schedule,bevy,,,,53586400.0,ns,572
schedule,bevy,,,,54431100.0,ns,583
schedule,bevy,,,,56730700.0,ns,594
schedule,bevy,,,,57929600.0,ns,605
schedule,bevy,,,,59038200.0,ns,616
schedule,bevy,,,,59793500.0,ns,627
schedule,bevy,,,,59608500.0,ns,638
schedule,bevy,,,,61632500.0,ns,649
schedule,bevy,,,,63918500.0,ns,660
schedule,bevy,,,,63923400.0,ns,671
schedule,bevy,,,,65980200.0,ns,682
schedule,bevy,,,,65619300.0,ns,693
schedule,bevy,,,,66205900.0,ns,704
schedule,bevy,,,,67509900.0,ns,715
schedule,bevy,,,,67474500.0,ns,726
schedule,bevy,,,,69637900.0,ns,737
schedule,bevy,,,,70508100.0,ns,748
schedule,bevy,,,,71429300.0,ns,759
schedule,bevy,,,,73088000.0,ns,770
schedule,bevy,,,,73762200.0,ns,781
schedule,bevy,,,,74088800.0,ns,792
schedule,bevy,,,,75154300.0,ns,803
schedule,bevy,,,,77463400.0,ns,814
schedule,bevy,,,,79679500.0,ns,825
schedule,bevy,,,,80832800.0,ns,836
schedule,bevy,,,,79795100.0,ns,847
schedule,bevy,,,,81713600.0,ns,858
schedule,bevy,,,,82492000.0,ns,869
schedule,bevy,,,,82799400.0,ns,880
schedule,bevy,,,,84094300.0,ns,891
schedule,bevy,,,,84571100.0,ns,902
schedule,bevy,,,,86366900.0,ns,913
schedule,bevy,,,,88535800.0,ns,924
schedule,bevy,,,,89135900.0,ns,935
schedule,bevy,,,,90577300.0,ns,946
schedule,bevy,,,,92771700.0,ns,957
schedule,bevy,,,,92074000.0,ns,968
schedule,bevy,,,,93146700.0,ns,979
schedule,bevy,,,,92483800.0,ns,990
schedule,bevy,,,,94366600.0,ns,1001
schedule,bevy,,,,94720000.0,ns,1012
schedule,bevy,,,,97153000.0,ns,1023
schedule,bevy,,,,97235600.0,ns,1034
schedule,bevy,,,,101167300.0,ns,1045
schedule,bevy,,,,101064200.0,ns,1056
schedule,bevy,,,,102805500.0,ns,1067
schedule,bevy,,,,102408000.0,ns,1078
schedule,bevy,,,,103107700.0,ns,1089
schedule,bevy,,,,104441900.0,ns,1100
