group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,bevy,,,,1387282.0,ns,9
schedule,bevy,,,,2416734.0,ns,18
schedule,bevy,,,,3286893.0,ns,27
schedule,bevy,,,,5328732.0,ns,36
schedule,bevy,,,,6211635.0,ns,45
schedule,bevy,,,,5244080.0,ns,54
schedule,bevy,,,,9445005.0,ns,63
schedule,bevy,,,,7802995.0,ns,72
schedule,bevy,,,,10899676.0,ns,81
schedule,bevy,,,,12908422.0,ns,90
schedule,bevy,,,,9834808.0,ns,99
schedule,bevy,,,,14606988.0,ns,108
schedule,bevy,,,,15649094.0,ns,117
schedule,bevy,,,,17733394.0,ns,126
schedule,bevy,,,,15958565.0,ns,135
schedule,bevy,,,,19847902.0,ns,144
schedule,bevy,,,,15086211.0,ns,153
schedule,bevy,,,,20140341.0,ns,162
schedule,bevy,,,,23921473.0,ns,171
schedule,bevy,,,,22181579.0,ns,180
schedule,bevy,,,,23572920.0,ns,189
schedule,bevy,,,,20648279.0,ns,198
schedule,bevy,,,,21883953.0,ns,207
schedule,bevy,,,,27285222.0,ns,216
schedule,bevy,,,,29577820.0,ns,225
schedule,bevy,,,,30887996.0,ns,234
schedule,bevy,,,,31590295.0,ns,243
schedule,bevy,,,,27233965.0,ns,252
schedule,bevy,,,,25240646.0,ns,261
schedule,bevy,,,,25370044.0,ns,270
schedule,bevy,,,,35476508.0,ns,279
schedule,bevy,,,,33403869.0,ns,288
schedule,bevy,,,,26454139.0,ns,297
schedule,bevy,,,,41692290.0,ns,306
schedule,bevy,,,,45474856.0,ns,315
schedule,bevy,,,,38471943.0,ns,324
schedule,bevy,,,,42149882.0,ns,333
schedule,bevy,,,,39818259.0,ns,342
schedule,bevy,,,,33588362.0,ns,351
schedule,bevy,,,,36646847.0,ns,360
schedule,bevy,,,,45668436.0,ns,369
schedule,bevy,,,,48736381.0,ns,378
schedule,bevy,,,,46362117.0,ns,387
schedule,bevy,,,,46881405.0,ns,396
schedule,bevy,,,,48751839.0,ns,405
schedule,bevy,,,,48240515.0,ns,414
schedule,bevy,,,,54841211.0,ns,423
schedule,bevy,,,,44106428.0,ns,432
schedule,bevy,,,,57462375.0,ns,441
schedule,bevy,,,,58822234.0,ns,450
schedule,bevy,,,,54344864.0,ns,459
schedule,bevy,,,,44326128.0,ns,468
schedule,bevy,,,,56152579.0,ns,477
schedule,bevy,,,,60663424.0,ns,486
schedule,bevy,,,,45639020.0,ns,495
schedule,bevy,,,,45883424.0,ns,504
schedule,bevy,,,,61525714.0,ns,513
schedule,bevy,,,,66431593.0,ns,522
schedule,bevy,,,,51614683.0,ns,531
schedule,bevy,,,,64902027.0,ns,540
schedule,bevy,,,,53979990.0,ns,549
schedule,bevy,,,,63731969.0,ns,558
schedule,bevy,,,,68887059.0,ns,567
schedule,bevy,,,,70765449.0,ns,576
schedule,bevy,,,,57346634.0,ns,585
schedule,bevy,,,,74404632.0,ns,594
schedule,bevy,,,,68522064.0,ns,603
schedule,bevy,,,,73887967.0,ns,612
schedule,bevy,,,,76424629.0,ns,621
schedule,bevy,,,,63922643.0,ns,630
schedule,bevy,,,,77242268.0,ns,639
schedule,bevy,,,,75970054.0,ns,648
schedule,bevy,,,,65094947.0,ns,657
schedule,bevy,,,,82397279.0,ns,666
schedule,bevy,,,,88588815.0,ns,675
schedule,bevy,,,,63624224.0,ns,684
schedule,bevy,,,,85016620.0,ns,693
schedule,bevy,,,,70684984.0,ns,702
schedule,bevy,,,,74640552.0,ns,711
schedule,bevy,,,,88120531.0,ns,720
schedule,bevy,,,,87535388.0,ns,729
schedule,bevy,,,,73506661.0,ns,738
schedule,bevy,,,,91300361.0,ns,747
schedule,bevy,,,,72040097.0,ns,756
schedule,bevy,,,,97695102.0,ns,765
schedule,bevy,,,,70012063.0,ns,774
schedule,bevy,,,,78537044.0,ns,783
schedule,bevy,,,,75974773.0,ns,792
schedule,bevy,,,,76431281.0,ns,801
schedule,bevy,,,,98002638.0,ns,810
schedule,bevy,,,,100776002.0,ns,819
schedule,bevy,,,,105545800.0,ns,828
schedule,bevy,,,,109414429.0,ns,837
schedule,bevy,,,,107153453.0,ns,846
schedule,bevy,,,,91234042.0,ns,855
schedule,bevy,,,,105035047.0,ns,864
schedule,bevy,,,,105043804.0,ns,873
schedule,bevy,,,,109678944.0,ns,882
schedule,bevy,,,,116886866.0,ns,891
schedule,bevy,,,,91952632.0,ns,900
