group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,brood,,,,1110200.0,ns,23
schedule,brood,,,,2140400.0,ns,46
schedule,brood,,,,2842200.0,ns,69
schedule,brood,,,,4216700.0,ns,92
schedule,brood,,,,4825200.0,ns,115
schedule,brood,,,,6181400.0,ns,138
schedule,brood,,,,7315100.0,ns,161
schedule,brood,,,,8414600.0,ns,184
schedule,brood,,,,9141200.0,ns,207
schedule,brood,,,,10367200.0,ns,230
schedule,brood,,,,11213200.0,ns,253
schedule,brood,,,,12389400.0,ns,276
schedule,brood,,,,13155000.0,ns,299
schedule,brood,,,,14153200.0,ns,322
schedule,brood,,,,15462000.0,ns,345
schedule,brood,,,,16478400.0,ns,368
schedule,brood,,,,17246600.0,ns,391
schedule,brood,,,,18183800.0,ns,414
schedule,brood,,,,19440500.0,ns,437
schedule,brood,,,,20362900.0,ns,460
schedule,brood,,,,22103500.0,ns,483
schedule,brood,,,,22553900.0,ns,506
schedule,brood,,,,23799200.0,ns,529
schedule,brood,,,,24548300.0,ns,552
schedule,brood,,,,24620700.0,ns,575
schedule,brood,,,,26388100.0,ns,598
schedule,brood,,,,27630800.0,ns,621
schedule,brood,,,,28702800.0,ns,644
schedule,brood,,,,30053000.0,ns,667
schedule,brood,,,,31745700.0,ns,690
schedule,brood,,,,31699100.0,ns,713
schedule,brood,,,,31953400.0,ns,736
schedule,brood,,,,34251500.0,ns,759
schedule,brood,,,,35466200.0,ns,782
schedule,brood,,,,35913500.0,ns,805
schedule,brood,,,,38169400.0,ns,828
schedule,brood,,,,37932800.0,ns,851
schedule,brood,,,,39356400.0,ns,874
schedule,brood,,,,40014900.0,ns,897
schedule,brood,,,,41171000.0,ns,920
schedule,brood,,,,42198400.0,ns,943
schedule,brood,,,,43234200.0,ns,966
schedule,brood,,,,44122400.0,ns,989
schedule,brood,,,,44987200.0,ns,1012
schedule,brood,,,,46227300.0,ns,1035
schedule,brood,,,,47338700.0,ns,1058
schedule,brood,,,,49002700.0,ns,1081
schedule,brood,,,,50197100.0,ns,1104
schedule,brood,,,,50432200.0,ns,1127
schedule,brood,,,,51256700.0,ns,1150
schedule,brood,,,,52232900.0,ns,1173
schedule,brood,,,,54710900.0,ns,1196
schedule,brood,,,,55308900.0,ns,1219
schedule,brood,,,,55694400.0,ns,1242
schedule,brood,,,,57129700.0,ns,1265
schedule,brood,,,,57378200.0,ns,1288
schedule,brood,,,,58606200.0,ns,1311
schedule,brood,,,,60144900.0,ns,1334
schedule,brood,,,,59909500.0,ns,1357
schedule,brood,,,,61768300.0,ns,1380
schedule,brood,,,,63006300.0,ns,1403
schedule,brood,,,,64418200.0,ns,1426
schedule,brood,,,,64646900.0,ns,1449
schedule,brood,,,,66063500.0,ns,1472
schedule,brood,,,,66963500.0,ns,1495
schedule,brood,,,,68937000.0,ns,1518
schedule,brood,,,,70407100.0,ns,1541
schedule,brood,,,,70272100.0,ns,1564
schedule,brood,,,,71418900.0,ns,1587
schedule,brood,,,,73021400.0,ns,1610
schedule,brood,,,,73487200.0,ns,1633
schedule,brood,,,,74062100.0,ns,1656
schedule,brood,,,,74083300.0,ns,1679
schedule,brood,,,,75302800.0,ns,1702
schedule,brood,,,,76377900.0,ns,1725
schedule,brood,,,,77920300.0,ns,1748
schedule,brood,,,,76928300.0,ns,1771
schedule,brood,,,,79748800.0,ns,1794
schedule,brood,,,,80163700.0,ns,1817
schedule,brood,,,,80271900.0,ns,1840
schedule,brood,,,,82235200.0,ns,1863
schedule,brood,,,,84721500.0,ns,1886
schedule,brood,,,,84055200.0,ns,1909
schedule,brood,,,,85388700.0,ns,1932
schedule,brood,,,,85885000.0,ns,1955
schedule,brood,,,,87508900.0,ns,1978
schedule,brood,,,,89235800.0,ns,2001
schedule,brood,,,,92202500.0,ns,2024
schedule,brood,,,,87058600.0,ns,2047
schedule,brood,,,,90674000.0,ns,2070
schedule,brood,,,,90632500.0,ns,2093
schedule,brood,,,,91018200.0,ns,2116
schedule,brood,,,,94269900.0,ns,2139
schedule,brood,,,,95482300.0,ns,2162
schedule,brood,,,,97716400.0,ns,2185
schedule,brood,,,,95407000.0,ns,2208
schedule,brood,,,,98773600.0,ns,2231
schedule,brood,,,,100680800.0,ns,2254
schedule,brood,,,,98456800.0,ns,2277
schedule,brood,,,,102140700.0,ns,2300
