group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,legion (packed),,,,1002584.0,ns,23
schedule,legion (packed),,,,2125934.0,ns,46
schedule,legion (packed),,,,2923942.0,ns,69
schedule,legion (packed),,,,3945220.0,ns,92
schedule,legion (packed),,,,4591464.0,ns,115
schedule,legion (packed),,,,6239212.0,ns,138
schedule,legion (packed),,,,7065450.0,ns,161
schedule,legion (packed),,,,7784546.0,ns,184
schedule,legion (packed),,,,8756286.0,ns,207
schedule,legion (packed),,,,10179278.0,ns,230
schedule,legion (packed),,,,10698645.0,ns,253
schedule,legion (packed),,,,11748378.0,ns,276
schedule,legion (packed),,,,13172849.0,ns,299
schedule,legion (packed),,,,14829376.0,ns,322
schedule,legion (packed),,,,15645688.0,ns,345
schedule,legion (packed),,,,16880714.0,ns,368
schedule,legion (packed),,,,17332194.0,ns,391
schedule,legion (packed),,,,17548535.0,ns,414
schedule,legion (packed),,,,18781723.0,ns,437
schedule,legion (packed),,,,19284475.0,ns,460
schedule,legion (packed),,,,22466490.0,ns,483
schedule,legion (packed),,,,21052345.0,ns,506
schedule,legion (packed),,,,24261184.0,ns,529
schedule,legion (packed),,,,25084759.0,ns,552
schedule,legion (packed),,,,24657730.0,ns,575
schedule,legion (packed),,,,25756939.0,ns,598
schedule,legion (packed),,,,26214361.0,ns,621
schedule,legion (packed),,,,27489371.0,ns,644
schedule,legion (packed),,,,28042691.0,ns,667
schedule,legion (packed),,,,29361804.0,ns,690
schedule,legion (packed),,,,30613742.0,ns,713
schedule,legion (packed),,,,31712175.0,ns,736
schedule,legion (packed),,,,32156285.0,ns,759
schedule,legion (packed),,,,33591411.0,ns,782
schedule,legion (packed),,,,34607015.0,ns,805
schedule,legion (packed),,,,35803506.0,ns,828
schedule,legion (packed),,,,37035273.0,ns,851
schedule,legion (packed),,,,39464552.0,ns,874
schedule,legion (packed),,,,37804610.0,ns,897
schedule,legion (packed),,,,39626523.0,ns,920
schedule,legion (packed),,,,40767488.0,ns,943
schedule,legion (packed),,,,41561928.0,ns,966
schedule,legion (packed),,,,42116728.0,ns,989
schedule,legion (packed),,,,43851459.0,ns,1012
schedule,legion (packed),,,,44851617.0,ns,1035
schedule,legion (packed),,,,46836513.0,ns,1058
schedule,legion (packed),,,,46568800.0,ns,1081
schedule,legion (packed),,,,48503480.0,ns,1104
schedule,legion (packed),,,,48433588.0,ns,1127
schedule,legion (packed),,,,50643220.0,ns,1150
schedule,legion (packed),,,,50598937.0,ns,1173
schedule,legion (packed),,,,51393333.0,ns,1196
schedule,legion (packed),,,,52348694.0,ns,1219
schedule,legion (packed),,,,52828804.0,ns,1242
schedule,legion (packed),,,,53784548.0,ns,1265
schedule,legion (packed),,,,55170053.0,ns,1288
schedule,legion (packed),,,,56593689.0,ns,1311
schedule,legion (packed),,,,58516361.0,ns,1334
schedule,legion (packed),,,,60959309.0,ns,1357
schedule,legion (packed),,,,59563500.0,ns,1380
schedule,legion (packed),,,,61054623.0,ns,1403
schedule,legion (packed),,,,61219919.0,ns,1426
schedule,legion (packed),,,,62992600.0,ns,1449
schedule,legion (packed),,,,64585950.0,ns,1472
schedule,legion (packed),,,,65606164.0,ns,1495
schedule,legion (packed),,,,66004042.0,ns,1518
schedule,legion (packed),,,,69082842.0,ns,1541
schedule,legion (packed),,,,69723995.0,ns,1564
schedule,legion (packed),,,,67920709.0,ns,1587
schedule,legion (packed),,,,69902134.0,ns,1610
schedule,legion (packed),,,,70482237.0,ns,1633
schedule,legion (packed),,,,71847902.0,ns,1656
schedule,legion (packed),,,,71615694.0,ns,1679
schedule,legion (packed),,,,72902131.0,ns,1702
schedule,legion (packed),,,,74376338.0,ns,1725
schedule,legion (packed),,,,76573925.0,ns,1748
schedule,legion (packed),,,,75819613.0,ns,1771
schedule,legion (packed),,,,78364714.0,ns,1794
schedule,legion (packed),,,,77394526.0,ns,1817
schedule,legion (packed),,,,79120520.0,ns,1840
schedule,legion (packed),,,,80275032.0,ns,1863
schedule,legion (packed),,,,81576827.0,ns,1886
schedule,legion (packed),,,,81319299.0,ns,1909
schedule,legion (packed),,,,80869255.0,ns,1932
schedule,legion (packed),,,,84870533.0,ns,1955
schedule,legion (packed),,,,91674856.0,ns,1978
schedule,legion (packed),,,,86174354.0,ns,2001
schedule,legion (packed),,,,87869530.0,ns,2024
schedule,legion (packed),,,,89100777.0,ns,2047
schedule,legion (packed),,,,90440338.0,ns,2070
schedule,legion (packed),,,,90109803.0,ns,2093
schedule,legion (packed),,,,90674174.0,ns,2116
schedule,legion (packed),,,,91278564.0,ns,2139
schedule,legion (packed),,,,93769821.0,ns,2162
schedule,legion (packed),,,,92338193.0,ns,2185
schedule,legion (packed),,,,95748715.0,ns,2208
schedule,legion (packed),,,,95275266.0,ns,2231
schedule,legion (packed),,,,96146009.0,ns,2254
schedule,legion (packed),,,,96612427.0,ns,2277
schedule,legion (packed),,,,99084032.0,ns,2300
