group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,legion (packed),,,,1110235.0,ns,21
schedule,legion (packed),,,,2171180.0,ns,42
schedule,legion (packed),,,,3343798.0,ns,63
schedule,legion (packed),,,,4023539.0,ns,84
schedule,legion (packed),,,,5324016.0,ns,105
schedule,legion (packed),,,,5948732.0,ns,126
schedule,legion (packed),,,,7402031.0,ns,147
schedule,legion (packed),,,,8584951.0,ns,168
schedule,legion (packed),,,,9842320.0,ns,189
schedule,legion (packed),,,,10378207.0,ns,210
schedule,legion (packed),,,,11308846.0,ns,231
schedule,legion (packed),,,,12508315.0,ns,252
schedule,legion (packed),,,,13129513.0,ns,273
schedule,legion (packed),,,,14664627.0,ns,294
schedule,legion (packed),,,,15445647.0,ns,315
schedule,legion (packed),,,,16501997.0,ns,336
schedule,legion (packed),,,,15703295.0,ns,357
schedule,legion (packed),,,,16957943.0,ns,378
schedule,legion (packed),,,,19100852.0,ns,399
schedule,legion (packed),,,,21289077.0,ns,420
schedule,legion (packed),,,,21633207.0,ns,441
schedule,legion (packed),,,,22362490.0,ns,462
schedule,legion (packed),,,,21899640.0,ns,483
schedule,legion (packed),,,,28497082.0,ns,504
schedule,legion (packed),,,,18999700.0,ns,525
schedule,legion (packed),,,,19940234.0,ns,546
schedule,legion (packed),,,,20742087.0,ns,567
schedule,legion (packed),,,,21036249.0,ns,588
schedule,legion (packed),,,,22388250.0,ns,609
schedule,legion (packed),,,,23336234.0,ns,630
schedule,legion (packed),,,,23871901.0,ns,651
schedule,legion (packed),,,,24962881.0,ns,672
schedule,legion (packed),,,,24675128.0,ns,693
schedule,legion (packed),,,,25631677.0,ns,714
schedule,legion (packed),,,,26290218.0,ns,735
schedule,legion (packed),,,,27070358.0,ns,756
schedule,legion (packed),,,,82281556.0,ns,777
schedule,legion (packed),,,,28440929.0,ns,798
schedule,legion (packed),,,,30239813.0,ns,819
schedule,legion (packed),,,,30591168.0,ns,840
schedule,legion (packed),,,,31178333.0,ns,861
schedule,legion (packed),,,,32337653.0,ns,882
schedule,legion (packed),,,,33334230.0,ns,903
schedule,legion (packed),,,,33817350.0,ns,924
schedule,legion (packed),,,,44123580.0,ns,945
schedule,legion (packed),,,,45675368.0,ns,966
schedule,legion (packed),,,,47612445.0,ns,987
schedule,legion (packed),,,,48118933.0,ns,1008
schedule,legion (packed),,,,46341691.0,ns,1029
schedule,legion (packed),,,,47883920.0,ns,1050
schedule,legion (packed),,,,51618255.0,ns,1071
schedule,legion (packed),,,,53332834.0,ns,1092
schedule,legion (packed),,,,53122751.0,ns,1113
schedule,legion (packed),,,,53673874.0,ns,1134
schedule,legion (packed),,,,54057992.0,ns,1155
schedule,legion (packed),,,,57216927.0,ns,1176
schedule,legion (packed),,,,57243524.0,ns,1197
schedule,legion (packed),,,,59702351.0,ns,1218
schedule,legion (packed),,,,58342822.0,ns,1239
schedule,legion (packed),,,,60729376.0,ns,1260
schedule,legion (packed),,,,62386975.0,ns,1281
schedule,legion (packed),,,,61726362.0,ns,1302
schedule,legion (packed),,,,63180909.0,ns,1323
schedule,legion (packed),,,,65005329.0,ns,1344
schedule,legion (packed),,,,64757304.0,ns,1365
schedule,legion (packed),,,,66397933.0,ns,1386
schedule,legion (packed),,,,68018662.0,ns,1407
schedule,legion (packed),,,,68232809.0,ns,1428
schedule,legion (packed),,,,70905027.0,ns,1449
schedule,legion (packed),,,,68175930.0,ns,1470
schedule,legion (packed),,,,73813828.0,ns,1491
schedule,legion (packed),,,,72809350.0,ns,1512
schedule,legion (packed),,,,71759035.0,ns,1533
schedule,legion (packed),,,,76655906.0,ns,1554
schedule,legion (packed),,,,76695522.0,ns,1575
schedule,legion (packed),,,,77977397.0,ns,1596
schedule,legion (packed),,,,79248321.0,ns,1617
schedule,legion (packed),,,,78800133.0,ns,1638
schedule,legion (packed),,,,78656616.0,ns,1659
schedule,legion (packed),,,,82684422.0,ns,1680
schedule,legion (packed),,,,82474581.0,ns,1701
schedule,legion (packed),,,,80070952.0,ns,1722
schedule,legion (packed),,,,85141968.0,ns,1743
schedule,legion (packed),,,,85980754.0,ns,1764
schedule,legion (packed),,,,85049723.0,ns,1785
schedule,legion (packed),,,,86351498.0,ns,1806
schedule,legion (packed),,,,87613339.0,ns,1827
schedule,legion (packed),,,,86677048.0,ns,1848
schedule,legion (packed),,,,91323727.0,ns,1869
schedule,legion (packed),,,,92014042.0,ns,1890
schedule,legion (packed),,,,92807459.0,ns,1911
schedule,legion (packed),,,,94556044.0,ns,1932
schedule,legion (packed),,,,90742798.0,ns,1953
schedule,legion (packed),,,,93473577.0,ns,1974
schedule,legion (packed),,,,93999567.0,ns,1995
schedule,legion (packed),,,,94845889.0,ns,2016
schedule,legion (packed),,,,99838021.0,ns,2037
schedule,legion (packed),,,,101794288.0,ns,2058
schedule,legion (packed),,,,99307489.0,ns,2079
schedule,legion (packed),,,,101229116.0,ns,2100
