group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,legion,,,,1077757.0,ns,24
schedule,legion,,,,2131791.0,ns,48
schedule,legion,,,,3439126.0,ns,72
schedule,legion,,,,4337731.0,ns,96
schedule,legion,,,,5068355.0,ns,120
schedule,legion,,,,5950357.0,ns,144
schedule,legion,,,,7738325.0,ns,168
schedule,legion,,,,8346547.0,ns,192
schedule,legion,,,,9073773.0,ns,216
schedule,legion,,,,10490446.0,ns,240
schedule,legion,,,,11264705.0,ns,264
schedule,legion,,,,12109731.0,ns,288
schedule,legion,,,,13053013.0,ns,312
schedule,legion,,,,14007576.0,ns,336
schedule,legion,,,,14976671.0,ns,360
schedule,legion,,,,15987449.0,ns,384
schedule,legion,,,,16954924.0,ns,408
schedule,legion,,,,17639749.0,ns,432
schedule,legion,,,,19896057.0,ns,456
schedule,legion,,,,19064108.0,ns,480
schedule,legion,,,,21733349.0,ns,504
schedule,legion,,,,22955986.0,ns,528
schedule,legion,,,,23644925.0,ns,552
schedule,legion,,,,24753532.0,ns,576
schedule,legion,,,,26090993.0,ns,600
schedule,legion,,,,26777424.0,ns,624
schedule,legion,,,,27126154.0,ns,648
schedule,legion,,,,31070918.0,ns,672
schedule,legion,,,,29191889.0,ns,696
schedule,legion,,,,30650725.0,ns,720
schedule,legion,,,,31043512.0,ns,744
schedule,legion,,,,32150753.0,ns,768
schedule,legion,,,,33995024.0,ns,792
schedule,legion,,,,33477457.0,ns,816
schedule,legion,,,,37616576.0,ns,840
schedule,legion,,,,36706240.0,ns,864
schedule,legion,,,,37124272.0,ns,888
schedule,legion,,,,37865506.0,ns,912
schedule,legion,,,,40127378.0,ns,936
schedule,legion,,,,40054101.0,ns,960
schedule,legion,,,,43165548.0,ns,984
schedule,legion,,,,43284140.0,ns,1008
schedule,legion,,,,43729619.0,ns,1032
schedule,legion,,,,45339558.0,ns,1056
schedule,legion,,,,46381746.0,ns,1080
schedule,legion,,,,48320893.0,ns,1104
schedule,legion,,,,47677272.0,ns,1128
schedule,legion,,,,49849200.0,ns,1152
schedule,legion,,,,50553659.0,ns,1176
schedule,legion,,,,50675826.0,ns,1200
schedule,legion,,,,51780040.0,ns,1224
schedule,legion,,,,55302190.0,ns,1248
schedule,legion,,,,56164387.0,ns,1272
schedule,legion,,,,56755564.0,ns,1296
schedule,legion,,,,57092181.0,ns,1320
schedule,legion,,,,56874106.0,ns,1344
schedule,legion,,,,59076366.0,ns,1368
schedule,legion,,,,58963670.0,ns,1392
schedule,legion,,,,60400412.0,ns,1416
schedule,legion,,,,62439076.0,ns,1440
schedule,legion,,,,61845349.0,ns,1464
schedule,legion,,,,64154296.0,ns,1488
schedule,legion,,,,62827143.0,ns,1512
schedule,legion,,,,64227560.0,ns,1536
schedule,legion,,,,66963102.0,ns,1560
schedule,legion,,,,66952449.0,ns,1584
schedule,legion,,,,67579918.0,ns,1608
schedule,legion,,,,69433135.0,ns,1632
schedule,legion,,,,71085525.0,ns,1656
schedule,legion,,,,71561219.0,ns,1680
schedule,legion,,,,72224343.0,ns,1704
schedule,legion,,,,73306250.0,ns,1728
schedule,legion,,,,73507839.0,ns,1752
schedule,legion,,,,76938681.0,ns,1776
schedule,legion,,,,77395317.0,ns,1800
schedule,legion,,,,79767521.0,ns,1824
schedule,legion,,,,79201623.0,ns,1848
schedule,legion,,,,79704295.0,ns,1872
schedule,legion,,,,80160481.0,ns,1896
schedule,legion,,,,80980905.0,ns,1920
schedule,legion,,,,84448316.0,ns,1944
schedule,legion,,,,83751920.0,ns,1968
schedule,legion,,,,85632642.0,ns,1992
schedule,legion,,,,87486607.0,ns,2016
schedule,legion,,,,87597354.0,ns,2040
schedule,legion,,,,89149637.0,ns,2064
schedule,legion,,,,88812476.0,ns,2088
schedule,legion,,,,90770788.0,ns,2112
schedule,legion,,,,91959471.0,ns,2136
schedule,legion,,,,93264128.0,ns,2160
schedule,legion,,,,94092311.0,ns,2184
schedule,legion,,,,99395564.0,ns,2208
schedule,legion,,,,95269854.0,ns,2232
schedule,legion,,,,95447497.0,ns,2256
schedule,legion,,,,97019711.0,ns,2280
schedule,legion,,,,100268351.0,ns,2304
schedule,legion,,,,99219462.0,ns,2328
schedule,legion,,,,99649522.0,ns,2352
schedule,legion,,,,101935433.0,ns,2376
schedule,legion,,,,101710508.0,ns,2400
