group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,legion,,,,1325839.0,ns,22
schedule,legion,,,,2297321.0,ns,44
schedule,legion,,,,3871395.0,ns,66
schedule,legion,,,,4606731.0,ns,88
schedule,legion,,,,4805860.0,ns,110
schedule,legion,,,,6788619.0,ns,132
schedule,legion,,,,7879704.0,ns,154
schedule,legion,,,,9091540.0,ns,176
schedule,legion,,,,10087377.0,ns,198
schedule,legion,,,,11757237.0,ns,220
schedule,legion,,,,12435872.0,ns,242
schedule,legion,,,,12575671.0,ns,264
schedule,legion,,,,14434604.0,ns,286
schedule,legion,,,,15382694.0,ns,308
schedule,legion,,,,16621506.0,ns,330
schedule,legion,,,,18140926.0,ns,352
schedule,legion,,,,17858463.0,ns,374
schedule,legion,,,,19619991.0,ns,396
schedule,legion,,,,21238376.0,ns,418
schedule,legion,,,,21502495.0,ns,440
schedule,legion,,,,23689368.0,ns,462
schedule,legion,,,,25455166.0,ns,484
schedule,legion,,,,27145614.0,ns,506
schedule,legion,,,,27139752.0,ns,528
schedule,legion,,,,28846925.0,ns,550
schedule,legion,,,,28957526.0,ns,572
schedule,legion,,,,29914772.0,ns,594
schedule,legion,,,,30854054.0,ns,616
schedule,legion,,,,32050050.0,ns,638
schedule,legion,,,,32988146.0,ns,660
schedule,legion,,,,34355808.0,ns,682
schedule,legion,,,,36896472.0,ns,704
schedule,legion,,,,37485556.0,ns,726
schedule,legion,,,,38402001.0,ns,748
schedule,legion,,,,36792692.0,ns,770
schedule,legion,,,,39659949.0,ns,792
schedule,legion,,,,40163867.0,ns,814
schedule,legion,,,,42658576.0,ns,836
schedule,legion,,,,42741345.0,ns,858
schedule,legion,,,,40856083.0,ns,880
schedule,legion,,,,45188115.0,ns,902
schedule,legion,,,,43169575.0,ns,924
schedule,legion,,,,46270256.0,ns,946
schedule,legion,,,,46438990.0,ns,968
schedule,legion,,,,45720359.0,ns,990
schedule,legion,,,,48085671.0,ns,1012
schedule,legion,,,,49477626.0,ns,1034
schedule,legion,,,,53900097.0,ns,1056
schedule,legion,,,,53766878.0,ns,1078
schedule,legion,,,,54894994.0,ns,1100
schedule,legion,,,,54425229.0,ns,1122
schedule,legion,,,,58761565.0,ns,1144
schedule,legion,,,,56849691.0,ns,1166
schedule,legion,,,,54050626.0,ns,1188
schedule,legion,,,,55454001.0,ns,1210
schedule,legion,,,,60554709.0,ns,1232
schedule,legion,,,,58532194.0,ns,1254
schedule,legion,,,,57372395.0,ns,1276
schedule,legion,,,,60632598.0,ns,1298
schedule,legion,,,,65751476.0,ns,1320
schedule,legion,,,,65487091.0,ns,1342
schedule,legion,,,,62293964.0,ns,1364
schedule,legion,,,,65897040.0,ns,1386
schedule,legion,,,,68023352.0,ns,1408
schedule,legion,,,,69018764.0,ns,1430
schedule,legion,,,,70788528.0,ns,1452
schedule,legion,,,,71950260.0,ns,1474
schedule,legion,,,,73602668.0,ns,1496
schedule,legion,,,,72463683.0,ns,1518
schedule,legion,,,,74348398.0,ns,1540
schedule,legion,,,,76777545.0,ns,1562
schedule,legion,,,,74738940.0,ns,1584
schedule,legion,,,,79383874.0,ns,1606
schedule,legion,,,,79803001.0,ns,1628
schedule,legion,,,,78781385.0,ns,1650
schedule,legion,,,,81695978.0,ns,1672
schedule,legion,,,,83647714.0,ns,1694
schedule,legion,,,,82955296.0,ns,1716
schedule,legion,,,,81698885.0,ns,1738
schedule,legion,,,,84542115.0,ns,1760
schedule,legion,,,,85502045.0,ns,1782
schedule,legion,,,,88562797.0,ns,1804
schedule,legion,,,,85027685.0,ns,1826
schedule,legion,,,,89930285.0,ns,1848
schedule,legion,,,,90686826.0,ns,1870
schedule,legion,,,,89275960.0,ns,1892
schedule,legion,,,,92825824.0,ns,1914
schedule,legion,,,,93162256.0,ns,1936
schedule,legion,,,,92765692.0,ns,1958
schedule,legion,,,,95358544.0,ns,1980
schedule,legion,,,,96391549.0,ns,2002
schedule,legion,,,,97181230.0,ns,2024
schedule,legion,,,,98394621.0,ns,2046
schedule,legion,,,,100637667.0,ns,2068
schedule,legion,,,,99965910.0,ns,2090
schedule,legion,,,,99592221.0,ns,2112
schedule,legion,,,,104797000.0,ns,2134
schedule,legion,,,,103072219.0,ns,2156
schedule,legion,,,,103584923.0,ns,2178
schedule,legion,,,,106439604.0,ns,2200
