group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,legion_0.2.4,,,,1064300.0,ns,7
schedule,legion_0.2.4,,,,2233300.0,ns,14
schedule,legion_0.2.4,,,,3225200.0,ns,21
schedule,legion_0.2.4,,,,4311200.0,ns,28
schedule,legion_0.2.4,,,,5398700.0,ns,35
schedule,legion_0.2.4,,,,6438200.0,ns,42
schedule,legion_0.2.4,,,,7735700.0,ns,49
schedule,legion_0.2.4,,,,8614400.0,ns,56
schedule,legion_0.2.4,,,,9644900.0,ns,63
schedule,legion_0.2.4,,,,10626100.0,ns,70
schedule,legion_0.2.4,,,,11866600.0,ns,77
schedule,legion_0.2.4,,,,13165200.0,ns,84
schedule,legion_0.2.4,,,,13846900.0,ns,91
schedule,legion_0.2.4,,,,15140300.0,ns,98
schedule,legion_0.2.4,,,,16358600.0,ns,105
schedule,legion_0.2.4,,,,17313600.0,ns,112
schedule,legion_0.2.4,,,,18374200.0,ns,119
schedule,legion_0.2.4,,,,19159500.0,ns,126
schedule,legion_0.2.4,,,,20597600.0,ns,133
schedule,legion_0.2.4,,,,21192700.0,ns,140
schedule,legion_0.2.4,,,,22565600.0,ns,147
schedule,legion_0.2.4,,,,23844000.0,ns,154
schedule,legion_0.2.4,,,,24880200.0,ns,161
schedule,legion_0.2.4,,,,25964700.0,ns,168
schedule,legion_0.2.4,,,,26268800.0,ns,175
schedule,legion_0.2.4,,,,27580000.0,ns,182
schedule,legion_0.2.4,,,,28703900.0,ns,189
schedule,legion_0.2.4,,,,29695000.0,ns,196
schedule,legion_0.2.4,,,,30500000.0,ns,203
schedule,legion_0.2.4,,,,32379700.0,ns,210
schedule,legion_0.2.4,,,,33536700.0,ns,217
schedule,legion_0.2.4,,,,34484800.0,ns,224
schedule,legion_0.2.4,,,,35415800.0,ns,231
schedule,legion_0.2.4,,,,36499000.0,ns,238
schedule,legion_0.2.4,,,,37776300.0,ns,245
schedule,legion_0.2.4,,,,39032200.0,ns,252
schedule,legion_0.2.4,,,,40004100.0,ns,259
schedule,legion_0.2.4,,,,40823100.0,ns,266
schedule,legion_0.2.4,,,,41813500.0,ns,273
schedule,legion_0.2.4,,,,42725200.0,ns,280
schedule,legion_0.2.4,,,,43501200.0,ns,287
schedule,legion_0.2.4,,,,45091600.0,ns,294
schedule,legion_0.2.4,,,,46114200.0,ns,301
schedule,legion_0.2.4,,,,47396700.0,ns,308
schedule,legion_0.2.4,,,,48599900.0,ns,315
schedule,legion_0.2.4,,,,48736800.0,ns,322
schedule,legion_0.2.4,,,,50218400.0,ns,329
schedule,legion_0.2.4,,,,51273600.0,ns,336
schedule,legion_0.2.4,,,,52457100.0,ns,343
schedule,legion_0.2.4,,,,53880200.0,ns,350
schedule,legion_0.2.4,,,,54918200.0,ns,357
schedule,legion_0.2.4,,,,56134800.0,ns,364
schedule,legion_0.2.4,,,,56693900.0,ns,371
schedule,legion_0.2.4,,,,58069500.0,ns,378
schedule,legion_0.2.4,,,,59259700.0,ns,385
schedule,legion_0.2.4,,,,60360600.0,ns,392
schedule,legion_0.2.4,,,,60547600.0,ns,399
schedule,legion_0.2.4,,,,62834300.0,ns,406
schedule,legion_0.2.4,,,,62963400.0,ns,413
schedule,legion_0.2.4,,,,64525400.0,ns,420
schedule,legion_0.2.4,,,,65558400.0,ns,427
schedule,legion_0.2.4,,,,66947100.0,ns,434
schedule,legion_0.2.4,,,,67476200.0,ns,441
schedule,legion_0.2.4,,,,69012900.0,ns,448
schedule,legion_0.2.4,,,,70289400.0,ns,455
schedule,legion_0.2.4,,,,70822700.0,ns,462
schedule,legion_0.2.4,,,,72636600.0,ns,469
schedule,legion_0.2.4,,,,73457300.0,ns,476
schedule,legion_0.2.4,,,,74924200.0,ns,483
schedule,legion_0.2.4,,,,75706000.0,ns,490
schedule,legion_0.2.4,,,,76044800.0,ns,497
schedule,legion_0.2.4,,,,77073200.0,ns,504
schedule,legion_0.2.4,,,,77835800.0,ns,511
schedule,legion_0.2.4,,,,79495100.0,ns,518
schedule,legion_0.2.4,,,,80503200.0,ns,525
schedule,legion_0.2.4,,,,80936400.0,ns,532
schedule,legion_0.2.4,,,,83222700.0,ns,539
schedule,legion_0.2.4,,,,84190800.0,ns,546
schedule,legion_0.2.4,,,,85430100.0,ns,553
schedule,legion_0.2.4,,,,86198100.0,ns,560
schedule,legion_0.2.4,,,,86944700.0,ns,567
schedule,legion_0.2.4,,,,86561500.0,ns,574
schedule,legion_0.2.4,,,,85628900.0,ns,581
schedule,legion_0.2.4,,,,88843300.0,ns,588
schedule,legion_0.2.4,,,,89100100.0,ns,595
schedule,legion_0.2.4,,,,92028600.0,ns,602
schedule,legion_0.2.4,,,,93408700.0,ns,609
schedule,legion_0.2.4,,,,93235500.0,ns,616
schedule,legion_0.2.4,,,,92188600.0,ns,623
schedule,legion_0.2.4,,,,96489000.0,ns,630
schedule,legion_0.2.4,,,,97658900.0,ns,637
schedule,legion_0.2.4,,,,99087600.0,ns,644
schedule,legion_0.2.4,,,,99492500.0,ns,651
schedule,legion_0.2.4,,,,99988900.0,ns,658
schedule,legion_0.2.4,,,,102097300.0,ns,665
schedule,legion_0.2.4,,,,103631800.0,ns,672
schedule,legion_0.2.4,,,,104354600.0,ns,679
schedule,legion_0.2.4,,,,105281100.0,ns,686
schedule,legion_0.2.4,,,,106545000.0,ns,693
schedule,legion_0.2.4,,,,107782100.0,ns,700
