group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,legion_0.2.4,,,,987700.0,ns,7
schedule,legion_0.2.4,,,,2044900.0,ns,14
schedule,legion_0.2.4,,,,3173700.0,ns,21
schedule,legion_0.2.4,,,,4213700.0,ns,28
schedule,legion_0.2.4,,,,5247600.0,ns,35
schedule,legion_0.2.4,,,,6353200.0,ns,42
schedule,legion_0.2.4,,,,7328300.0,ns,49
schedule,legion_0.2.4,,,,8374600.0,ns,56
schedule,legion_0.2.4,,,,9349200.0,ns,63
schedule,legion_0.2.4,,,,9957400.0,ns,70
schedule,legion_0.2.4,,,,11493100.0,ns,77
schedule,legion_0.2.4,,,,12569000.0,ns,84
schedule,legion_0.2.4,,,,13413100.0,ns,91
schedule,legion_0.2.4,,,,14504200.0,ns,98
schedule,legion_0.2.4,,,,15561900.0,ns,105
schedule,legion_0.2.4,,,,16448600.0,ns,112
schedule,legion_0.2.4,,,,17677400.0,ns,119
schedule,legion_0.2.4,,,,18673200.0,ns,126
schedule,legion_0.2.4,,,,19700300.0,ns,133
schedule,legion_0.2.4,,,,20773300.0,ns,140
schedule,legion_0.2.4,,,,21810700.0,ns,147
schedule,legion_0.2.4,,,,22553200.0,ns,154
schedule,legion_0.2.4,,,,23728700.0,ns,161
schedule,legion_0.2.4,,,,23933800.0,ns,168
schedule,legion_0.2.4,,,,26112700.0,ns,175
schedule,legion_0.2.4,,,,26329300.0,ns,182
schedule,legion_0.2.4,,,,28098900.0,ns,189
schedule,legion_0.2.4,,,,29361500.0,ns,196
schedule,legion_0.2.4,,,,29986200.0,ns,203
schedule,legion_0.2.4,,,,31534200.0,ns,210
schedule,legion_0.2.4,,,,32165600.0,ns,217
schedule,legion_0.2.4,,,,33336600.0,ns,224
schedule,legion_0.2.4,,,,34598700.0,ns,231
schedule,legion_0.2.4,,,,34944400.0,ns,238
schedule,legion_0.2.4,,,,36473500.0,ns,245
schedule,legion_0.2.4,,,,37457800.0,ns,252
schedule,legion_0.2.4,,,,38420200.0,ns,259
schedule,legion_0.2.4,,,,39401500.0,ns,266
schedule,legion_0.2.4,,,,40713900.0,ns,273
schedule,legion_0.2.4,,,,41759700.0,ns,280
schedule,legion_0.2.4,,,,43065300.0,ns,287
schedule,legion_0.2.4,,,,43751600.0,ns,294
schedule,legion_0.2.4,,,,43592200.0,ns,301
schedule,legion_0.2.4,,,,45712900.0,ns,308
schedule,legion_0.2.4,,,,46792700.0,ns,315
schedule,legion_0.2.4,,,,47550600.0,ns,322
schedule,legion_0.2.4,,,,48779800.0,ns,329
schedule,legion_0.2.4,,,,50002600.0,ns,336
schedule,legion_0.2.4,,,,50532000.0,ns,343
schedule,legion_0.2.4,,,,51100800.0,ns,350
schedule,legion_0.2.4,,,,53249000.0,ns,357
schedule,legion_0.2.4,,,,54179900.0,ns,364
schedule,legion_0.2.4,,,,54533000.0,ns,371
schedule,legion_0.2.4,,,,54481400.0,ns,378
schedule,legion_0.2.4,,,,58137800.0,ns,385
schedule,legion_0.2.4,,,,58932000.0,ns,392
schedule,legion_0.2.4,,,,60415300.0,ns,399
schedule,legion_0.2.4,,,,61597000.0,ns,406
schedule,legion_0.2.4,,,,63037800.0,ns,413
schedule,legion_0.2.4,,,,63502000.0,ns,420
schedule,legion_0.2.4,,,,64437300.0,ns,427
schedule,legion_0.2.4,,,,65316800.0,ns,434
schedule,legion_0.2.4,,,,67007600.0,ns,441
schedule,legion_0.2.4,,,,67863300.0,ns,448
schedule,legion_0.2.4,,,,69043200.0,ns,455
schedule,legion_0.2.4,,,,69613900.0,ns,462
schedule,legion_0.2.4,,,,71480000.0,ns,469
schedule,legion_0.2.4,,,,72301100.0,ns,476
schedule,legion_0.2.4,,,,73591400.0,ns,483
schedule,legion_0.2.4,,,,74742800.0,ns,490
schedule,legion_0.2.4,,,,75963000.0,ns,497
schedule,legion_0.2.4,,,,76805700.0,ns,504
schedule,legion_0.2.4,,,,77857600.0,ns,511
schedule,legion_0.2.4,,,,76631500.0,ns,518
schedule,legion_0.2.4,,,,79241000.0,ns,525
schedule,legion_0.2.4,,,,80357900.0,ns,532
schedule,legion_0.2.4,,,,81522300.0,ns,539
schedule,legion_0.2.4,,,,81816900.0,ns,546
schedule,legion_0.2.4,,,,83421300.0,ns,553
schedule,legion_0.2.4,,,,84772600.0,ns,560
schedule,legion_0.2.4,,,,86847200.0,ns,567
schedule,legion_0.2.4,,,,87334400.0,ns,574
schedule,legion_0.2.4,,,,88087700.0,ns,581
schedule,legion_0.2.4,,,,89102600.0,ns,588
schedule,legion_0.2.4,,,,89990800.0,ns,595
schedule,legion_0.2.4,,,,91713900.0,ns,602
schedule,legion_0.2.4,,,,91570000.0,ns,609
schedule,legion_0.2.4,,,,92869100.0,ns,616
schedule,legion_0.2.4,,,,93700900.0,ns,623
schedule,legion_0.2.4,,,,95591900.0,ns,630
schedule,legion_0.2.4,,,,97347200.0,ns,637
schedule,legion_0.2.4,,,,97768200.0,ns,644
schedule,legion_0.2.4,,,,98939900.0,ns,651
schedule,legion_0.2.4,,,,100256200.0,ns,658
schedule,legion_0.2.4,,,,100685700.0,ns,665
schedule,legion_0.2.4,,,,101541000.0,ns,672
schedule,legion_0.2.4,,,,102393700.0,ns,679
schedule,legion_0.2.4,,,,103492200.0,ns,686
schedule,legion_0.2.4,,,,104796900.0,ns,693
schedule,legion_0.2.4,,,,106157400.0,ns,700
