group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,planck_ecs,,,,1035481.0,ns,2
schedule,planck_ecs,,,,2016092.0,ns,4
schedule,planck_ecs,,,,3012466.0,ns,6
schedule,planck_ecs,,,,4174145.0,ns,8
schedule,planck_ecs,,,,5084391.0,ns,10
schedule,planck_ecs,,,,6161625.0,ns,12
schedule,planck_ecs,,,,6831586.0,ns,14
schedule,planck_ecs,,,,7588651.0,ns,16
schedule,planck_ecs,,,,10639148.0,ns,18
schedule,planck_ecs,,,,10526461.0,ns,20
schedule,planck_ecs,,,,10645982.0,ns,22
schedule,planck_ecs,,,,12287818.0,ns,24
schedule,planck_ecs,,,,12667540.0,ns,26
schedule,planck_ecs,,,,12930495.0,ns,28
schedule,planck_ecs,,,,13941345.0,ns,30
schedule,planck_ecs,,,,15398702.0,ns,32
schedule,planck_ecs,,,,16533737.0,ns,34
schedule,planck_ecs,,,,17563662.0,ns,36
schedule,planck_ecs,,,,18104272.0,ns,38
schedule,planck_ecs,,,,18646839.0,ns,40
schedule,planck_ecs,,,,21324477.0,ns,42
schedule,planck_ecs,,,,21450160.0,ns,44
schedule,planck_ecs,,,,21813450.0,ns,46
schedule,planck_ecs,,,,26338861.0,ns,48
schedule,planck_ecs,,,,23503098.0,ns,50
schedule,planck_ecs,,,,24959551.0,ns,52
schedule,planck_ecs,,,,25483211.0,ns,54
schedule,planck_ecs,,,,26192417.0,ns,56
schedule,planck_ecs,,,,27685335.0,ns,58
schedule,planck_ecs,,,,32686531.0,ns,60
schedule,planck_ecs,,,,34178517.0,ns,62
schedule,planck_ecs,,,,30841143.0,ns,64
schedule,planck_ecs,,,,32438805.0,ns,66
schedule,planck_ecs,,,,33971202.0,ns,68
schedule,planck_ecs,,,,33243911.0,ns,70
schedule,planck_ecs,,,,35969835.0,ns,72
schedule,planck_ecs,,,,33436315.0,ns,74
schedule,planck_ecs,,,,37328753.0,ns,76
schedule,planck_ecs,,,,37409404.0,ns,78
schedule,planck_ecs,,,,38336493.0,ns,80
schedule,planck_ecs,,,,40576815.0,ns,82
schedule,planck_ecs,,,,40670606.0,ns,84
schedule,planck_ecs,,,,41440569.0,ns,86
schedule,planck_ecs,,,,42340642.0,ns,88
schedule,planck_ecs,,,,56706698.0,ns,90
schedule,planck_ecs,,,,54765352.0,ns,92
schedule,planck_ecs,,,,44701800.0,ns,94
schedule,planck_ecs,,,,45525547.0,ns,96
schedule,planck_ecs,,,,49547847.0,ns,98
schedule,planck_ecs,,,,47530897.0,ns,100
schedule,planck_ecs,,,,52410106.0,ns,102
schedule,planck_ecs,,,,55889772.0,ns,104
schedule,planck_ecs,,,,51131100.0,ns,106
schedule,planck_ecs,,,,52136105.0,ns,108
schedule,planck_ecs,,,,52167074.0,ns,110
schedule,planck_ecs,,,,54826504.0,ns,112
schedule,planck_ecs,,,,58876241.0,ns,114
schedule,planck_ecs,,,,58210084.0,ns,116
schedule,planck_ecs,,,,58339616.0,ns,118
schedule,planck_ecs,,,,55546809.0,ns,120
schedule,planck_ecs,,,,58460387.0,ns,122
schedule,planck_ecs,,,,60187178.0,ns,124
schedule,planck_ecs,,,,59154676.0,ns,126
schedule,planck_ecs,,,,62647260.0,ns,128
schedule,planck_ecs,,,,66249004.0,ns,130
schedule,planck_ecs,,,,62201520.0,ns,132
schedule,planck_ecs,,,,62441460.0,ns,134
schedule,planck_ecs,,,,69899419.0,ns,136
schedule,planck_ecs,,,,69815869.0,ns,138
schedule,planck_ecs,,,,67482877.0,ns,140
schedule,planck_ecs,,,,65788543.0,ns,142
schedule,planck_ecs,,,,67968225.0,ns,144
schedule,planck_ecs,,,,72820419.0,ns,146
schedule,planck_ecs,,,,68765951.0,ns,148
schedule,planck_ecs,,,,73254824.0,ns,150
schedule,planck_ecs,,,,87833553.0,ns,152
schedule,planck_ecs,,,,74490610.0,ns,154
schedule,planck_ecs,,,,75585780.0,ns,156
schedule,planck_ecs,,,,79144374.0,ns,158
schedule,planck_ecs,,,,80403750.0,ns,160
schedule,planck_ecs,,,,76821847.0,ns,162
schedule,planck_ecs,,,,81479818.0,ns,164
schedule,planck_ecs,,,,79868667.0,ns,166
schedule,planck_ecs,,,,77523102.0,ns,168
schedule,planck_ecs,,,,81052548.0,ns,170
schedule,planck_ecs,,,,82533531.0,ns,172
schedule,planck_ecs,,,,84323009.0,ns,174
schedule,planck_ecs,,,,83315439.0,ns,176
schedule,planck_ecs,,,,89006489.0,ns,178
schedule,planck_ecs,,,,91125691.0,ns,180
schedule,planck_ecs,,,,88749073.0,ns,182
schedule,planck_ecs,,,,88834832.0,ns,184
schedule,planck_ecs,,,,86616659.0,ns,186
schedule,planck_ecs,,,,87775673.0,ns,188
schedule,planck_ecs,,,,92828449.0,ns,190
schedule,planck_ecs,,,,98802479.0,ns,192
schedule,planck_ecs,,,,113119559.0,ns,194
schedule,planck_ecs,,,,116812824.0,ns,196
schedule,planck_ecs,,,,108001657.0,ns,198
schedule,planck_ecs,,,,105938117.0,ns,200
