group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,planck_ecs,,,,1184300.0,ns,5
schedule,planck_ecs,,,,2316300.0,ns,10
schedule,planck_ecs,,,,3459800.0,ns,15
schedule,planck_ecs,,,,4870700.0,ns,20
schedule,planck_ecs,,,,5886500.0,ns,25
schedule,planck_ecs,,,,7141800.0,ns,30
schedule,planck_ecs,,,,8146900.0,ns,35
schedule,planck_ecs,,,,9477000.0,ns,40
schedule,planck_ecs,,,,10451000.0,ns,45
schedule,planck_ecs,,,,11617400.0,ns,50
schedule,planck_ecs,,,,12816800.0,ns,55
schedule,planck_ecs,,,,14059700.0,ns,60
schedule,planck_ecs,,,,15226200.0,ns,65
schedule,planck_ecs,,,,16320900.0,ns,70
schedule,planck_ecs,,,,17579300.0,ns,75
schedule,planck_ecs,,,,18557600.0,ns,80
schedule,planck_ecs,,,,20954500.0,ns,85
schedule,planck_ecs,,,,21711300.0,ns,90
schedule,planck_ecs,,,,21990800.0,ns,95
schedule,planck_ecs,,,,23512800.0,ns,100
schedule,planck_ecs,,,,24590500.0,ns,105
schedule,planck_ecs,,,,25809600.0,ns,110
schedule,planck_ecs,,,,26733500.0,ns,115
schedule,planck_ecs,,,,27689800.0,ns,120
schedule,planck_ecs,,,,29321100.0,ns,125
schedule,planck_ecs,,,,30158600.0,ns,130
schedule,planck_ecs,,,,31337300.0,ns,135
schedule,planck_ecs,,,,32439100.0,ns,140
schedule,planck_ecs,,,,33735100.0,ns,145
schedule,planck_ecs,,,,34774600.0,ns,150
schedule,planck_ecs,,,,36355600.0,ns,155
schedule,planck_ecs,,,,39328400.0,ns,160
schedule,planck_ecs,,,,38248700.0,ns,165
schedule,planck_ecs,,,,39405800.0,ns,170
schedule,planck_ecs,,,,40519500.0,ns,175
schedule,planck_ecs,,,,41584900.0,ns,180
schedule,planck_ecs,,,,43403500.0,ns,185
schedule,planck_ecs,,,,44307500.0,ns,190
schedule,planck_ecs,,,,45271000.0,ns,195
schedule,planck_ecs,,,,46636600.0,ns,200
schedule,planck_ecs,,,,47864300.0,ns,205
schedule,planck_ecs,,,,48650000.0,ns,210
schedule,planck_ecs,,,,50097500.0,ns,215
schedule,planck_ecs,,,,52546200.0,ns,220
schedule,planck_ecs,,,,52080000.0,ns,225
schedule,planck_ecs,,,,53116900.0,ns,230
schedule,planck_ecs,,,,54259100.0,ns,235
schedule,planck_ecs,,,,56320600.0,ns,240
schedule,planck_ecs,,,,57151500.0,ns,245
schedule,planck_ecs,,,,58946100.0,ns,250
schedule,planck_ecs,,,,58928100.0,ns,255
schedule,planck_ecs,,,,60098800.0,ns,260
schedule,planck_ecs,,,,62313000.0,ns,265
schedule,planck_ecs,,,,63083300.0,ns,270
schedule,planck_ecs,,,,66714100.0,ns,275
schedule,planck_ecs,,,,64965600.0,ns,280
schedule,planck_ecs,,,,66390000.0,ns,285
schedule,planck_ecs,,,,67118600.0,ns,290
schedule,planck_ecs,,,,68797200.0,ns,295
schedule,planck_ecs,,,,70195700.0,ns,300
schedule,planck_ecs,,,,70565300.0,ns,305
schedule,planck_ecs,,,,71820300.0,ns,310
schedule,planck_ecs,,,,74155800.0,ns,315
schedule,planck_ecs,,,,74090200.0,ns,320
schedule,planck_ecs,,,,75258100.0,ns,325
schedule,planck_ecs,,,,76211900.0,ns,330
schedule,planck_ecs,,,,77776400.0,ns,335
schedule,planck_ecs,,,,81340800.0,ns,340
schedule,planck_ecs,,,,80198300.0,ns,345
schedule,planck_ecs,,,,81309400.0,ns,350
schedule,planck_ecs,,,,82096600.0,ns,355
schedule,planck_ecs,,,,83745200.0,ns,360
schedule,planck_ecs,,,,85689400.0,ns,365
schedule,planck_ecs,,,,85622500.0,ns,370
schedule,planck_ecs,,,,86408900.0,ns,375
schedule,planck_ecs,,,,88067100.0,ns,380
schedule,planck_ecs,,,,89232900.0,ns,385
schedule,planck_ecs,,,,90124600.0,ns,390
schedule,planck_ecs,,,,91497700.0,ns,395
schedule,planck_ecs,,,,93129300.0,ns,400
schedule,planck_ecs,,,,96595300.0,ns,405
schedule,planck_ecs,,,,96051500.0,ns,410
schedule,planck_ecs,,,,96118500.0,ns,415
schedule,planck_ecs,,,,97707400.0,ns,420
schedule,planck_ecs,,,,98173700.0,ns,425
schedule,planck_ecs,,,,99453500.0,ns,430
schedule,planck_ecs,,,,101980100.0,ns,435
schedule,planck_ecs,,,,102586500.0,ns,440
schedule,planck_ecs,,,,102911000.0,ns,445
schedule,planck_ecs,,,,104332100.0,ns,450
schedule,planck_ecs,,,,105869000.0,ns,455
schedule,planck_ecs,,,,110243400.0,ns,460
schedule,planck_ecs,,,,107598900.0,ns,465
schedule,planck_ecs,,,,112334800.0,ns,470
schedule,planck_ecs,,,,110123200.0,ns,475
schedule,planck_ecs,,,,111250600.0,ns,480
schedule,planck_ecs,,,,113618100.0,ns,485
schedule,planck_ecs,,,,117661900.0,ns,490
schedule,planck_ecs,,,,116197500.0,ns,495
schedule,planck_ecs,,,,117723000.0,ns,500
