group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,specs,,,,1090200.0,ns,7
schedule,specs,,,,2174000.0,ns,14
schedule,specs,,,,3254800.0,ns,21
schedule,specs,,,,4358800.0,ns,28
schedule,specs,,,,5454000.0,ns,35
schedule,specs,,,,6576800.0,ns,42
schedule,specs,,,,8202100.0,ns,49
schedule,specs,,,,8677100.0,ns,56
schedule,specs,,,,9745500.0,ns,63
schedule,specs,,,,10833000.0,ns,70
schedule,specs,,,,12738700.0,ns,77
schedule,specs,,,,13001200.0,ns,84
schedule,specs,,,,14288400.0,ns,91
schedule,specs,,,,15217800.0,ns,98
schedule,specs,,,,16274600.0,ns,105
schedule,specs,,,,17363700.0,ns,112
schedule,specs,,,,18473400.0,ns,119
schedule,specs,,,,20863300.0,ns,126
schedule,specs,,,,20583000.0,ns,133
schedule,specs,,,,21726400.0,ns,140
schedule,specs,,,,22697300.0,ns,147
schedule,specs,,,,23835000.0,ns,154
schedule,specs,,,,25188700.0,ns,161
schedule,specs,,,,25973900.0,ns,168
schedule,specs,,,,27117200.0,ns,175
schedule,specs,,,,28135600.0,ns,182
schedule,specs,,,,29260600.0,ns,189
schedule,specs,,,,30495500.0,ns,196
schedule,specs,,,,31452400.0,ns,203
schedule,specs,,,,32513700.0,ns,210
schedule,specs,,,,33572500.0,ns,217
schedule,specs,,,,34559700.0,ns,224
schedule,specs,,,,35745900.0,ns,231
schedule,specs,,,,39733200.0,ns,238
schedule,specs,,,,38494200.0,ns,245
schedule,specs,,,,39015500.0,ns,252
schedule,specs,,,,40159500.0,ns,259
schedule,specs,,,,41101500.0,ns,266
schedule,specs,,,,42268700.0,ns,273
schedule,specs,,,,43278100.0,ns,280
schedule,specs,,,,44256000.0,ns,287
schedule,specs,,,,45618900.0,ns,294
schedule,specs,,,,46583300.0,ns,301
schedule,specs,,,,47742800.0,ns,308
schedule,specs,,,,48817400.0,ns,315
schedule,specs,,,,49843000.0,ns,322
schedule,specs,,,,51723900.0,ns,329
schedule,specs,,,,52041000.0,ns,336
schedule,specs,,,,53106300.0,ns,343
schedule,specs,,,,54189500.0,ns,350
schedule,specs,,,,56237900.0,ns,357
schedule,specs,,,,56372900.0,ns,364
schedule,specs,,,,57446400.0,ns,371
schedule,specs,,,,58693900.0,ns,378
schedule,specs,,,,59514800.0,ns,385
schedule,specs,,,,60705700.0,ns,392
schedule,specs,,,,62535200.0,ns,399
schedule,specs,,,,63719600.0,ns,406
schedule,specs,,,,64021700.0,ns,413
schedule,specs,,,,65742100.0,ns,420
schedule,specs,,,,66134500.0,ns,427
schedule,specs,,,,67983000.0,ns,434
schedule,specs,,,,68124600.0,ns,441
schedule,specs,,,,69345700.0,ns,448
schedule,specs,,,,71258500.0,ns,455
schedule,specs,,,,71227100.0,ns,462
schedule,specs,,,,72557300.0,ns,469
schedule,specs,,,,73879600.0,ns,476
schedule,specs,,,,75676200.0,ns,483
schedule,specs,,,,76913500.0,ns,490
schedule,specs,,,,77923300.0,ns,497
schedule,specs,,,,77978700.0,ns,504
schedule,specs,,,,79163300.0,ns,511
schedule,specs,,,,80356600.0,ns,518
schedule,specs,,,,81282900.0,ns,525
schedule,specs,,,,82321700.0,ns,532
schedule,specs,,,,83457500.0,ns,539
schedule,specs,,,,84638300.0,ns,546
schedule,specs,,,,86197200.0,ns,553
schedule,specs,,,,88382400.0,ns,560
schedule,specs,,,,87714100.0,ns,567
schedule,specs,,,,88884200.0,ns,574
schedule,specs,,,,91286100.0,ns,581
schedule,specs,,,,91125800.0,ns,588
schedule,specs,,,,91989600.0,ns,595
schedule,specs,,,,93686700.0,ns,602
schedule,specs,,,,94300900.0,ns,609
schedule,specs,,,,96467300.0,ns,616
schedule,specs,,,,96273700.0,ns,623
schedule,specs,,,,97916300.0,ns,630
schedule,specs,,,,99411100.0,ns,637
schedule,specs,,,,101088300.0,ns,644
schedule,specs,,,,100722200.0,ns,651
schedule,specs,,,,101768200.0,ns,658
schedule,specs,,,,102872500.0,ns,665
schedule,specs,,,,105395700.0,ns,672
schedule,specs,,,,105105600.0,ns,679
schedule,specs,,,,106057700.0,ns,686
schedule,specs,,,,107692200.0,ns,693
schedule,specs,,,,108312500.0,ns,700
