group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,specs,,,,2453965.0,ns,8
schedule,specs,,,,3320467.0,ns,16
schedule,specs,,,,6127685.0,ns,24
schedule,specs,,,,7755186.0,ns,32
schedule,specs,,,,10032092.0,ns,40
schedule,specs,,,,10832997.0,ns,48
schedule,specs,,,,12527946.0,ns,56
schedule,specs,,,,12975690.0,ns,64
schedule,specs,,,,15679220.0,ns,72
schedule,specs,,,,15322491.0,ns,80
schedule,specs,,,,16977074.0,ns,88
schedule,specs,,,,18651113.0,ns,96
schedule,specs,,,,19531962.0,ns,104
schedule,specs,,,,20477703.0,ns,112
schedule,specs,,,,20419392.0,ns,120
schedule,specs,,,,22915346.0,ns,128
schedule,specs,,,,24221986.0,ns,136
schedule,specs,,,,22490786.0,ns,144
schedule,specs,,,,26182731.0,ns,152
schedule,specs,,,,29498528.0,ns,160
schedule,specs,,,,27221300.0,ns,168
schedule,specs,,,,27727484.0,ns,176
schedule,specs,,,,30854882.0,ns,184
schedule,specs,,,,31424888.0,ns,192
schedule,specs,,,,34674690.0,ns,200
schedule,specs,,,,32928413.0,ns,208
schedule,specs,,,,33820442.0,ns,216
schedule,specs,,,,39420701.0,ns,224
schedule,specs,,,,37950239.0,ns,232
schedule,specs,,,,37183951.0,ns,240
schedule,specs,,,,37917116.0,ns,248
schedule,specs,,,,43034345.0,ns,256
schedule,specs,,,,39906115.0,ns,264
schedule,specs,,,,42946667.0,ns,272
schedule,specs,,,,41492328.0,ns,280
schedule,specs,,,,42873208.0,ns,288
schedule,specs,,,,45565456.0,ns,296
schedule,specs,,,,46215756.0,ns,304
schedule,specs,,,,49331633.0,ns,312
schedule,specs,,,,50290739.0,ns,320
schedule,specs,,,,56763710.0,ns,328
schedule,specs,,,,54969583.0,ns,336
schedule,specs,,,,51905807.0,ns,344
schedule,specs,,,,49922167.0,ns,352
schedule,specs,,,,54286592.0,ns,360
schedule,specs,,,,54196370.0,ns,368
schedule,specs,,,,57424288.0,ns,376
schedule,specs,,,,55207455.0,ns,384
schedule,specs,,,,57805766.0,ns,392
schedule,specs,,,,61760260.0,ns,400
schedule,specs,,,,56662559.0,ns,408
schedule,specs,,,,63165309.0,ns,416
schedule,specs,,,,60899952.0,ns,424
schedule,specs,,,,63548376.0,ns,432
schedule,specs,,,,68058980.0,ns,440
schedule,specs,,,,69061430.0,ns,448
schedule,specs,,,,62938496.0,ns,456
schedule,specs,,,,74733777.0,ns,464
schedule,specs,,,,67736084.0,ns,472
schedule,specs,,,,68397353.0,ns,480
schedule,specs,,,,74923178.0,ns,488
schedule,specs,,,,67955012.0,ns,496
schedule,specs,,,,73021604.0,ns,504
schedule,specs,,,,78493740.0,ns,512
schedule,specs,,,,75396710.0,ns,520
schedule,specs,,,,75880350.0,ns,528
schedule,specs,,,,80250216.0,ns,536
schedule,specs,,,,76563583.0,ns,544
schedule,specs,,,,89643811.0,ns,552
schedule,specs,,,,81080818.0,ns,560
schedule,specs,,,,83657598.0,ns,568
schedule,specs,,,,83297000.0,ns,576
schedule,specs,,,,83036904.0,ns,584
schedule,specs,,,,84843426.0,ns,592
schedule,specs,,,,85444532.0,ns,600
schedule,specs,,,,85171352.0,ns,608
schedule,specs,,,,100444729.0,ns,616
schedule,specs,,,,87583006.0,ns,624
schedule,specs,,,,90084210.0,ns,632
schedule,specs,,,,91480720.0,ns,640
schedule,specs,,,,96740319.0,ns,648
schedule,specs,,,,97869081.0,ns,656
schedule,specs,,,,95139451.0,ns,664
schedule,specs,,,,110399283.0,ns,672
schedule,specs,,,,94018144.0,ns,680
schedule,specs,,,,99018050.0,ns,688
schedule,specs,,,,99942570.0,ns,696
schedule,specs,,,,94133395.0,ns,704
schedule,specs,,,,97874412.0,ns,712
schedule,specs,,,,103067614.0,ns,720
schedule,specs,,,,106629682.0,ns,728
schedule,specs,,,,101551117.0,ns,736
schedule,specs,,,,102844600.0,ns,744
schedule,specs,,,,102924512.0,ns,752
schedule,specs,,,,113003926.0,ns,760
schedule,specs,,,,109977290.0,ns,768
schedule,specs,,,,109015014.0,ns,776
schedule,specs,,,,114138486.0,ns,784
schedule,specs,,,,112647236.0,ns,792
schedule,specs,,,,119127000.0,ns,800
