group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_binary,brood,,,,1207300.0,ns,8
serialize_binary,brood,,,,2117300.0,ns,16
serialize_binary,brood,,,,3156700.0,ns,24
serialize_binary,brood,,,,4195000.0,ns,32
serialize_binary,brood,,,,5247300.0,ns,40
serialize_binary,brood,,,,6294400.0,ns,48
serialize_binary,brood,,,,7332300.0,ns,56
serialize_binary,brood,,,,8588500.0,ns,64
serialize_binary,brood,,,,9454100.0,ns,72
serialize_binary,brood,,,,10477600.0,ns,80
serialize_binary,brood,,,,11656100.0,ns,88
serialize_binary,brood,,,,12577900.0,ns,96
serialize_binary,brood,,,,13626700.0,ns,104
serialize_binary,brood,,,,14676200.0,ns,112
serialize_binary,brood,,,,15730500.0,ns,120
serialize_binary,brood,,,,16758200.0,ns,128
serialize_binary,brood,,,,17821600.0,ns,136
serialize_binary,brood,,,,18861000.0,ns,144
serialize_binary,brood,,,,19932800.0,ns,152
serialize_binary,brood,,,,20961400.0,ns,160
serialize_binary,brood,,,,22038300.0,ns,168
serialize_binary,brood,,,,23123000.0,ns,176
serialize_binary,brood,,,,24137500.0,ns,184
serialize_binary,brood,,,,25136800.0,ns,192
serialize_binary,brood,,,,26218100.0,ns,200
serialize_binary,brood,,,,27234100.0,ns,208
serialize_binary,brood,,,,28309300.0,ns,216
serialize_binary,brood,,,,29336800.0,ns,224
serialize_binary,brood,,,,30385700.0,ns,232
serialize_binary,brood,,,,31409700.0,ns,240
serialize_binary,brood,,,,32479600.0,ns,248
serialize_binary,brood,,,,33541200.0,ns,256
serialize_binary,brood,,,,34713300.0,ns,264
serialize_binary,brood,,,,36082100.0,ns,272
serialize_binary,brood,,,,37450900.0,ns,280
serialize_binary,brood,,,,39629800.0,ns,288
serialize_binary,brood,,,,38889600.0,ns,296
serialize_binary,brood,,,,39870800.0,ns,304
serialize_binary,brood,,,,41106000.0,ns,312
serialize_binary,brood,,,,42068700.0,ns,320
serialize_binary,brood,,,,43367600.0,ns,328
serialize_binary,brood,,,,44015100.0,ns,336
serialize_binary,brood,,,,45046900.0,ns,344
serialize_binary,brood,,,,46096300.0,ns,352
serialize_binary,brood,,,,47145800.0,ns,360
serialize_binary,brood,,,,48219200.0,ns,368
serialize_binary,brood,,,,49275500.0,ns,376
serialize_binary,brood,,,,50304200.0,ns,384
serialize_binary,brood,,,,51345200.0,ns,392
serialize_binary,brood,,,,52380100.0,ns,400
serialize_binary,brood,,,,53487900.0,ns,408
serialize_binary,brood,,,,54544000.0,ns,416
serialize_binary,brood,,,,55539800.0,ns,424
serialize_binary,brood,,,,56584400.0,ns,432
serialize_binary,brood,,,,57640200.0,ns,440
serialize_binary,brood,,,,58682600.0,ns,448
serialize_binary,brood,,,,59763200.0,ns,456
serialize_binary,brood,,,,60788300.0,ns,464
serialize_binary,brood,,,,61861000.0,ns,472
serialize_binary,brood,,,,62983500.0,ns,480
serialize_binary,brood,,,,63987000.0,ns,488
serialize_binary,brood,,,,64965100.0,ns,496
serialize_binary,brood,,,,66042600.0,ns,504
serialize_binary,brood,,,,67088800.0,ns,512
serialize_binary,brood,,,,68156800.0,ns,520
serialize_binary,brood,,,,69166800.0,ns,528
serialize_binary,brood,,,,70240700.0,ns,536
serialize_binary,brood,,,,71296400.0,ns,544
serialize_binary,brood,,,,72324000.0,ns,552
serialize_binary,brood,,,,73327600.0,ns,560
serialize_binary,brood,,,,74425800.0,ns,568
serialize_binary,brood,,,,75559200.0,ns,576
serialize_binary,brood,,,,76509800.0,ns,584
serialize_binary,brood,,,,77560500.0,ns,592
serialize_binary,brood,,,,78632200.0,ns,600
serialize_binary,brood,,,,79783100.0,ns,608
serialize_binary,brood,,,,80765300.0,ns,616
serialize_binary,brood,,,,81761600.0,ns,624
serialize_binary,brood,,,,82825200.0,ns,632
serialize_binary,brood,,,,83936200.0,ns,640
serialize_binary,brood,,,,85019900.0,ns,648
serialize_binary,brood,,,,86046700.0,ns,656
serialize_binary,brood,,,,87014500.0,ns,664
serialize_binary,brood,,,,88096000.0,ns,672
serialize_binary,brood,,,,89169900.0,ns,680
serialize_binary,brood,,,,90147100.0,ns,688
serialize_binary,brood,,,,91208500.0,ns,696
serialize_binary,brood,,,,92212400.0,ns,704
serialize_binary,brood,,,,93288800.0,ns,712
serialize_binary,brood,,,,94369000.0,ns,720
serialize_binary,brood,,,,95358100.0,ns,728
serialize_binary,brood,,,,96428000.0,ns,736
serialize_binary,brood,,,,97443600.0,ns,744
serialize_binary,brood,,,,98613300.0,ns,752
serialize_binary,brood,,,,99549100.0,ns,760
serialize_binary,brood,,,,100809900.0,ns,768
serialize_binary,brood,,,,101775100.0,ns,776
serialize_binary,brood,,,,102745700.0,ns,784
serialize_binary,brood,,,,103820700.0,ns,792
serialize_binary,brood,,,,104839100.0,ns,800
