group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_binary,hecs,,,,1138168.0,ns,7
serialize_binary,hecs,,,,2260837.0,ns,14
serialize_binary,hecs,,,,3383896.0,ns,21
serialize_binary,hecs,,,,4516494.0,ns,28
serialize_binary,hecs,,,,5711780.0,ns,35
serialize_binary,hecs,,,,6757744.0,ns,42
serialize_binary,hecs,,,,7971466.0,ns,49
serialize_binary,hecs,,,,9046294.0,ns,56
serialize_binary,hecs,,,,10503328.0,ns,63
serialize_binary,hecs,,,,11387993.0,ns,70
serialize_binary,hecs,,,,12438114.0,ns,77
serialize_binary,hecs,,,,13681344.0,ns,84
serialize_binary,hecs,,,,14760688.0,ns,91
serialize_binary,hecs,,,,15971536.0,ns,98
serialize_binary,hecs,,,,17073565.0,ns,105
serialize_binary,hecs,,,,18306133.0,ns,112
serialize_binary,hecs,,,,19328711.0,ns,119
serialize_binary,hecs,,,,20612516.0,ns,126
serialize_binary,hecs,,,,21691221.0,ns,133
serialize_binary,hecs,,,,22761100.0,ns,140
serialize_binary,hecs,,,,24068271.0,ns,147
serialize_binary,hecs,,,,25129631.0,ns,154
serialize_binary,hecs,,,,26079721.0,ns,161
serialize_binary,hecs,,,,27181841.0,ns,168
serialize_binary,hecs,,,,28506424.0,ns,175
serialize_binary,hecs,,,,29605508.0,ns,182
serialize_binary,hecs,,,,30552052.0,ns,189
serialize_binary,hecs,,,,31938953.0,ns,196
serialize_binary,hecs,,,,32886258.0,ns,203
serialize_binary,hecs,,,,33962177.0,ns,210
serialize_binary,hecs,,,,35211538.0,ns,217
serialize_binary,hecs,,,,36412055.0,ns,224
serialize_binary,hecs,,,,37438580.0,ns,231
serialize_binary,hecs,,,,38918339.0,ns,238
serialize_binary,hecs,,,,39666735.0,ns,245
serialize_binary,hecs,,,,40905915.0,ns,252
serialize_binary,hecs,,,,42111040.0,ns,259
serialize_binary,hecs,,,,43022968.0,ns,266
serialize_binary,hecs,,,,44323116.0,ns,273
serialize_binary,hecs,,,,46028784.0,ns,280
serialize_binary,hecs,,,,47076941.0,ns,287
serialize_binary,hecs,,,,48135307.0,ns,294
serialize_binary,hecs,,,,49125974.0,ns,301
serialize_binary,hecs,,,,50175093.0,ns,308
serialize_binary,hecs,,,,51428450.0,ns,315
serialize_binary,hecs,,,,52931074.0,ns,322
serialize_binary,hecs,,,,54088768.0,ns,329
serialize_binary,hecs,,,,54838687.0,ns,336
serialize_binary,hecs,,,,55657877.0,ns,343
serialize_binary,hecs,,,,56869296.0,ns,350
serialize_binary,hecs,,,,57984510.0,ns,357
serialize_binary,hecs,,,,58967833.0,ns,364
serialize_binary,hecs,,,,60403217.0,ns,371
serialize_binary,hecs,,,,61474298.0,ns,378
serialize_binary,hecs,,,,62447592.0,ns,385
serialize_binary,hecs,,,,63624895.0,ns,392
serialize_binary,hecs,,,,65083993.0,ns,399
serialize_binary,hecs,,,,65715819.0,ns,406
serialize_binary,hecs,,,,67745353.0,ns,413
serialize_binary,hecs,,,,67917592.0,ns,420
serialize_binary,hecs,,,,68975548.0,ns,427
serialize_binary,hecs,,,,70389821.0,ns,434
serialize_binary,hecs,,,,71891012.0,ns,441
serialize_binary,hecs,,,,72530960.0,ns,448
serialize_binary,hecs,,,,73888535.0,ns,455
serialize_binary,hecs,,,,74806074.0,ns,462
serialize_binary,hecs,,,,75899309.0,ns,469
serialize_binary,hecs,,,,77006516.0,ns,476
serialize_binary,hecs,,,,77925006.0,ns,483
serialize_binary,hecs,,,,79272432.0,ns,490
serialize_binary,hecs,,,,80369823.0,ns,497
serialize_binary,hecs,,,,82609590.0,ns,504
serialize_binary,hecs,,,,83670902.0,ns,511
serialize_binary,hecs,,,,83960203.0,ns,518
serialize_binary,hecs,,,,86924008.0,ns,525
serialize_binary,hecs,,,,86239995.0,ns,532
serialize_binary,hecs,,,,87160469.0,ns,539
serialize_binary,hecs,,,,88660597.0,ns,546
serialize_binary,hecs,,,,90180263.0,ns,553
serialize_binary,hecs,,,,91469727.0,ns,560
serialize_binary,hecs,,,,91819385.0,ns,567
serialize_binary,hecs,,,,92889243.0,ns,574
serialize_binary,hecs,,,,94863243.0,ns,581
serialize_binary,hecs,,,,95993356.0,ns,588
serialize_binary,hecs,,,,96274452.0,ns,595
serialize_binary,hecs,,,,99299754.0,ns,602
serialize_binary,hecs,,,,98619228.0,ns,609
serialize_binary,hecs,,,,99860272.0,ns,616
serialize_binary,hecs,,,,100926874.0,ns,623
serialize_binary,hecs,,,,102227733.0,ns,630
serialize_binary,hecs,,,,103547216.0,ns,637
serialize_binary,hecs,,,,103919164.0,ns,644
serialize_binary,hecs,,,,105513661.0,ns,651
serialize_binary,hecs,,,,106876327.0,ns,658
serialize_binary,hecs,,,,107713834.0,ns,665
serialize_binary,hecs,,,,109017015.0,ns,672
serialize_binary,hecs,,,,109871043.0,ns,679
serialize_binary,hecs,,,,111393593.0,ns,686
serialize_binary,hecs,,,,112304127.0,ns,693
serialize_binary,hecs,,,,113594515.0,ns,700
