group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_binary,hecs,,,,1372811.0,ns,7
serialize_binary,hecs,,,,3402352.0,ns,14
serialize_binary,hecs,,,,3948338.0,ns,21
serialize_binary,hecs,,,,5326194.0,ns,28
serialize_binary,hecs,,,,6142874.0,ns,35
serialize_binary,hecs,,,,7047383.0,ns,42
serialize_binary,hecs,,,,7713984.0,ns,49
serialize_binary,hecs,,,,10936092.0,ns,56
serialize_binary,hecs,,,,10426918.0,ns,63
serialize_binary,hecs,,,,10989816.0,ns,70
serialize_binary,hecs,,,,14457014.0,ns,77
serialize_binary,hecs,,,,13460201.0,ns,84
serialize_binary,hecs,,,,17099512.0,ns,91
serialize_binary,hecs,,,,16562885.0,ns,98
serialize_binary,hecs,,,,17053104.0,ns,105
serialize_binary,hecs,,,,18882210.0,ns,112
serialize_binary,hecs,,,,18496052.0,ns,119
serialize_binary,hecs,,,,21154305.0,ns,126
serialize_binary,hecs,,,,24690921.0,ns,133
serialize_binary,hecs,,,,23034869.0,ns,140
serialize_binary,hecs,,,,24398430.0,ns,147
serialize_binary,hecs,,,,23933448.0,ns,154
serialize_binary,hecs,,,,24806175.0,ns,161
serialize_binary,hecs,,,,25599614.0,ns,168
serialize_binary,hecs,,,,28437750.0,ns,175
serialize_binary,hecs,,,,29120380.0,ns,182
serialize_binary,hecs,,,,30845052.0,ns,189
serialize_binary,hecs,,,,30351110.0,ns,196
serialize_binary,hecs,,,,32144637.0,ns,203
serialize_binary,hecs,,,,34813214.0,ns,210
serialize_binary,hecs,,,,35012663.0,ns,217
serialize_binary,hecs,,,,34597514.0,ns,224
serialize_binary,hecs,,,,37582744.0,ns,231
serialize_binary,hecs,,,,37975404.0,ns,238
serialize_binary,hecs,,,,37902230.0,ns,245
serialize_binary,hecs,,,,38500403.0,ns,252
serialize_binary,hecs,,,,39987221.0,ns,259
serialize_binary,hecs,,,,40974272.0,ns,266
serialize_binary,hecs,,,,44631662.0,ns,273
serialize_binary,hecs,,,,43905570.0,ns,280
serialize_binary,hecs,,,,44309315.0,ns,287
serialize_binary,hecs,,,,48749156.0,ns,294
serialize_binary,hecs,,,,47471520.0,ns,301
serialize_binary,hecs,,,,49980115.0,ns,308
serialize_binary,hecs,,,,55465068.0,ns,315
serialize_binary,hecs,,,,51589499.0,ns,322
serialize_binary,hecs,,,,58713650.0,ns,329
serialize_binary,hecs,,,,61084599.0,ns,336
serialize_binary,hecs,,,,54598907.0,ns,343
serialize_binary,hecs,,,,54878174.0,ns,350
serialize_binary,hecs,,,,54423821.0,ns,357
serialize_binary,hecs,,,,58126292.0,ns,364
serialize_binary,hecs,,,,59122014.0,ns,371
serialize_binary,hecs,,,,58813774.0,ns,378
serialize_binary,hecs,,,,60996966.0,ns,385
serialize_binary,hecs,,,,60934636.0,ns,392
serialize_binary,hecs,,,,64830718.0,ns,399
serialize_binary,hecs,,,,63710389.0,ns,406
serialize_binary,hecs,,,,64014843.0,ns,413
serialize_binary,hecs,,,,67754825.0,ns,420
serialize_binary,hecs,,,,69436591.0,ns,427
serialize_binary,hecs,,,,67251391.0,ns,434
serialize_binary,hecs,,,,68521330.0,ns,441
serialize_binary,hecs,,,,70695744.0,ns,448
serialize_binary,hecs,,,,73691468.0,ns,455
serialize_binary,hecs,,,,72061487.0,ns,462
serialize_binary,hecs,,,,75137956.0,ns,469
serialize_binary,hecs,,,,76729303.0,ns,476
serialize_binary,hecs,,,,75888081.0,ns,483
serialize_binary,hecs,,,,76620669.0,ns,490
serialize_binary,hecs,,,,76801811.0,ns,497
serialize_binary,hecs,,,,77939174.0,ns,504
serialize_binary,hecs,,,,82826874.0,ns,511
serialize_binary,hecs,,,,80467074.0,ns,518
serialize_binary,hecs,,,,84004054.0,ns,525
serialize_binary,hecs,,,,82575692.0,ns,532
serialize_binary,hecs,,,,87908768.0,ns,539
serialize_binary,hecs,,,,86566040.0,ns,546
serialize_binary,hecs,,,,88412829.0,ns,553
serialize_binary,hecs,,,,89675741.0,ns,560
serialize_binary,hecs,,,,89713717.0,ns,567
serialize_binary,hecs,,,,89936801.0,ns,574
serialize_binary,hecs,,,,90918653.0,ns,581
serialize_binary,hecs,,,,90976543.0,ns,588
serialize_binary,hecs,,,,95313081.0,ns,595
serialize_binary,hecs,,,,96170428.0,ns,602
serialize_binary,hecs,,,,93992149.0,ns,609
serialize_binary,hecs,,,,97804964.0,ns,616
serialize_binary,hecs,,,,103122918.0,ns,623
serialize_binary,hecs,,,,101719718.0,ns,630
serialize_binary,hecs,,,,104208313.0,ns,637
serialize_binary,hecs,,,,100521387.0,ns,644
serialize_binary,hecs,,,,106183186.0,ns,651
serialize_binary,hecs,,,,105648392.0,ns,658
serialize_binary,hecs,,,,110021341.0,ns,665
serialize_binary,hecs,,,,105169466.0,ns,672
serialize_binary,hecs,,,,106095708.0,ns,679
serialize_binary,hecs,,,,108843890.0,ns,686
serialize_binary,hecs,,,,108616549.0,ns,693
serialize_binary,hecs,,,,114966228.0,ns,700
