group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_binary,legion,,,,50142100.0,ns,8
serialize_binary,legion,,,,49774700.0,ns,8
serialize_binary,legion,,,,49739800.0,ns,8
serialize_binary,legion,,,,50471200.0,ns,8
serialize_binary,legion,,,,50183300.0,ns,8
serialize_binary,legion,,,,54292600.0,ns,8
serialize_binary,legion,,,,65655900.0,ns,8
serialize_binary,legion,,,,66318800.0,ns,8
serialize_binary,legion,,,,66830300.0,ns,8
serialize_binary,legion,,,,66517600.0,ns,8
serialize_binary,legion,,,,56767100.0,ns,8
serialize_binary,legion,,,,51142700.0,ns,8
serialize_binary,legion,,,,50977000.0,ns,8
serialize_binary,legion,,,,50726300.0,ns,8
serialize_binary,legion,,,,52748900.0,ns,8
serialize_binary,legion,,,,54661200.0,ns,8
serialize_binary,legion,,,,50042900.0,ns,8
serialize_binary,legion,,,,50209600.0,ns,8
serialize_binary,legion,,,,50252900.0,ns,8
serialize_binary,legion,,,,50344700.0,ns,8
serialize_binary,legion,,,,53116300.0,ns,8
serialize_binary,legion,,,,50059200.0,ns,8
serialize_binary,legion,,,,51542500.0,ns,8
serialize_binary,legion,,,,50384700.0,ns,8
serialize_binary,legion,,,,50050600.0,ns,8
serialize_binary,legion,,,,50138000.0,ns,8
serialize_binary,legion,,,,49733100.0,ns,8
serialize_binary,legion,,,,49638000.0,ns,8
serialize_binary,legion,,,,49897400.0,ns,8
serialize_binary,legion,,,,53694900.0,ns,8
serialize_binary,legion,,,,50185500.0,ns,8
serialize_binary,legion,,,,53688400.0,ns,8
serialize_binary,legion,,,,51397000.0,ns,8
serialize_binary,legion,,,,50548400.0,ns,8
serialize_binary,legion,,,,58726800.0,ns,8
serialize_binary,legion,,,,50604200.0,ns,8
serialize_binary,legion,,,,50894100.0,ns,8
serialize_binary,legion,,,,52034100.0,ns,8
serialize_binary,legion,,,,50373800.0,ns,8
serialize_binary,legion,,,,50628900.0,ns,8
serialize_binary,legion,,,,50461400.0,ns,8
serialize_binary,legion,,,,51294900.0,ns,8
serialize_binary,legion,,,,50875900.0,ns,8
serialize_binary,legion,,,,49914500.0,ns,8
serialize_binary,legion,,,,50033800.0,ns,8
serialize_binary,legion,,,,50497100.0,ns,8
serialize_binary,legion,,,,49954600.0,ns,8
serialize_binary,legion,,,,49827300.0,ns,8
serialize_binary,legion,,,,55998200.0,ns,8
serialize_binary,legion,,,,49717200.0,ns,8
serialize_binary,legion,,,,50187300.0,ns,8
serialize_binary,legion,,,,49654600.0,ns,8
serialize_binary,legion,,,,49640100.0,ns,8
serialize_binary,legion,,,,49510100.0,ns,8
serialize_binary,legion,,,,54884600.0,ns,8
serialize_binary,legion,,,,49382800.0,ns,8
serialize_binary,legion,,,,49556000.0,ns,8
serialize_binary,legion,,,,55599900.0,ns,8
serialize_binary,legion,,,,49682900.0,ns,8
serialize_binary,legion,,,,49840000.0,ns,8
serialize_binary,legion,,,,49581000.0,ns,8
serialize_binary,legion,,,,50515300.0,ns,8
serialize_binary,legion,,,,49980900.0,ns,8
serialize_binary,legion,,,,49612700.0,ns,8
serialize_binary,legion,,,,49606800.0,ns,8
serialize_binary,legion,,,,49654500.0,ns,8
serialize_binary,legion,,,,49882200.0,ns,8
serialize_binary,legion,,,,49559300.0,ns,8
serialize_binary,legion,,,,51640600.0,ns,8
serialize_binary,legion,,,,51477900.0,ns,8
serialize_binary,legion,,,,51813600.0,ns,8
serialize_binary,legion,,,,51508300.0,ns,8
serialize_binary,legion,,,,49512700.0,ns,8
serialize_binary,legion,,,,49555500.0,ns,8
serialize_binary,legion,,,,49872700.0,ns,8
serialize_binary,legion,,,,49626900.0,ns,8
serialize_binary,legion,,,,55678900.0,ns,8
serialize_binary,legion,,,,49680500.0,ns,8
serialize_binary,legion,,,,49840000.0,ns,8
serialize_binary,legion,,,,49860400.0,ns,8
serialize_binary,legion,,,,49758900.0,ns,8
serialize_binary,legion,,,,50848700.0,ns,8
serialize_binary,legion,,,,50041000.0,ns,8
serialize_binary,legion,,,,50048300.0,ns,8
serialize_binary,legion,,,,49736200.0,ns,8
serialize_binary,legion,,,,49427300.0,ns,8
serialize_binary,legion,,,,49594100.0,ns,8
serialize_binary,legion,,,,49875300.0,ns,8
serialize_binary,legion,,,,51095100.0,ns,8
serialize_binary,legion,,,,49615900.0,ns,8
serialize_binary,legion,,,,49528900.0,ns,8
serialize_binary,legion,,,,49669400.0,ns,8
serialize_binary,legion,,,,49764400.0,ns,8
serialize_binary,legion,,,,49715500.0,ns,8
serialize_binary,legion,,,,49324900.0,ns,8
serialize_binary,legion,,,,49216400.0,ns,8
serialize_binary,legion,,,,49281600.0,ns,8
serialize_binary,legion,,,,49249900.0,ns,8
serialize_binary,legion,,,,49071700.0,ns,8
serialize_binary,legion,,,,49102800.0,ns,8
