group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_binary,legion,,,,53412583.0,ns,23
serialize_binary,legion,,,,52322907.0,ns,23
serialize_binary,legion,,,,52235321.0,ns,23
serialize_binary,legion,,,,52511230.0,ns,23
serialize_binary,legion,,,,54524977.0,ns,23
serialize_binary,legion,,,,52962103.0,ns,23
serialize_binary,legion,,,,52928309.0,ns,23
serialize_binary,legion,,,,52487817.0,ns,23
serialize_binary,legion,,,,52320138.0,ns,23
serialize_binary,legion,,,,52525779.0,ns,23
serialize_binary,legion,,,,52821664.0,ns,23
serialize_binary,legion,,,,52261883.0,ns,23
serialize_binary,legion,,,,52463003.0,ns,23
serialize_binary,legion,,,,52483757.0,ns,23
serialize_binary,legion,,,,52699804.0,ns,23
serialize_binary,legion,,,,53501212.0,ns,23
serialize_binary,legion,,,,52556540.0,ns,23
serialize_binary,legion,,,,52413245.0,ns,23
serialize_binary,legion,,,,52523678.0,ns,23
serialize_binary,legion,,,,52274013.0,ns,23
serialize_binary,legion,,,,51584906.0,ns,23
serialize_binary,legion,,,,51941576.0,ns,23
serialize_binary,legion,,,,51973924.0,ns,23
serialize_binary,legion,,,,54193447.0,ns,23
serialize_binary,legion,,,,52268680.0,ns,23
serialize_binary,legion,,,,51825450.0,ns,23
serialize_binary,legion,,,,52388738.0,ns,23
serialize_binary,legion,,,,51591368.0,ns,23
serialize_binary,legion,,,,51878500.0,ns,23
serialize_binary,legion,,,,52384756.0,ns,23
serialize_binary,legion,,,,52118249.0,ns,23
serialize_binary,legion,,,,52340516.0,ns,23
serialize_binary,legion,,,,52744252.0,ns,23
serialize_binary,legion,,,,53133218.0,ns,23
serialize_binary,legion,,,,53620985.0,ns,23
serialize_binary,legion,,,,52786589.0,ns,23
serialize_binary,legion,,,,52405100.0,ns,23
serialize_binary,legion,,,,53205826.0,ns,23
serialize_binary,legion,,,,53292313.0,ns,23
serialize_binary,legion,,,,52794835.0,ns,23
serialize_binary,legion,,,,52816342.0,ns,23
serialize_binary,legion,,,,53734587.0,ns,23
serialize_binary,legion,,,,54835557.0,ns,23
serialize_binary,legion,,,,53654917.0,ns,23
serialize_binary,legion,,,,53432681.0,ns,23
serialize_binary,legion,,,,52752986.0,ns,23
serialize_binary,legion,,,,52867370.0,ns,23
serialize_binary,legion,,,,52981781.0,ns,23
serialize_binary,legion,,,,54206644.0,ns,23
serialize_binary,legion,,,,52294301.0,ns,23
serialize_binary,legion,,,,52566112.0,ns,23
serialize_binary,legion,,,,53437583.0,ns,23
serialize_binary,legion,,,,53388934.0,ns,23
serialize_binary,legion,,,,53929784.0,ns,23
serialize_binary,legion,,,,52939368.0,ns,23
serialize_binary,legion,,,,54237180.0,ns,23
serialize_binary,legion,,,,53004120.0,ns,23
serialize_binary,legion,,,,55200918.0,ns,23
serialize_binary,legion,,,,57478143.0,ns,23
serialize_binary,legion,,,,52564765.0,ns,23
serialize_binary,legion,,,,53086905.0,ns,23
serialize_binary,legion,,,,55373544.0,ns,23
serialize_binary,legion,,,,53740907.0,ns,23
serialize_binary,legion,,,,53217225.0,ns,23
serialize_binary,legion,,,,53023337.0,ns,23
serialize_binary,legion,,,,55046544.0,ns,23
serialize_binary,legion,,,,52672725.0,ns,23
serialize_binary,legion,,,,53107327.0,ns,23
serialize_binary,legion,,,,53008330.0,ns,23
serialize_binary,legion,,,,53360094.0,ns,23
serialize_binary,legion,,,,52588027.0,ns,23
serialize_binary,legion,,,,52936150.0,ns,23
serialize_binary,legion,,,,52148270.0,ns,23
serialize_binary,legion,,,,53198617.0,ns,23
serialize_binary,legion,,,,52586221.0,ns,23
serialize_binary,legion,,,,52216013.0,ns,23
serialize_binary,legion,,,,53493483.0,ns,23
serialize_binary,legion,,,,53170563.0,ns,23
serialize_binary,legion,,,,52392840.0,ns,23
serialize_binary,legion,,,,54437902.0,ns,23
serialize_binary,legion,,,,53384902.0,ns,23
serialize_binary,legion,,,,52810598.0,ns,23
serialize_binary,legion,,,,52751105.0,ns,23
serialize_binary,legion,,,,53781572.0,ns,23
serialize_binary,legion,,,,53387445.0,ns,23
serialize_binary,legion,,,,52170554.0,ns,23
serialize_binary,legion,,,,52757112.0,ns,23
serialize_binary,legion,,,,53923150.0,ns,23
serialize_binary,legion,,,,53451088.0,ns,23
serialize_binary,legion,,,,52876531.0,ns,23
serialize_binary,legion,,,,53984042.0,ns,23
serialize_binary,legion,,,,53605330.0,ns,23
serialize_binary,legion,,,,56065390.0,ns,23
serialize_binary,legion,,,,57115376.0,ns,23
serialize_binary,legion,,,,53584645.0,ns,23
serialize_binary,legion,,,,53048790.0,ns,23
serialize_binary,legion,,,,53399755.0,ns,23
serialize_binary,legion,,,,53916101.0,ns,23
serialize_binary,legion,,,,54394012.0,ns,23
serialize_binary,legion,,,,52957496.0,ns,23
