group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_text,brood,,,,51695400.0,ns,17
serialize_text,brood,,,,52188600.0,ns,17
serialize_text,brood,,,,51986400.0,ns,17
serialize_text,brood,,,,52542600.0,ns,17
serialize_text,brood,,,,52592300.0,ns,17
serialize_text,brood,,,,52274900.0,ns,17
serialize_text,brood,,,,52326600.0,ns,17
serialize_text,brood,,,,52364000.0,ns,17
serialize_text,brood,,,,52743800.0,ns,17
serialize_text,brood,,,,52801500.0,ns,17
serialize_text,brood,,,,52168600.0,ns,17
serialize_text,brood,,,,52199800.0,ns,17
serialize_text,brood,,,,52617400.0,ns,17
serialize_text,brood,,,,51730400.0,ns,17
serialize_text,brood,,,,52119800.0,ns,17
serialize_text,brood,,,,52426800.0,ns,17
serialize_text,brood,,,,52502500.0,ns,17
serialize_text,brood,,,,52592200.0,ns,17
serialize_text,brood,,,,52005600.0,ns,17
serialize_text,brood,,,,51672700.0,ns,17
serialize_text,brood,,,,52164500.0,ns,17
serialize_text,brood,,,,52681700.0,ns,17
serialize_text,brood,,,,51896100.0,ns,17
serialize_text,brood,,,,52569700.0,ns,17
serialize_text,brood,,,,52566900.0,ns,17
serialize_text,brood,,,,52184900.0,ns,17
serialize_text,brood,,,,52401400.0,ns,17
serialize_text,brood,,,,51422100.0,ns,17
serialize_text,brood,,,,52192800.0,ns,17
serialize_text,brood,,,,52254700.0,ns,17
serialize_text,brood,,,,52348200.0,ns,17
serialize_text,brood,,,,51929700.0,ns,17
serialize_text,brood,,,,52392600.0,ns,17
serialize_text,brood,,,,52188900.0,ns,17
serialize_text,brood,,,,52494300.0,ns,17
serialize_text,brood,,,,51938800.0,ns,17
serialize_text,brood,,,,52251300.0,ns,17
serialize_text,brood,,,,52066500.0,ns,17
serialize_text,brood,,,,51981500.0,ns,17
serialize_text,brood,,,,52323000.0,ns,17
serialize_text,brood,,,,52657900.0,ns,17
serialize_text,brood,,,,51919100.0,ns,17
serialize_text,brood,,,,52108300.0,ns,17
serialize_text,brood,,,,52526000.0,ns,17
serialize_text,brood,,,,52712500.0,ns,17
serialize_text,brood,,,,52428300.0,ns,17
serialize_text,brood,,,,52311300.0,ns,17
serialize_text,brood,,,,52444500.0,ns,17
serialize_text,brood,,,,52194000.0,ns,17
serialize_text,brood,,,,52343200.0,ns,17
serialize_text,brood,,,,52160700.0,ns,17
serialize_text,brood,,,,51862600.0,ns,17
serialize_text,brood,,,,52147500.0,ns,17
serialize_text,brood,,,,51564400.0,ns,17
serialize_text,brood,,,,52624200.0,ns,17
serialize_text,brood,,,,52816800.0,ns,17
serialize_text,brood,,,,52721300.0,ns,17
serialize_text,brood,,,,52440100.0,ns,17
serialize_text,brood,,,,52448900.0,ns,17
serialize_text,brood,,,,52370000.0,ns,17
serialize_text,brood,,,,52203700.0,ns,17
serialize_text,brood,,,,52086000.0,ns,17
serialize_text,brood,,,,52424500.0,ns,17
serialize_text,brood,,,,52525700.0,ns,17
serialize_text,brood,,,,52434200.0,ns,17
serialize_text,brood,,,,52398700.0,ns,17
serialize_text,brood,,,,52507700.0,ns,17
serialize_text,brood,,,,52951100.0,ns,17
serialize_text,brood,,,,52488100.0,ns,17
serialize_text,brood,,,,52723500.0,ns,17
serialize_text,brood,,,,52252400.0,ns,17
serialize_text,brood,,,,52203400.0,ns,17
serialize_text,brood,,,,52172000.0,ns,17
serialize_text,brood,,,,52112600.0,ns,17
serialize_text,brood,,,,52680500.0,ns,17
serialize_text,brood,,,,52526800.0,ns,17
serialize_text,brood,,,,52812400.0,ns,17
serialize_text,brood,,,,52668600.0,ns,17
serialize_text,brood,,,,52607200.0,ns,17
serialize_text,brood,,,,52751400.0,ns,17
serialize_text,brood,,,,52334600.0,ns,17
serialize_text,brood,,,,52081800.0,ns,17
serialize_text,brood,,,,52399700.0,ns,17
serialize_text,brood,,,,52500000.0,ns,17
serialize_text,brood,,,,52449700.0,ns,17
serialize_text,brood,,,,52648500.0,ns,17
serialize_text,brood,,,,52856700.0,ns,17
serialize_text,brood,,,,52453100.0,ns,17
serialize_text,brood,,,,52222900.0,ns,17
serialize_text,brood,,,,51897700.0,ns,17
serialize_text,brood,,,,52607600.0,ns,17
serialize_text,brood,,,,52378200.0,ns,17
serialize_text,brood,,,,52583900.0,ns,17
serialize_text,brood,,,,52600900.0,ns,17
serialize_text,brood,,,,52258700.0,ns,17
serialize_text,brood,,,,52357100.0,ns,17
serialize_text,brood,,,,51977000.0,ns,17
serialize_text,brood,,,,52729700.0,ns,17
serialize_text,brood,,,,53084500.0,ns,17
serialize_text,brood,,,,51918000.0,ns,17
