group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_text,hecs,,,,51945859.0,ns,15
serialize_text,hecs,,,,53146861.0,ns,15
serialize_text,hecs,,,,52350423.0,ns,15
serialize_text,hecs,,,,55247299.0,ns,15
serialize_text,hecs,,,,54072928.0,ns,15
serialize_text,hecs,,,,51633985.0,ns,15
serialize_text,hecs,,,,52511822.0,ns,15
serialize_text,hecs,,,,55502142.0,ns,15
serialize_text,hecs,,,,52209815.0,ns,15
serialize_text,hecs,,,,52740842.0,ns,15
serialize_text,hecs,,,,51243710.0,ns,15
serialize_text,hecs,,,,51696610.0,ns,15
serialize_text,hecs,,,,56802555.0,ns,15
serialize_text,hecs,,,,56744005.0,ns,15
serialize_text,hecs,,,,53499112.0,ns,15
serialize_text,hecs,,,,51789557.0,ns,15
serialize_text,hecs,,,,53881163.0,ns,15
serialize_text,hecs,,,,55475218.0,ns,15
serialize_text,hecs,,,,52422500.0,ns,15
serialize_text,hecs,,,,51833753.0,ns,15
serialize_text,hecs,,,,51259576.0,ns,15
serialize_text,hecs,,,,54258334.0,ns,15
serialize_text,hecs,,,,53493985.0,ns,15
serialize_text,hecs,,,,56932051.0,ns,15
serialize_text,hecs,,,,58129956.0,ns,15
serialize_text,hecs,,,,54178615.0,ns,15
serialize_text,hecs,,,,56660595.0,ns,15
serialize_text,hecs,,,,51886765.0,ns,15
serialize_text,hecs,,,,51556614.0,ns,15
serialize_text,hecs,,,,49998832.0,ns,15
serialize_text,hecs,,,,51454904.0,ns,15
serialize_text,hecs,,,,54079087.0,ns,15
serialize_text,hecs,,,,52483285.0,ns,15
serialize_text,hecs,,,,51217930.0,ns,15
serialize_text,hecs,,,,52010327.0,ns,15
serialize_text,hecs,,,,54680774.0,ns,15
serialize_text,hecs,,,,55177093.0,ns,15
serialize_text,hecs,,,,52124859.0,ns,15
serialize_text,hecs,,,,51919633.0,ns,15
serialize_text,hecs,,,,51731964.0,ns,15
serialize_text,hecs,,,,53331702.0,ns,15
serialize_text,hecs,,,,53320968.0,ns,15
serialize_text,hecs,,,,51851001.0,ns,15
serialize_text,hecs,,,,51714842.0,ns,15
serialize_text,hecs,,,,51634196.0,ns,15
serialize_text,hecs,,,,53901481.0,ns,15
serialize_text,hecs,,,,51542660.0,ns,15
serialize_text,hecs,,,,52981631.0,ns,15
serialize_text,hecs,,,,54243717.0,ns,15
serialize_text,hecs,,,,51580646.0,ns,15
serialize_text,hecs,,,,54753314.0,ns,15
serialize_text,hecs,,,,51210548.0,ns,15
serialize_text,hecs,,,,51923212.0,ns,15
serialize_text,hecs,,,,52094815.0,ns,15
serialize_text,hecs,,,,61522062.0,ns,15
serialize_text,hecs,,,,53414463.0,ns,15
serialize_text,hecs,,,,51257712.0,ns,15
serialize_text,hecs,,,,51419404.0,ns,15
serialize_text,hecs,,,,51874299.0,ns,15
serialize_text,hecs,,,,54002832.0,ns,15
serialize_text,hecs,,,,52590102.0,ns,15
serialize_text,hecs,,,,52487682.0,ns,15
serialize_text,hecs,,,,51617678.0,ns,15
serialize_text,hecs,,,,52650073.0,ns,15
serialize_text,hecs,,,,58090142.0,ns,15
serialize_text,hecs,,,,57148887.0,ns,15
serialize_text,hecs,,,,58414790.0,ns,15
serialize_text,hecs,,,,53748498.0,ns,15
serialize_text,hecs,,,,55760316.0,ns,15
serialize_text,hecs,,,,52291209.0,ns,15
serialize_text,hecs,,,,53822849.0,ns,15
serialize_text,hecs,,,,51962907.0,ns,15
serialize_text,hecs,,,,52125831.0,ns,15
serialize_text,hecs,,,,55097715.0,ns,15
serialize_text,hecs,,,,51942387.0,ns,15
serialize_text,hecs,,,,51749692.0,ns,15
serialize_text,hecs,,,,52953704.0,ns,15
serialize_text,hecs,,,,52008889.0,ns,15
serialize_text,hecs,,,,54095888.0,ns,15
serialize_text,hecs,,,,52912462.0,ns,15
serialize_text,hecs,,,,50826135.0,ns,15
serialize_text,hecs,,,,52386284.0,ns,15
serialize_text,hecs,,,,54236993.0,ns,15
serialize_text,hecs,,,,55550559.0,ns,15
serialize_text,hecs,,,,53864689.0,ns,15
serialize_text,hecs,,,,51880425.0,ns,15
serialize_text,hecs,,,,50732855.0,ns,15
serialize_text,hecs,,,,55094028.0,ns,15
serialize_text,hecs,,,,51264152.0,ns,15
serialize_text,hecs,,,,52888370.0,ns,15
serialize_text,hecs,,,,51000404.0,ns,15
serialize_text,hecs,,,,52241341.0,ns,15
serialize_text,hecs,,,,59507310.0,ns,15
serialize_text,hecs,,,,55045593.0,ns,15
serialize_text,hecs,,,,51382359.0,ns,15
serialize_text,hecs,,,,55032846.0,ns,15
serialize_text,hecs,,,,52409398.0,ns,15
serialize_text,hecs,,,,54409752.0,ns,15
serialize_text,hecs,,,,51892561.0,ns,15
serialize_text,hecs,,,,51428686.0,ns,15
