group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_text,hecs,,,,52607581.0,ns,16
serialize_text,hecs,,,,52322930.0,ns,16
serialize_text,hecs,,,,52121805.0,ns,16
serialize_text,hecs,,,,52301229.0,ns,16
serialize_text,hecs,,,,52204713.0,ns,16
serialize_text,hecs,,,,52181231.0,ns,16
serialize_text,hecs,,,,52288093.0,ns,16
serialize_text,hecs,,,,52594408.0,ns,16
serialize_text,hecs,,,,52598804.0,ns,16
serialize_text,hecs,,,,51907589.0,ns,16
serialize_text,hecs,,,,52310575.0,ns,16
serialize_text,hecs,,,,51968625.0,ns,16
serialize_text,hecs,,,,52405386.0,ns,16
serialize_text,hecs,,,,52317531.0,ns,16
serialize_text,hecs,,,,52117397.0,ns,16
serialize_text,hecs,,,,52022007.0,ns,16
serialize_text,hecs,,,,52118109.0,ns,16
serialize_text,hecs,,,,52138599.0,ns,16
serialize_text,hecs,,,,52180747.0,ns,16
serialize_text,hecs,,,,52608154.0,ns,16
serialize_text,hecs,,,,52381190.0,ns,16
serialize_text,hecs,,,,52033388.0,ns,16
serialize_text,hecs,,,,51916284.0,ns,16
serialize_text,hecs,,,,52080597.0,ns,16
serialize_text,hecs,,,,52065821.0,ns,16
serialize_text,hecs,,,,52115603.0,ns,16
serialize_text,hecs,,,,51998522.0,ns,16
serialize_text,hecs,,,,52219662.0,ns,16
serialize_text,hecs,,,,51882060.0,ns,16
serialize_text,hecs,,,,52091668.0,ns,16
serialize_text,hecs,,,,52124190.0,ns,16
serialize_text,hecs,,,,52097170.0,ns,16
serialize_text,hecs,,,,52170378.0,ns,16
serialize_text,hecs,,,,52046063.0,ns,16
serialize_text,hecs,,,,52232927.0,ns,16
serialize_text,hecs,,,,52013911.0,ns,16
serialize_text,hecs,,,,52118270.0,ns,16
serialize_text,hecs,,,,52173624.0,ns,16
serialize_text,hecs,,,,52528773.0,ns,16
serialize_text,hecs,,,,52169757.0,ns,16
serialize_text,hecs,,,,52146653.0,ns,16
serialize_text,hecs,,,,52518453.0,ns,16
serialize_text,hecs,,,,52434691.0,ns,16
serialize_text,hecs,,,,52008289.0,ns,16
serialize_text,hecs,,,,52195999.0,ns,16
serialize_text,hecs,,,,52375799.0,ns,16
serialize_text,hecs,,,,52578417.0,ns,16
serialize_text,hecs,,,,52194575.0,ns,16
serialize_text,hecs,,,,52098621.0,ns,16
serialize_text,hecs,,,,52189425.0,ns,16
serialize_text,hecs,,,,52252967.0,ns,16
serialize_text,hecs,,,,52155389.0,ns,16
serialize_text,hecs,,,,52109473.0,ns,16
serialize_text,hecs,,,,52151343.0,ns,16
serialize_text,hecs,,,,52083913.0,ns,16
serialize_text,hecs,,,,52299366.0,ns,16
serialize_text,hecs,,,,52205315.0,ns,16
serialize_text,hecs,,,,52497712.0,ns,16
serialize_text,hecs,,,,52557006.0,ns,16
serialize_text,hecs,,,,52267383.0,ns,16
serialize_text,hecs,,,,52142505.0,ns,16
serialize_text,hecs,,,,52254699.0,ns,16
serialize_text,hecs,,,,52004213.0,ns,16
serialize_text,hecs,,,,52187010.0,ns,16
serialize_text,hecs,,,,52418390.0,ns,16
serialize_text,hecs,,,,52444711.0,ns,16
serialize_text,hecs,,,,52098062.0,ns,16
serialize_text,hecs,,,,52031985.0,ns,16
serialize_text,hecs,,,,52092309.0,ns,16
serialize_text,hecs,,,,52080938.0,ns,16
serialize_text,hecs,,,,52365131.0,ns,16
serialize_text,hecs,,,,52280848.0,ns,16
serialize_text,hecs,,,,52040861.0,ns,16
serialize_text,hecs,,,,52192762.0,ns,16
serialize_text,hecs,,,,52187151.0,ns,16
serialize_text,hecs,,,,52240422.0,ns,16
serialize_text,hecs,,,,52038647.0,ns,16
serialize_text,hecs,,,,52428932.0,ns,16
serialize_text,hecs,,,,52063545.0,ns,16
serialize_text,hecs,,,,52081158.0,ns,16
serialize_text,hecs,,,,52081739.0,ns,16
serialize_text,hecs,,,,52046942.0,ns,16
serialize_text,hecs,,,,52159129.0,ns,16
serialize_text,hecs,,,,52230954.0,ns,16
serialize_text,hecs,,,,52123228.0,ns,16
serialize_text,hecs,,,,52234129.0,ns,16
serialize_text,hecs,,,,51962112.0,ns,16
serialize_text,hecs,,,,51981069.0,ns,16
serialize_text,hecs,,,,52033427.0,ns,16
serialize_text,hecs,,,,52095986.0,ns,16
serialize_text,hecs,,,,52154358.0,ns,16
serialize_text,hecs,,,,52044228.0,ns,16
serialize_text,hecs,,,,52270299.0,ns,16
serialize_text,hecs,,,,52335064.0,ns,16
serialize_text,hecs,,,,52488544.0,ns,16
serialize_text,hecs,,,,52331415.0,ns,16
serialize_text,hecs,,,,53051618.0,ns,16
serialize_text,hecs,,,,52192130.0,ns,16
serialize_text,hecs,,,,52035862.0,ns,16
serialize_text,hecs,,,,52109322.0,ns,16
