group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_text,legion,,,,50532800.0,ns,3
serialize_text,legion,,,,50494700.0,ns,3
serialize_text,legion,,,,53422400.0,ns,3
serialize_text,legion,,,,51319200.0,ns,3
serialize_text,legion,,,,51839500.0,ns,3
serialize_text,legion,,,,51102000.0,ns,3
serialize_text,legion,,,,51100300.0,ns,3
serialize_text,legion,,,,50372800.0,ns,3
serialize_text,legion,,,,49793900.0,ns,3
serialize_text,legion,,,,49964700.0,ns,3
serialize_text,legion,,,,49849900.0,ns,3
serialize_text,legion,,,,49860500.0,ns,3
serialize_text,legion,,,,50517300.0,ns,3
serialize_text,legion,,,,50294700.0,ns,3
serialize_text,legion,,,,50251700.0,ns,3
serialize_text,legion,,,,50836700.0,ns,3
serialize_text,legion,,,,50549500.0,ns,3
serialize_text,legion,,,,50250200.0,ns,3
serialize_text,legion,,,,49994100.0,ns,3
serialize_text,legion,,,,50113400.0,ns,3
serialize_text,legion,,,,49887500.0,ns,3
serialize_text,legion,,,,51459800.0,ns,3
serialize_text,legion,,,,59914700.0,ns,3
serialize_text,legion,,,,51446700.0,ns,3
serialize_text,legion,,,,50920800.0,ns,3
serialize_text,legion,,,,50852800.0,ns,3
serialize_text,legion,,,,50727600.0,ns,3
serialize_text,legion,,,,50267500.0,ns,3
serialize_text,legion,,,,50743500.0,ns,3
serialize_text,legion,,,,49895500.0,ns,3
serialize_text,legion,,,,50163300.0,ns,3
serialize_text,legion,,,,49997400.0,ns,3
serialize_text,legion,,,,49938700.0,ns,3
serialize_text,legion,,,,49821200.0,ns,3
serialize_text,legion,,,,49979300.0,ns,3
serialize_text,legion,,,,49915000.0,ns,3
serialize_text,legion,,,,50494800.0,ns,3
serialize_text,legion,,,,50045300.0,ns,3
serialize_text,legion,,,,50234300.0,ns,3
serialize_text,legion,,,,50413900.0,ns,3
serialize_text,legion,,,,50109200.0,ns,3
serialize_text,legion,,,,51730900.0,ns,3
serialize_text,legion,,,,51890000.0,ns,3
serialize_text,legion,,,,51199400.0,ns,3
serialize_text,legion,,,,51254600.0,ns,3
serialize_text,legion,,,,50729200.0,ns,3
serialize_text,legion,,,,52102700.0,ns,3
serialize_text,legion,,,,50333600.0,ns,3
serialize_text,legion,,,,52308300.0,ns,3
serialize_text,legion,,,,52894000.0,ns,3
serialize_text,legion,,,,50823200.0,ns,3
serialize_text,legion,,,,50140800.0,ns,3
serialize_text,legion,,,,51287100.0,ns,3
serialize_text,legion,,,,50516600.0,ns,3
serialize_text,legion,,,,50023100.0,ns,3
serialize_text,legion,,,,51096700.0,ns,3
serialize_text,legion,,,,50502600.0,ns,3
serialize_text,legion,,,,50030100.0,ns,3
serialize_text,legion,,,,49892400.0,ns,3
serialize_text,legion,,,,49932500.0,ns,3
serialize_text,legion,,,,50169700.0,ns,3
serialize_text,legion,,,,51851200.0,ns,3
serialize_text,legion,,,,51456200.0,ns,3
serialize_text,legion,,,,50746700.0,ns,3
serialize_text,legion,,,,50714600.0,ns,3
serialize_text,legion,,,,50646500.0,ns,3
serialize_text,legion,,,,50977300.0,ns,3
serialize_text,legion,,,,50770300.0,ns,3
serialize_text,legion,,,,49866500.0,ns,3
serialize_text,legion,,,,50111200.0,ns,3
serialize_text,legion,,,,49906000.0,ns,3
serialize_text,legion,,,,51219100.0,ns,3
serialize_text,legion,,,,50280000.0,ns,3
serialize_text,legion,,,,49968800.0,ns,3
serialize_text,legion,,,,50401900.0,ns,3
serialize_text,legion,,,,50127800.0,ns,3
serialize_text,legion,,,,50763400.0,ns,3
serialize_text,legion,,,,50042900.0,ns,3
serialize_text,legion,,,,50453400.0,ns,3
serialize_text,legion,,,,49973000.0,ns,3
serialize_text,legion,,,,49887200.0,ns,3
serialize_text,legion,,,,51140200.0,ns,3
serialize_text,legion,,,,51769800.0,ns,3
serialize_text,legion,,,,50861000.0,ns,3
serialize_text,legion,,,,50696100.0,ns,3
serialize_text,legion,,,,50689900.0,ns,3
serialize_text,legion,,,,51328100.0,ns,3
serialize_text,legion,,,,51985000.0,ns,3
serialize_text,legion,,,,52870800.0,ns,3
serialize_text,legion,,,,50418200.0,ns,3
serialize_text,legion,,,,50725100.0,ns,3
serialize_text,legion,,,,49961500.0,ns,3
serialize_text,legion,,,,49928300.0,ns,3
serialize_text,legion,,,,50637900.0,ns,3
serialize_text,legion,,,,50037600.0,ns,3
serialize_text,legion,,,,50782800.0,ns,3
serialize_text,legion,,,,50312100.0,ns,3
serialize_text,legion,,,,50213100.0,ns,3
serialize_text,legion,,,,50169700.0,ns,3
serialize_text,legion,,,,49965800.0,ns,3
