group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_text,legion,,,,52587675.0,ns,6
serialize_text,legion,,,,52443591.0,ns,6
serialize_text,legion,,,,52317671.0,ns,6
serialize_text,legion,,,,53164817.0,ns,6
serialize_text,legion,,,,52436577.0,ns,6
serialize_text,legion,,,,52599568.0,ns,6
serialize_text,legion,,,,52533461.0,ns,6
serialize_text,legion,,,,52563289.0,ns,6
serialize_text,legion,,,,52514677.0,ns,6
serialize_text,legion,,,,52498335.0,ns,6
serialize_text,legion,,,,52583598.0,ns,6
serialize_text,legion,,,,52493596.0,ns,6
serialize_text,legion,,,,52390309.0,ns,6
serialize_text,legion,,,,52616671.0,ns,6
serialize_text,legion,,,,52509377.0,ns,6
serialize_text,legion,,,,52505548.0,ns,6
serialize_text,legion,,,,52342659.0,ns,6
serialize_text,legion,,,,52400188.0,ns,6
serialize_text,legion,,,,52483977.0,ns,6
serialize_text,legion,,,,52260954.0,ns,6
serialize_text,legion,,,,52418814.0,ns,6
serialize_text,legion,,,,52804178.0,ns,6
serialize_text,legion,,,,53114960.0,ns,6
serialize_text,legion,,,,52427209.0,ns,6
serialize_text,legion,,,,52433211.0,ns,6
serialize_text,legion,,,,52460833.0,ns,6
serialize_text,legion,,,,52420216.0,ns,6
serialize_text,legion,,,,52495912.0,ns,6
serialize_text,legion,,,,52694057.0,ns,6
serialize_text,legion,,,,52471614.0,ns,6
serialize_text,legion,,,,52449732.0,ns,6
serialize_text,legion,,,,52452758.0,ns,6
serialize_text,legion,,,,52521248.0,ns,6
serialize_text,legion,,,,52402923.0,ns,6
serialize_text,legion,,,,52575783.0,ns,6
serialize_text,legion,,,,52490530.0,ns,6
serialize_text,legion,,,,52601471.0,ns,6
serialize_text,legion,,,,52207861.0,ns,6
serialize_text,legion,,,,52483278.0,ns,6
serialize_text,legion,,,,52506420.0,ns,6
serialize_text,legion,,,,52431257.0,ns,6
serialize_text,legion,,,,53160868.0,ns,6
serialize_text,legion,,,,52354651.0,ns,6
serialize_text,legion,,,,52690381.0,ns,6
serialize_text,legion,,,,52528943.0,ns,6
serialize_text,legion,,,,52520347.0,ns,6
serialize_text,legion,,,,52352817.0,ns,6
serialize_text,legion,,,,52488326.0,ns,6
serialize_text,legion,,,,52668970.0,ns,6
serialize_text,legion,,,,52543922.0,ns,6
serialize_text,legion,,,,52421178.0,ns,6
serialize_text,legion,,,,52395860.0,ns,6
serialize_text,legion,,,,52280580.0,ns,6
serialize_text,legion,,,,52298815.0,ns,6
serialize_text,legion,,,,52184697.0,ns,6
serialize_text,legion,,,,52404446.0,ns,6
serialize_text,legion,,,,52065790.0,ns,6
serialize_text,legion,,,,52421859.0,ns,6
serialize_text,legion,,,,52296931.0,ns,6
serialize_text,legion,,,,52250333.0,ns,6
serialize_text,legion,,,,52828664.0,ns,6
serialize_text,legion,,,,52541728.0,ns,6
serialize_text,legion,,,,53074062.0,ns,6
serialize_text,legion,,,,52786223.0,ns,6
serialize_text,legion,,,,52490891.0,ns,6
serialize_text,legion,,,,52506591.0,ns,6
serialize_text,legion,,,,52509867.0,ns,6
serialize_text,legion,,,,52453269.0,ns,6
serialize_text,legion,,,,52514746.0,ns,6
serialize_text,legion,,,,52455633.0,ns,6
serialize_text,legion,,,,52528562.0,ns,6
serialize_text,legion,,,,52574981.0,ns,6
serialize_text,legion,,,,52569571.0,ns,6
serialize_text,legion,,,,52485080.0,ns,6
serialize_text,legion,,,,52559731.0,ns,6
serialize_text,legion,,,,52318622.0,ns,6
serialize_text,legion,,,,52521739.0,ns,6
serialize_text,legion,,,,52508133.0,ns,6
serialize_text,legion,,,,52447127.0,ns,6
serialize_text,legion,,,,53159955.0,ns,6
serialize_text,legion,,,,52417481.0,ns,6
serialize_text,legion,,,,52593116.0,ns,6
serialize_text,legion,,,,52447989.0,ns,6
serialize_text,legion,,,,52605289.0,ns,6
serialize_text,legion,,,,52342357.0,ns,6
serialize_text,legion,,,,52494777.0,ns,6
serialize_text,legion,,,,52544333.0,ns,6
serialize_text,legion,,,,52371843.0,ns,6
serialize_text,legion,,,,52609056.0,ns,6
serialize_text,legion,,,,52418062.0,ns,6
serialize_text,legion,,,,52434183.0,ns,6
serialize_text,legion,,,,52671905.0,ns,6
serialize_text,legion,,,,52482523.0,ns,6
serialize_text,legion,,,,52445444.0,ns,6
serialize_text,legion,,,,52388305.0,ns,6
serialize_text,legion,,,,52294005.0,ns,6
serialize_text,legion,,,,52281973.0,ns,6
serialize_text,legion,,,,52446376.0,ns,6
serialize_text,legion,,,,52616280.0,ns,6
serialize_text,legion,,,,52418412.0,ns,6
